t_s,force_g,pos_act,current_mA
0.011918,26,502,0
0.042887,43,,
0.054601,43,,
0.062042,43,,
0.073712,62,,
0.085359,62,,
0.091794,62,,
0.104938,61,,
0.116945,61,584,202
0.147540,61,,
0.155174,60,,
0.167329,60,,
0.178409,60,,
0.186099,59,,
0.198148,59,,
0.210189,59,,
0.216774,150,796,292
0.248088,864,,
0.260893,864,,
0.271759,999,,
0.278338,999,,
0.290362,999,,
0.302473,757,,
0.310104,757,,
0.322007,757,861,-119
0.352663,467,,
0.364694,183,,
0.371276,183,,
0.384307,183,,
0.395366,77,,
0.401789,77,,
0.414837,77,,
0.426813,69,799,-8
0.457498,65,,
0.464261,65,,
0.478014,65,,
0.489049,64,,
0.495713,64,,
0.508757,65,,
0.519557,65,,
0.527072,65,796,0
0.557270,65,,
0.569110,65,,
0.575644,65,,
0.582107,65,,
0.588539,65,,
0.600255,66,,
0.606542,66,,
0.613995,66,796,0
0.643700,66,,
0.650023,66,,
0.662771,66,,
0.674612,66,,
0.681987,66,,
0.693827,66,,
0.705831,66,,
0.712622,66,796,0
0.743474,67,,
0.756515,67,,
0.767720,67,,
0.774251,67,,
0.787204,67,,
0.799138,67,,
0.805835,67,,
0.818894,67,796,0
0.848807,67,,
0.860760,67,,
0.867221,67,,
0.880634,67,,
0.891737,67,,
0.898301,67,,
0.911359,67,,
0.922487,67,796,0
