trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof4_v1000_F100_n03.csv,4,1000,100,1058,958,91,279,804,78,0,5:0,136,45,m3,28
A_dof4_v1000_F100_n10.csv,4,1000,100,999,899,67,260,796,79,0,5:0,99,25,m3,28
A_dof4_v1000_F100_n18.csv,4,1000,100,1031,931,119,280,722,78,0,5:0,106,26,m3,28
A_dof4_v1000_F100_n17.csv,4,1000,100,978,878,171,266,733,78,0,5:0,112,26,m3,28
A_dof4_v1000_F100_n05.csv,4,1000,100,946,846,55,259,581,80,0,5:0,98,27,m3,28
A_dof4_v1000_F100_n00.csv,4,1000,100,1030,930,119,280,810,78,0,5:0,106,28,m3,28
A_dof4_v1000_F100_n07.csv,4,1000,100,1012,912,65,267,797,78,0,5:0,104,28,m3,28
A_dof4_v1000_F100_n26.csv,4,1000,100,1951,1851,151,290,731,77,0,5:0,181,27,m3,28
A_dof4_v1000_F100_n29.csv,4,1000,100,1000,900,186,279,734,78,0,5:0,107,33,m3,28
A_dof4_v1000_F100_n14.csv,4,1000,100,942,842,58,260,792,78,0,5:0,95,34,m3,28
A_dof4_v1000_F100_n20.csv,4,1000,100,1024,924,124,281,722,78,0,5:0,104,34,m3,28
A_dof4_v1000_F100_n25.csv,4,1000,100,941,841,57,277,731,81,0,5:0,110,34,m3,28
A_dof4_v1000_F100_n21.csv,4,1000,100,2034,1934,780,312,730,77,0,5:0,165,34,m3,28
A_dof4_v1000_F100_n02.csv,4,1000,100,991,891,67,261,797,79,0,5:0,98,36,m3,28
A_dof4_v1000_F100_n19.csv,4,1000,100,1139,1039,148,271,815,81,0,5:0,111,36,m3,28
A_dof4_v1000_F100_n04.csv,4,1000,100,1151,1051,91,267,723,78,0,5:0,108,35,m3,28
A_dof4_v1000_F100_n23.csv,4,1000,100,920,820,57,260,791,78,0,5:0,97,37,m3,28
A_dof4_v1000_F100_n06.csv,4,1000,100,1025,925,166,279,731,78,0,5:0,114,37,m3,30
A_dof4_v1000_F100_n11.csv,4,1000,100,1154,1054,92,279,722,78,0,5:0,109,34,m3,28
A_dof4_v1000_F100_n22.csv,4,1000,100,949,849,59,260,583,78,0,5:0,100,37,m3,30
A_dof4_v1000_F100_n09.csv,4,1000,100,934,834,37,266,790,78,0,5:0,114,42,m3,30
A_dof4_v1000_F100_n28.csv,4,1000,100,1112,1012,118,291,729,78,0,5:0,113,17,m3,30
A_dof4_v1000_F100_n15.csv,4,1000,100,995,895,102,280,719,78,0,5:0,105,17,m3,30
A_dof4_v1000_F100_n16.csv,4,1000,100,898,798,37,267,790,78,0,5:0,96,17,m3,30
A_dof4_v1000_F100_n08.csv,4,1000,100,1118,1018,134,292,730,78,0,5:0,112,18,m3,30
A_dof4_v1000_F100_n01.csv,4,1000,100,1041,941,92,280,720,78,0,5:0,86,17,m3,30
A_dof4_v1000_F100_n13.csv,4,1000,100,967,867,47,260,796,79,0,5:0,99,16,m3,30
A_dof4_v1000_F100_n24.csv,4,1000,100,978,878,86,280,720,78,0,5:0,99,16,m3,30
A_dof4_v1000_F100_n12.csv,4,1000,100,953,853,158,267,733,78,0,5:0,104,16,m3,30
A_dof4_v1000_F100_n27.csv,4,1000,100,921,821,39,261,792,81,0,5:0,93,18,m3,30
A_dof4_v1000_F100_n37.csv,4,1000,100,1043,943,122,261,728,80,0,5:0,50,41,m3,28
A_dof4_v1000_F100_n38.csv,4,1000,100,970,870,171,267,734,78,0,5:0,116,19,m3,28
A_dof4_v1000_F100_n31.csv,4,1000,100,910,810,41,260,581,78,0,5:0,99,21,m3,28
A_dof4_v1000_F100_n35.csv,4,1000,100,977,877,101,280,722,80,0,5:0,105,21,m3,28
A_dof4_v1000_F100_n33.csv,4,1000,100,940,840,151,278,734,80,0,5:0,112,19,m3,28
A_dof4_v1000_F100_n34.csv,4,1000,100,928,828,44,260,794,78,0,5:0,102,19,m3,28
A_dof4_v1000_F100_n32.csv,4,1000,100,1785,1685,673,280,655,79,0,5:0,158,20,m3,28
A_dof4_v1000_F100_n30.csv,4,1000,100,928,828,45,259,583,78,0,5:0,99,21,m3,28
A_dof4_v1000_F100_n39.csv,4,1000,100,1103,1003,65,280,801,77,0,5:0,114,21,m3,28
A_dof4_v1000_F100_n36.csv,4,1000,100,930,830,45,260,792,78,0,5:0,100,22,m3,30
