t_s,force_g,pos_act,current_mA
0.013099,-58,1164,0
0.044657,-57,,
0.055440,-57,,
0.061928,-57,,
0.074978,-57,,
0.086203,-55,,
0.093399,-55,,
0.106496,-55,,
0.118599,-55,1164,45
0.148930,-55,,
0.155482,-55,,
0.168537,-44,,
0.179283,-44,,
0.186799,-44,,
0.199884,-34,,
0.211002,-34,,
0.217519,-34,1175,59
0.248953,-19,,
0.260775,-11,,
0.267313,-11,,
0.273867,-11,,
0.280407,-11,,
0.292402,0,,
0.304215,0,,
0.311693,0,1182,81
0.341275,6,,
0.354192,13,,
0.366194,13,,
0.373752,19,,
0.384953,19,,
0.396936,19,,
0.403390,25,,
0.416557,25,1187,75
0.447023,33,,
0.459048,33,,
0.465585,41,,
0.478674,41,,
0.490800,47,,
0.497363,47,,
0.509189,47,,
0.521254,56,1196,93
0.552067,59,,
0.559800,59,,
0.570878,59,,
0.583579,68,,
0.590152,68,,
0.602456,68,,
0.614909,73,,
0.621543,73,1205,97
0.653888,81,,
0.664198,81,,
0.676380,88,,
0.683227,88,,
0.695703,88,,
0.708017,90,,
0.714828,90,,
0.725915,90,1210,90
0.756916,99,,
0.768999,99,,
0.775612,99,,
0.789049,104,,
0.800204,104,,
0.806799,104,,
0.818749,109,,
0.825216,109,1220,117
0.849981,109,,
0.861820,109,,
0.868227,109,,
0.881134,113,,
0.893016,113,,
0.899467,113,,
0.913514,112,,
0.924329,112,1225,112
0.954664,112,,
0.961089,112,,
0.974045,113,,
0.985938,113,,
0.993920,114,,
1.004932,114,,
1.016836,114,,
1.023271,114,1235,139
1.055658,113,,
1.067064,113,,
1.079926,113,,
1.087062,114,,
1.098263,114,,
1.110526,114,,
1.117180,111,,
1.129329,111,1247,110
1.160193,113,,
1.172346,113,,
1.179028,113,,
1.192574,113,,
1.203597,113,,
1.210216,113,,
1.222136,113,,
1.234196,117,1252,109
1.264976,115,,
1.272584,115,,
1.284650,115,,
1.296676,117,,
1.303101,117,,
1.316009,117,,
1.326835,120,,
1.333244,120,1259,111
1.364571,120,,
1.377448,123,,
1.389276,123,,
1.395876,123,,
1.407732,123,,
1.414153,124,,
1.420563,124,,
1.426994,124,1268,94
1.457025,124,,
1.471019,127,,
1.482199,127,,
1.489071,127,,
1.502548,127,,
1.513731,127,,
1.521752,127,,
1.532931,131,1274,93
1.564753,131,,
1.575600,131,,
1.582029,131,,
1.595203,133,,
1.606258,133,,
1.613106,137,,
1.626279,137,,
1.637306,137,1281,90
1.668067,137,,
1.674611,141,,
1.687682,141,,
1.698579,141,,
1.705034,139,,
1.718911,139,,
1.729686,139,,
1.736055,144,1287,92
1.767116,142,,
1.781067,142,,
1.791840,145,,
1.798148,145,,
1.812110,145,,
1.822919,146,,
1.830424,146,,
1.843381,146,1300,80
1.874569,145,,
1.885319,147,,
1.891743,147,,
1.904957,147,,
1.916083,145,,
1.922619,145,,
1.935553,145,,
1.947330,146,1309,94
1.977584,147,,
1.984018,147,,
1.997989,146,,
2.008626,146,,
2.015105,146,,
2.029095,145,,
2.039951,145,,
2.047514,145,1316,105
2.078398,148,,
2.091321,147,,
2.101600,147,,
2.108340,147,,
2.121700,147,,
2.133314,147,,
2.140076,147,,
2.153195,149,1320,121
2.183756,149,,
2.194824,149,,
2.202583,149,,
2.214646,149,,
2.226544,149,,
2.233017,147,,
2.245998,147,,
2.256866,147,1326,127
2.288422,151,,
2.294924,151,,
2.307780,151,,
2.318572,151,,
2.325031,151,,
2.339067,151,,
2.349851,151,,
2.357350,151,1338,85
2.387427,154,,
2.400647,154,,
2.411752,153,,
2.419462,153,,
2.432496,153,,
2.443266,155,,
2.449810,155,,
2.462752,155,1348,119
2.494312,155,,
2.505235,154,,
2.511750,154,,
2.524971,154,,
2.536002,154,,
2.542526,154,,
2.555675,154,,
2.566551,156,1355,119
2.597735,156,,
2.604169,156,,
2.618209,159,,
2.629341,159,,
2.636182,159,,
2.649314,158,,
2.660218,158,,
2.666818,158,1360,119
2.697144,158,,
2.711623,159,,
2.722871,159,,
2.729778,159,,
2.741795,158,,
2.752885,158,,
2.759505,158,,
2.772616,160,1367,136
2.804408,160,,
2.815244,160,,
2.821703,160,,
2.834684,161,,
2.846489,161,,
2.852940,161,,
2.866104,161,,
2.877061,161,1379,110
2.907321,162,,
2.913828,163,,
2.927788,163,,
2.938550,163,,
2.945070,161,,
2.959128,161,,
2.970080,161,,
2.976573,164,1384,140
3.007413,165,,
3.020635,165,,
3.031652,165,,
3.039184,165,,
3.052445,165,,
3.063435,168,,
3.069970,168,,
3.083170,168,1392,112
3.114205,167,,
3.125057,171,,
3.131506,171,,
3.144391,171,,
3.156452,171,,
3.163001,171,,
3.176024,171,,
3.186872,172,1402,112
3.218185,175,,
3.224653,175,,
3.237662,174,,
3.248440,174,,
3.254950,174,,
3.268903,177,,
3.279702,177,,
3.287254,177,1408,134
3.317569,178,,
3.330509,179,,
3.341249,179,,
3.347728,179,,
3.361748,181,,
3.372484,181,,
3.379368,181,,
3.392559,180,1417,116
3.424096,184,,
3.435246,184,,
3.441824,184,,
3.455101,184,,
3.466005,184,,
3.472451,184,,
3.485689,184,,
3.496501,184,1425,112
3.527677,187,,
3.534322,186,,
3.547367,186,,
3.559244,186,,
3.565776,187,,
3.578864,187,,
3.589757,187,,
3.596960,189,1433,141
3.627329,188,,
3.641111,188,,
3.652193,191,,
3.658739,191,,
3.671833,191,,
3.682740,191,,
3.689210,191,,
3.703304,191,1439,138
3.733697,191,,
3.744541,194,,
3.751753,194,,
3.765270,194,,
3.776152,194,,
3.782639,194,,
3.795790,194,,
3.806635,214,1450,147
3.838198,214,,
3.844688,214,,
3.857661,238,,
3.868469,238,,
3.874965,238,,
3.889037,257,,
3.899939,257,,
3.906350,257,1457,170
3.936618,276,,
3.950958,302,,
3.961793,302,,
3.969096,302,,
3.982242,332,,
3.992331,332,,
3.999100,332,,
4.012456,361,1460,181
4.044216,361,,
4.054279,361,,
4.061027,361,,
4.074319,433,,
4.085375,433,,
4.092066,464,,
4.105386,464,,
4.116494,464,1469,224
4.147644,496,,
4.154321,527,,
4.167564,527,,
4.178913,527,,
4.186108,554,,
4.198573,554,,
4.209796,554,,
4.216573,533,1475,0
4.247788,493,,
4.261139,493,,
4.272309,505,,
4.279138,505,,
4.292105,505,,
4.302734,515,,
4.309392,515,,
4.322416,515,1470,31
4.354007,468,,
4.365255,454,,
4.372050,454,,
4.384829,454,,
4.396270,454,,
4.403293,454,,
4.415620,454,,
4.426864,466,1471,0
4.457293,461,,
4.464081,461,,
4.477416,458,,
4.488630,458,,
4.495444,458,,
4.508759,454,,
4.519858,454,,
4.526527,454,1469,0
