trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted
B_dof3_v25_F500_n04.csv,3,25,500,552,52,478,4105,1214,78,0
B_dof3_v25_F100_n00.csv,3,25,100,102,2,68,961,1219,78,0
B_dof3_v25_F1000_n03.csv,3,25,1000,1098,98,981,4558,1222,78,0
B_dof3_v25_F750_n03.csv,3,25,750,806,56,658,4384,1219,78,0
B_dof3_v25_F250_n01.csv,3,25,250,270,20,244,3912,1220,78,0
B_dof3_v25_F250_n00.csv,3,25,250,269,19,258,3876,1222,77,0
B_dof3_v25_F250_n02.csv,3,25,250,276,26,256,3893,1217,79,0
B_dof3_v25_F500_n00.csv,3,25,500,538,38,480,4135,1221,78,0
B_dof3_v25_F1000_n02.csv,3,25,1000,1077,77,902,4576,1221,78,0
B_dof3_v25_F1000_n00.csv,3,25,1000,1007,7,880,4538,1219,78,0
B_dof3_v25_F100_n04.csv,3,25,100,102,2,70,838,1219,78,0
B_dof3_v25_F100_n02.csv,3,25,100,101,1,79,787,1217,78,0
B_dof3_v25_F1000_n01.csv,3,25,1000,1092,92,1008,4545,1222,78,0
B_dof3_v25_F100_n03.csv,3,25,100,100,0,88,855,1221,78,0
B_dof3_v25_F750_n02.csv,3,25,750,812,62,731,4384,1221,78,0
B_dof3_v25_F500_n01.csv,3,25,500,554,54,473,4173,1220,78,0
B_dof3_v25_F750_n04.csv,3,25,750,827,77,736,4422,1221,78,0
B_dof3_v25_F250_n04.csv,3,25,250,286,36,277,3948,1221,78,0
B_dof3_v25_F1000_n04.csv,3,25,1000,1241,241,1054,4637,1217,78,0
B_dof3_v25_F750_n00.csv,3,25,750,844,94,734,4446,1219,78,0
B_dof3_v25_F750_n01.csv,3,25,750,821,71,736,4403,1214,78,0
B_dof3_v25_F250_n03.csv,3,25,250,275,25,239,3919,1221,78,0
B_dof3_v25_F100_n01.csv,3,25,100,106,6,74,776,,78,0
B_dof3_v25_F500_n03.csv,3,25,500,539,39,478,4172,1220,78,0
B_dof3_v25_F500_n02.csv,3,25,500,528,28,445,4197,1219,79,0
