trial,onset_pos,f_base_g,aborted
1,1426,69,0
2,967,-29,0
3,984,-27,0
4,1044,-27,0
5,1045,-28,0
6,1061,-26,0
7,1228,-27,0
8,1060,-30,0
9,1045,-29,0
10,986,-28,0
11,984,-28,0
12,1048,-27,0
13,1044,-26,0
14,1062,-28,0
15,1045,-28,0
16,1140,-28,0
17,972,-28,0
18,983,-28,0
19,1050,-28,0
20,986,-29,0
21,1499,94,0
22,1157,-18,0
23,983,-19,0
24,1045,-19,0
25,985,-18,0
26,985,-18,0
27,1044,-16,0
28,986,-15,0
29,984,-15,0
30,1045,-14,0
31,1043,-16,0
32,979,-16,0
33,1045,-17,0
34,1044,-16,0
35,978,-14,0
36,984,-12,0
37,1048,-14,0
38,988,-15,0
39,984,-13,0
40,1043,-14,0
41,1501,94,0
42,976,-17,0
43,984,-12,0
44,1045,-12,0
45,988,-13,0
46,985,-14,0
47,1045,-13,0
48,1046,-12,0
49,1062,-13,0
50,1045,-12,0
