t_s,force_g,pos_act,current_mA
0.013228,-16,770,-127
0.032840,-16,,
0.045794,-15,,
0.056559,-15,,
0.062876,-15,,
0.076738,-15,,
0.087517,-15,,
0.093975,-15,,
0.106868,-9,770,70
0.138457,20,,
0.149216,20,,
0.156819,20,,
0.169771,47,,
0.180708,47,,
0.187513,47,,
0.200579,74,,
0.211455,74,784,121
0.241958,99,,
0.249660,99,,
0.262614,116,,
0.273573,116,,
0.280086,122,,
0.293223,122,,
0.305259,122,,
0.311749,89,796,-15
0.342626,52,,
0.355660,52,,
0.366924,52,,
0.374221,51,,
0.385772,51,,
0.396954,51,,
0.403959,51,,
0.417742,51,792,0
0.448782,50,,
0.458832,50,,
0.465763,50,,
0.479504,50,,
0.490586,50,,
0.497245,50,,
0.509809,50,,
0.521115,50,792,0
0.552308,50,,
0.559030,50,,
0.572254,50,,
0.584420,50,,
0.591197,50,,
0.603439,50,,
0.614615,50,,
0.621828,50,792,0
0.651959,50,,
0.664920,50,,
0.676795,50,,
0.683284,50,,
0.696403,50,,
0.707191,50,,
0.713961,50,,
0.727100,49,792,0
0.758721,50,,
0.770722,50,,
0.777224,50,,
0.789240,49,,
0.800051,49,,
0.807649,49,,
0.820749,49,,
0.831595,49,792,0
0.862818,49,,
0.869409,49,,
0.882592,49,,
0.893600,49,,
0.900117,49,,
0.913140,49,,
0.924085,49,,
0.931584,49,792,0
0.963163,49,,
0.975151,49,,
0.986565,49,,
0.992992,50,,
1.006652,50,,
1.017581,50,,
1.024081,50,,
1.037113,50,792,0
1.068436,50,,
1.079373,50,,
1.086010,50,,
1.098898,50,,
1.109529,49,,
1.115751,49,,
1.129466,49,,
1.135845,49,792,0
1.160421,50,,
1.166610,50,,
1.172846,49,,
1.179117,49,,
1.191723,49,,
1.203355,49,,
1.209551,49,,
1.223290,49,792,0
1.253713,50,,
1.265322,50,,
1.271487,50,,
1.285219,50,,
1.295850,50,,
1.302841,50,,
1.315991,50,,
1.327930,50,792,0
1.358057,49,,
1.365522,49,,
1.378528,49,,
1.389442,49,,
1.395939,49,,
1.409054,49,,
1.421104,49,,
1.427569,49,792,0
1.458121,49,,
1.470960,50,,
1.482150,50,,
1.489282,50,,
1.501831,49,,
1.514128,49,,
1.520817,49,,
1.533094,49,792,0
1.564425,49,,
1.576311,49,,
1.582739,49,,
1.594600,49,,
1.601031,49,,
1.607552,49,,
1.614024,49,,
1.625877,49,792,0
1.657574,49,,
1.668453,49,,
1.675651,49,,
1.688046,49,,
1.699982,50,,
1.707899,50,,
1.719484,50,,
1.730519,49,792,0
1.761767,49,,
1.768236,49,,
1.781131,49,,
1.792905,50,,
1.800372,50,,
1.812168,50,,
1.822955,49,,
1.830597,49,792,0
1.856448,49,,
1.862851,49,,
1.873661,49,,
1.885761,49,,
1.893624,49,,
1.905039,50,,
1.915932,50,,
1.922705,50,792,0
1.953851,49,,
1.967225,50,,
1.979479,50,,
1.986222,50,,
1.998423,49,,
2.010597,49,,
2.017462,49,,
2.029561,49,792,0
2.060936,49,,
2.072497,49,,
2.079289,49,,
2.091653,49,,
2.102812,49,,
2.109585,49,,
2.121922,49,,
2.134258,49,792,0
2.165638,50,,
2.172964,49,,
2.184477,49,,
2.196461,49,,
2.202863,49,,
2.214771,49,,
2.226862,49,,
2.234495,49,792,0
2.263784,49,,
2.276710,49,,
2.287559,49,,
2.294037,49,,
2.309122,49,,
2.320599,50,,
2.327667,50,,
2.338496,50,792,0
2.358855,49,,
2.369962,49,,
2.381259,49,,
2.388295,49,,
2.401406,49,,
2.413279,49,,
2.419915,49,,
2.431902,49,792,0
2.463386,50,,
2.475661,49,,
2.482484,49,,
2.493651,49,,
2.505936,50,,
2.512563,50,,
2.525135,49,,
2.536766,49,792,0
2.567573,49,,
2.574139,49,,
2.587376,49,,
2.599390,49,,
2.606164,49,,
2.618315,49,,
2.630326,49,,
2.636992,49,792,0
2.668266,49,,
2.680580,49,,
2.691625,49,,
2.698259,49,,
2.711271,49,,
2.723223,49,,
2.729735,49,,
2.741717,49,792,0
2.773536,49,,
2.784604,49,,
2.792459,49,,
2.803606,49,,
2.815545,49,,
2.822366,49,,
2.835838,49,,
2.846782,49,792,0
2.878451,50,,
2.885125,50,,
2.897053,50,,
2.908845,50,,
2.915378,50,,
2.928258,50,,
2.940153,50,,
2.946591,50,792,0
2.977929,50,,
2.989968,50,,
3.002055,50,,
3.008570,50,,
3.021506,50,,
3.032302,50,,
3.038793,50,,
3.053326,50,792,0
3.084032,49,,
3.094815,49,,
3.101813,49,,
3.114406,49,,
3.125906,49,,
3.132497,49,,
3.144473,50,,
3.151355,50,792,0
3.175614,50,,
3.187520,50,,
3.193926,50,,
3.207650,50,,
3.218726,50,,
3.226315,50,,
3.238212,49,,
3.249966,49,792,0
3.281197,49,,
3.288566,49,,
3.300493,49,,
3.311524,49,,
3.318126,49,,
3.332338,49,,
3.343423,49,,
3.349979,49,792,0
3.380535,49,,
3.393630,49,,
3.404655,49,,
3.412350,49,,
3.424371,49,,
3.436330,49,,
3.442998,50,,
3.456195,50,792,0
3.486922,50,,
3.497800,50,,
3.505445,50,,
3.517299,50,,
3.529397,49,,
3.535868,49,,
3.549447,49,,
3.559722,49,792,0
3.591030,50,,
3.597458,50,,
3.610463,50,,
3.621754,50,,
3.628793,50,,
3.641880,50,,
3.652709,50,,
3.659263,50,792,0
3.690870,49,,
3.704059,49,,
3.714909,49,,
3.721480,49,,
3.734433,49,,
3.745479,49,,
3.752063,49,,
3.766186,49,792,0
3.796645,49,,
3.807743,49,,
3.814403,49,,
3.827491,50,,
3.838413,50,,
3.844860,50,,
3.859122,50,,
3.870110,50,792,0
3.901252,50,,
3.907640,50,,
3.920507,49,,
3.931369,49,,
3.937832,49,,
3.951794,49,,
3.962509,49,,
3.968946,49,792,0
4.000196,50,,
4.014156,50,,
4.024976,50,,
4.031518,50,,
4.044478,50,,
4.055604,50,,
4.063182,50,,
4.076058,50,792,0
4.107188,50,,
4.118001,50,,
4.124323,50,,
4.137481,50,,
4.148408,49,,
4.154914,49,,
4.168924,49,,
4.179650,50,792,0
4.210805,50,,
4.217327,50,,
4.230344,50,,
4.242183,49,,
4.248604,49,,
4.261438,49,,
4.273193,49,,
4.279984,49,792,0
4.310480,50,,
4.323536,50,,
4.334280,50,,
4.340476,50,,
4.354255,50,,
4.365848,50,,
4.372446,50,,
4.385245,50,792,0
4.416811,50,,
4.427418,50,,
4.433606,50,,
4.447364,50,,
4.459010,50,,
4.465288,50,,
4.478011,49,,
4.489611,49,792,0
4.521044,49,,
4.527349,49,,
4.540244,49,,
4.552123,49,,
4.558867,49,,
4.572131,49,,
4.582923,49,,
4.589573,49,792,0
4.619734,49,,
4.634142,49,,
4.644620,49,,
4.651576,49,,
4.665019,49,,
4.675299,49,,
4.683158,49,,
4.695543,49,792,0
4.727139,49,,
4.737824,49,,
4.744413,49,,
4.757683,49,,
4.768650,49,,
4.775452,49,,
4.788813,49,,
4.799913,50,792,0
4.830795,50,,
4.837485,50,,
4.850707,50,,
4.861765,50,,
4.868507,50,,
4.881716,50,,
4.892715,49,,
4.899396,49,792,0
4.930415,49,,
4.943462,49,,
4.954705,49,,
4.961815,49,,
4.975065,49,,
4.985954,49,,
4.992451,49,,
5.005403,50,792,0
5.037142,50,,
5.047973,50,,
5.054578,50,,
5.067624,50,,
5.078686,50,,
5.085303,50,,
5.098323,49,,
5.109099,49,792,0
5.140348,49,,
5.147894,49,,
5.160839,49,,
5.171819,49,,
5.178425,49,,
5.191572,49,,
5.202418,49,,
5.209957,49,792,0
5.240500,49,,
5.253594,49,,
5.264416,49,,
5.271444,49,,
5.284773,49,,
5.295869,49,,
5.302656,49,,
5.315981,49,792,0
5.347163,49,,
5.357240,49,,
5.363926,49,,
5.377835,49,,
5.389104,49,,
5.395874,49,,
5.408056,49,,
5.419056,50,792,0
5.451008,50,,
5.457923,50,,
5.470297,50,,
5.481455,49,,
5.488257,49,,
5.501972,49,,
5.512373,49,,
5.519233,49,792,0
5.550574,50,,
5.563843,50,,
5.575193,50,,
5.582892,50,,
5.594802,50,,
5.605827,49,,
5.612420,49,,
5.625450,49,792,0
5.656701,50,,
5.667475,50,,
5.673954,50,,
5.687891,49,,
5.698668,49,,
5.705142,49,,
5.717986,49,,
5.729805,49,792,0
5.761007,49,,
5.767448,49,,
5.780340,49,,
5.791129,49,,
5.797577,49,,
5.811604,49,,
5.822387,49,,
5.829875,49,792,0
5.860444,49,,
5.873830,49,,
5.885098,49,,
5.892073,49,,
5.904265,49,,
5.915228,49,,
5.922125,49,,
5.935417,49,792,0
5.966190,50,,
5.977792,50,,
5.983983,50,,
5.997693,50,,
6.008291,49,,
6.014393,49,,
6.028152,49,,
6.039723,49,792,0
6.070896,50,,
6.077414,50,,
6.090300,50,,
6.100991,49,,
6.107443,49,,
6.121458,49,,
6.132260,50,,
6.139851,50,792,0
6.170554,49,,
6.183646,49,,
6.194691,49,,
6.201357,49,,
6.214494,49,,
6.225436,49,,
6.232143,49,,
6.245145,49,792,0
6.276558,49,,
6.287365,49,,
6.294894,49,,
6.307867,50,,
6.318613,50,,
6.325072,50,,
6.337989,49,,
6.349929,49,792,0
6.380620,49,,
6.387094,49,,
6.400055,49,,
6.410838,49,,
6.417283,49,,
6.431627,49,,
6.442647,49,,
6.449505,49,792,0
6.479822,50,,
6.493854,50,,
6.504699,50,,
6.512143,50,,
6.524598,50,,
6.535814,50,,
6.542927,49,,
6.555762,49,792,0
6.586199,49,,
6.596923,49,,
6.603373,49,,
6.617448,49,,
6.628275,49,,
6.635846,49,,
6.648806,49,,
6.659549,49,792,0
6.691006,49,,
6.697565,49,,
6.710769,49,,
6.721598,49,,
6.728051,49,,
6.741251,49,,
6.752286,49,,
6.758746,49,792,0
6.790813,49,,
6.803701,49,,
6.814469,49,,
6.820910,49,,
6.833829,49,,
6.845686,49,,
6.852181,49,,
6.865110,49,792,0
6.896478,49,,
6.907369,49,,
6.914040,49,,
6.927017,49,,
6.938281,49,,
6.945044,49,,
6.957973,49,,
6.968718,49,792,0
6.999865,49,,
7.006378,49,,
7.020355,49,,
7.031113,49,,
7.038609,49,,
7.051476,49,,
7.062508,49,,
7.069146,49,792,0
7.101735,49,,
7.113579,49,,
7.124422,49,,
7.130862,49,,
7.143981,49,,
7.154778,49,,
7.161304,49,,
7.175520,49,792,0
7.205718,49,,
7.217610,49,,
7.224051,49,,
7.236987,49,,
7.247678,49,,
7.254297,49,,
7.268475,49,,
7.279188,49,792,0
7.310645,50,,
7.317117,50,,
7.330012,50,,
7.340756,49,,
7.347516,49,,
7.361611,49,,
7.372545,49,,
7.379000,49,792,0
7.409457,49,,
7.423547,49,,
7.434430,49,,
7.441262,49,,
7.454479,49,,
7.466430,49,,
7.473361,49,,
7.485770,49,792,0
7.515870,49,,
7.526706,49,,
7.533243,49,,
7.547375,49,,
7.559257,49,,
7.565639,49,,
7.578524,49,,
7.589312,49,792,0
7.619879,49,,
7.626339,49,,
7.640369,49,,
7.652294,49,,
7.658735,49,,
7.671624,49,,
7.682757,49,,
7.688740,49,792,0
7.720299,49,,
7.733243,49,,
7.745003,49,,
7.752541,49,,
7.764306,49,,
7.775139,49,,
7.781569,49,,
7.795525,49,792,0
7.825606,49,,
7.837703,49,,
7.844151,49,,
7.857165,49,,
7.867950,49,,
7.875581,49,,
7.888413,49,,
7.898869,49,792,0
