trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted
A_dof3_v50_F750_n03.csv,3,50,750,847,97,580,4785,1371,77,0
A_dof3_v25_F100_n01.csv,3,25,100,100,0,60,8494,1355,79,0
A_dof3_v50_F100_n03.csv,3,50,100,100,0,30,4215,1339,77,0
A_dof3_v25_F500_n04.csv,3,25,500,544,44,437,9312,1339,78,0
A_dof3_v50_F500_n01.csv,3,50,500,575,75,474,4743,824,78,0
A_dof3_v25_F500_n02.csv,3,25,500,573,73,474,9319,821,78,0
A_dof3_v25_F100_n00.csv,3,25,100,102,2,59,8512,821,78,0
A_dof3_v50_F100_n02.csv,3,50,100,102,2,41,4266,821,78,0
A_dof3_v50_F1000_n02.csv,3,50,1000,1148,148,847,4886,822,78,0
A_dof3_v25_F250_n02.csv,3,25,250,285,35,245,9009,821,78,0
A_dof3_v50_F250_n03.csv,3,50,250,341,91,224,4568,822,78,0
A_dof3_v50_F250_n04.csv,3,50,250,331,81,230,4544,822,78,0
A_dof3_v25_F1000_n00.csv,3,25,1000,1075,75,944,9720,821,78,0
A_dof3_v50_F1000_n04.csv,3,50,1000,1122,122,793,4886,821,78,0
A_dof3_v25_F250_n00.csv,3,25,250,275,25,248,9053,820,78,0
A_dof3_v50_F500_n03.csv,3,50,500,612,112,402,4712,821,78,0
A_dof3_v25_F500_n01.csv,3,25,500,1873,1373,385,9177,821,78,0
A_dof3_v25_F1000_n03.csv,3,25,1000,1069,69,917,9734,821,78,0
A_dof3_v50_F750_n00.csv,3,50,750,864,114,620,4773,822,78,0
A_dof3_v25_F750_n00.csv,3,25,750,806,56,625,9530,821,78,0
A_dof3_v25_F500_n00.csv,3,25,500,564,64,475,9301,1150,78,0
A_dof3_v25_F1000_n01.csv,3,25,1000,1092,92,905,9721,826,78,0
A_dof3_v50_F1000_n01.csv,3,50,1000,1049,49,852,4910,821,78,0
A_dof3_v25_F100_n03.csv,3,25,100,110,10,61,373,,78,0
A_dof3_v25_F250_n04.csv,3,25,250,280,30,251,9032,824,78,0
A_dof3_v25_F100_n04.csv,3,25,100,108,8,57,385,,78,0
A_dof3_v50_F750_n01.csv,3,50,750,134,-616,-52,390,825,77,1
A_dof3_v50_F750_n02.csv,3,50,750,860,110,640,4786,825,78,0
A_dof3_v50_F500_n04.csv,3,50,500,598,98,435,4700,826,78,0
A_dof3_v25_F750_n02.csv,3,25,750,823,73,683,9517,828,78,0
A_dof3_v50_F100_n04.csv,3,50,100,115,15,41,231,,78,0
A_dof3_v50_F1000_n00.csv,3,50,1000,1159,159,846,4879,827,79,0
A_dof3_v25_F250_n01.csv,3,25,250,271,21,241,9008,821,78,0
A_dof3_v50_F500_n00.csv,3,50,500,616,116,399,4699,821,78,0
A_dof3_v25_F750_n03.csv,3,25,750,790,40,678,9549,821,78,0
A_dof3_v25_F250_n03.csv,3,25,250,279,29,241,9064,827,78,0
A_dof3_v50_F750_n04.csv,3,50,750,850,100,628,4787,826,79,0
A_dof3_v25_F500_n03.csv,3,25,500,542,42,471,9319,820,78,0
A_dof3_v50_F500_n02.csv,3,50,500,621,121,417,4713,821,78,0
A_dof3_v25_F1000_n02.csv,3,25,1000,1045,45,913,9704,825,78,0
A_dof3_v50_F250_n00.csv,3,50,250,323,73,228,4558,1097,78,0
A_dof3_v25_F750_n04.csv,3,25,750,838,88,698,9555,821,79,0
A_dof3_v50_F100_n00.csv,3,50,100,121,21,47,260,,78,0
A_dof3_v50_F250_n01.csv,3,50,250,365,115,290,4575,828,77,0
A_dof3_v50_F250_n02.csv,3,50,250,133,-117,84,342,821,79,0
A_dof3_v25_F750_n01.csv,3,25,750,827,77,708,9549,820,78,0
A_dof3_v25_F100_n02.csv,3,25,100,107,7,50,384,,78,0
A_dof3_v50_F100_n01.csv,3,50,100,122,22,47,267,,78,0
A_dof3_v50_F1000_n03.csv,3,50,1000,1088,88,843,4886,821,79,0
A_dof3_v25_F1000_n04.csv,3,25,1000,1065,65,849,9722,820,78,0
