t_s,force_g,pos_act,current_mA
0.000953,-8,770,-76
0.003175,-8,,
0.003780,-8,,
0.004752,-8,,
0.014108,-8,,
0.014739,-8,,
0.015380,-8,,
0.016026,-8,,
0.016637,-8,770,-85
0.019196,-8,,
0.025273,-8,,
0.026268,-8,,
0.026880,-8,,
0.027509,-8,,
0.028455,-8,,
0.029088,-8,,
0.029718,-8,770,-85
0.031643,-8,,
0.032617,-8,,
0.033612,-8,,
0.034550,-8,,
0.035156,-8,,
0.035769,-8,,
0.045479,-8,,
0.046402,-8,770,-85
0.049448,-8,,
0.050615,-8,,
0.056585,-8,,
0.057476,-8,,
0.058077,-8,,
0.058661,-8,,
0.059248,-8,,
0.059880,-8,770,-85
0.061699,-8,,
0.062357,-8,,
0.062975,-8,,
0.063596,-8,,
0.064210,-8,,
0.065170,-8,,
0.065771,-8,,
0.066435,-8,770,-85
0.077621,-8,,
0.078582,34,,
0.079202,34,,
0.079803,34,,
0.080453,34,,
0.081074,34,,
0.081697,34,,
0.087562,34,773,90
0.090052,34,,
0.090985,34,,
0.091902,34,,
0.093182,34,,
0.094187,34,,
0.095091,34,,
0.095677,34,,
0.096297,34,773,90
0.107454,34,,
0.108473,34,,
0.109352,34,,
0.110070,34,,
0.110933,34,,
0.111866,34,,
0.112802,34,,
0.118338,34,773,90
0.120470,34,,
0.121080,34,,
0.121762,34,,
0.122692,34,,
0.123683,34,,
0.124515,34,,
0.125113,34,,
0.125686,34,773,90
0.127571,34,,
0.128138,34,,
0.128741,34,,
0.138302,34,,
0.138928,103,,
0.139492,103,,
0.140169,103,,
0.140718,103,792,77
0.143351,103,,
0.149713,103,,
0.150595,103,,
0.151192,103,,
0.151777,103,,
0.152402,103,,
0.153011,103,,
0.153737,103,792,77
0.156102,103,,
0.156702,103,,
0.157342,103,,
0.157957,103,,
0.158560,103,,
0.159300,103,,
0.169251,103,,
0.170160,103,792,77
0.172760,103,,
0.173673,103,,
0.174449,103,,
0.180231,103,,
0.180911,103,,
0.181771,103,,
0.182374,103,,
0.182982,103,792,77
0.185127,103,,
0.185690,103,,
0.186339,103,,
0.186964,103,,
0.187554,103,,
0.188491,103,,
0.189098,103,,
0.189790,103,792,77
0.201081,126,,
0.202025,126,,
0.202643,126,,
0.203273,126,,
0.204106,126,,
0.205083,126,,
0.206009,126,,
0.211831,126,813,73
0.214280,126,,
0.214852,126,,
0.215497,126,,
0.216103,126,,
0.216667,126,,
0.217322,126,,
0.217946,126,,
0.218559,126,813,73
0.220674,126,,
