t_s,force_g,pos_act,current_mA
0.005475,75,763,0
0.008065,75,,
0.009019,75,,
0.009981,75,,
0.010934,75,,
0.011804,75,,
0.012382,75,,
0.013004,75,,
0.013588,75,763,0
0.015426,75,,
0.025017,75,,
0.025557,75,,
0.026152,75,,
0.026803,75,,
0.027408,75,,
0.028014,75,,
0.028666,75,763,0
0.030560,75,,
0.036679,75,,
0.037571,75,,
0.038120,75,,
0.038762,75,,
0.039341,75,,
0.039994,75,,
0.040612,75,763,0
0.042785,75,,
0.043830,75,,
0.044809,75,,
0.045717,84,,
0.046645,84,,
0.056197,84,,
0.057092,84,,
0.058049,84,768,174
0.060938,84,,
0.061528,84,,
0.067291,84,,
0.067904,84,,
0.068505,84,,
0.069521,84,,
0.070524,84,,
0.071442,84,768,174
0.073237,84,,
0.073912,84,,
0.074863,84,,
0.075751,82,,
0.076354,82,,
0.077406,82,,
0.087242,82,,
0.088166,82,781,121
0.090340,82,,
0.090980,82,,
0.091813,82,,
0.092785,82,,
0.098519,82,,
0.099488,82,,
0.100369,82,,
0.101283,82,781,121
0.103840,82,,
0.104792,82,,
0.105738,79,,
0.106680,79,,
0.107567,79,,
0.108360,79,,
0.118179,79,,
0.119050,79,802,109
0.121572,79,,
0.122175,79,,
0.123116,79,,
0.129516,79,,
0.130463,79,,
0.131431,79,,
0.132114,79,,
0.133082,79,802,109
0.135960,81,,
0.136858,81,,
0.137857,81,,
0.138794,81,,
0.139808,81,,
0.149256,81,,
0.150234,81,,
0.151182,81,830,113
0.154066,81,,
0.154981,81,,
0.160548,81,,
0.161578,81,,
0.162474,81,,
0.163365,81,,
0.164024,81,,
0.164947,81,851,106
0.167414,83,,
0.168291,83,,
0.169241,83,,
0.170228,83,,
0.180208,83,,
0.181108,83,,
0.182088,83,,
0.183014,83,851,106
0.185433,83,,
0.191259,83,,
0.191896,83,,
0.192493,83,,
0.193501,83,,
0.194435,83,,
0.195403,82,,
0.196355,82,874,123
0.198850,82,,
0.199786,82,,
0.200720,82,,
0.201680,82,,
0.211140,82,,
0.212087,82,,
0.213054,82,,
0.213972,82,874,123
0.216415,82,,
0.222497,82,,
0.223417,82,,
0.224186,82,,
0.225178,81,,
0.226044,81,,
0.226591,81,,
0.227210,81,897,108
0.229103,81,,
0.230047,81,,
0.231002,81,,
0.231990,81,,
0.232899,81,,
0.242359,81,,
0.242978,81,,
0.243945,81,897,108
0.245828,81,,
0.246476,81,,
0.247381,81,,
0.253160,81,,
0.253797,81,,
0.254397,81,,
0.255014,81,,
0.255998,81,918,108
0.257849,81,,
0.258458,81,,
0.259316,81,,
0.260368,81,,
0.261267,81,,
0.262196,81,,
0.263173,81,,
0.273019,81,918,108
0.274850,81,,
0.275455,81,,
0.276093,81,,
0.276907,81,,
0.278020,81,,
0.279236,81,,
0.284580,81,,
0.285485,81,918,108
0.287664,80,,
0.288301,80,,
0.288937,80,,
0.289564,80,,
0.290178,80,,
0.291169,80,,
0.292184,80,,
0.293147,80,940,108
0.304381,80,,
0.305293,80,,
0.305921,80,,
0.306527,80,,
0.307477,80,,
0.308103,80,,
0.308685,80,,
0.309658,80,940,108
0.316938,80,,
0.317544,81,,
0.318132,81,,
0.318700,81,,
0.319302,81,,
0.319910,81,,
0.320586,81,,
0.321174,81,962,88
0.323053,81,,
0.323644,81,,
0.324257,81,,
0.324890,81,,
0.325485,81,,
0.335240,81,,
0.336082,81,,
0.336666,81,962,88
0.338494,81,,
0.339084,81,,
0.339706,81,,
0.340312,81,,
0.346206,81,,
0.347124,84,,
0.347734,84,,
0.348333,84,988,80
0.350180,84,,
0.350795,84,,
0.351382,84,,
0.352004,84,,
0.352640,84,,
0.353229,84,,
0.353871,84,,
0.354482,84,988,80
0.366184,84,,
0.367091,84,,
0.367964,84,,
0.368608,84,,
0.369165,84,,
0.369812,84,,
0.370382,84,,
0.371051,84,988,80
0.378347,86,,
0.379000,86,,
0.379614,86,,
0.380188,86,,
0.380824,86,,
0.381460,86,,
0.382065,86,,
0.382674,86,1010,73
0.384523,86,,
0.385133,86,,
0.385743,86,,
0.386332,86,,
0.386990,86,,
0.387594,86,,
0.397230,86,,
0.397814,86,1010,73
0.399671,86,,
0.400252,86,,
0.400856,86,,
0.401509,86,,
0.402140,86,,
0.408422,86,,
0.409037,85,,
0.409671,85,1034,125
0.411499,85,,
0.412438,85,,
0.413076,85,,
0.414006,85,,
0.414614,85,,
0.415162,85,,
0.415821,85,,
0.416377,85,1034,125
0.418221,85,,
0.427944,85,,
0.428510,85,,
0.429156,85,,
0.429769,85,,
0.430379,85,,
0.431016,85,,
0.431953,85,1034,111
0.439156,84,,
0.440043,84,,
0.440988,84,,
0.441620,84,,
0.442193,84,,
0.442855,84,,
0.443430,84,,
0.444075,84,1052,111
0.446222,84,,
0.447080,84,,
0.447947,84,,
0.448520,84,,
0.449172,84,,
0.459102,84,,
0.460083,84,,
0.460985,84,1052,111
0.462865,84,,
0.463797,84,,
0.464403,87,,
0.470201,87,,
0.470799,87,,
0.471433,87,,
0.472121,87,,
0.473068,87,1076,87
0.474909,87,,
0.475524,87,,
0.476131,87,,
0.476753,87,,
0.477379,87,,
0.478041,87,,
0.478986,87,,
0.479632,87,1076,87
0.490687,87,,
0.491273,87,,
0.491934,87,,
0.492564,87,,
0.493155,85,,
0.494192,85,,
0.495149,85,,
0.501357,85,1099,69
