trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof3_v100_F500_n01.csv,3,100,500,841,341,481,2422,820,618,0,,0,89,,0
A_dof3_v750_F500_n01.csv,3,750,500,2381,1881,181,425,861,597,1,,0,-9,,0
A_dof3_v750_F500_n00.csv,3,750,500,3619,3119,290,473,854,654,1,,0,-9,,0
A_dof3_v250_F500_n02.csv,3,250,500,695,195,403,1031,824,561,0,,0,-6,,0
A_dof3_v750_F500_n02.csv,3,750,500,3417,2917,295,461,850,531,1,,0,-6,,0
A_dof3_v100_F500_n02.csv,3,100,500,783,283,440,2437,832,569,0,,0,-8,,0
A_dof3_v250_F500_n00.csv,3,250,500,1002,502,264,1024,823,569,0,,0,-6,,0
A_dof3_v500_F500_n01.csv,3,500,500,2065,1565,328,621,847,607,0,,0,-8,,0
A_dof3_v500_F500_n02.csv,3,500,500,2282,1782,238,574,847,625,1,,0,-2,,0
A_dof3_v250_F500_n01.csv,3,250,500,1010,510,252,1042,828,567,0,,0,-10,,0
A_dof3_v100_F500_n00.csv,3,100,500,689,189,374,2426,825,577,0,,0,-8,,0
A_dof3_v1000_F500_n02.csv,3,1000,500,3677,3177,283,413,923,603,1,,0,-8,,0
A_dof3_v1000_F500_n00.csv,3,1000,500,3674,3174,342,403,858,560,1,,0,-9,,0
A_dof3_v500_F500_n00.csv,3,500,500,2351,1851,230,592,861,597,1,,0,-8,,0
A_dof3_v1000_F500_n01.csv,3,1000,500,3654,3154,276,405,923,563,1,,0,-8,,0
