t_s,pos_act,force_g,current_mA
0.000875,98,0,0
0.003148,98,0,0
0.005688,98,0,0
0.007555,98,0,0
0.009424,98,0,0
0.020675,98,0,0
0.022854,98,0,0
0.024729,98,0,0
0.032384,98,0,0
0.034275,98,0,0
0.036156,98,0,0
0.038372,98,0,42
0.040260,98,-1,42
0.051258,98,-1,42
0.053157,98,-1,42
0.055322,98,-1,42
0.062415,98,-1,42
0.064287,98,-1,42
0.066187,98,-1,42
0.068017,98,-1,42
0.069851,104,9,62
0.072131,104,9,62
0.083744,104,9,62
0.086557,104,9,62
0.093550,104,9,62
0.095384,104,9,62
0.097261,104,9,62
0.099122,104,23,72
0.100999,110,23,72
0.102826,110,23,72
0.113957,110,23,72
0.115785,110,23,72
0.118060,110,23,72
0.125707,110,23,72
0.128519,110,23,68
0.130944,113,37,68
0.133123,113,37,68
0.144574,113,37,68
0.146385,113,37,68
0.148327,113,37,68
0.155325,113,37,68
0.157169,113,37,68
0.159071,113,42,75
0.160940,116,42,75
0.163130,116,42,75
0.164885,116,42,75
0.176292,116,42,75
0.178456,116,42,75
0.180312,116,42,75
0.187737,116,42,99
0.190811,117,47,99
0.193941,117,47,99
0.205884,117,47,99
0.208340,117,47,99
0.210482,117,47,99
0.218060,117,47,99
0.220522,117,47,86
0.223020,119,58,86
0.226248,119,58,86
0.238121,119,58,86
0.241456,119,58,86
0.248643,119,58,86
0.250845,119,57,65
0.253398,127,57,65
0.255637,127,57,65
0.258535,127,57,65
0.269750,127,57,65
0.271605,127,57,65
0.279321,127,57,92
0.282632,135,52,92
0.285122,135,52,92
0.287277,135,52,92
0.289137,135,52,92
0.300381,135,52,92
0.302223,135,52,92
0.310083,135,52,86
0.312844,140,47,86
0.315710,140,47,86
0.318550,140,47,86
0.330038,140,47,86
0.332860,140,47,86
0.335385,140,47,78
0.342670,146,40,78
0.345523,146,40,78
0.348374,146,40,78
0.350496,146,40,78
0.361827,146,40,78
0.364359,146,40,78
0.371858,146,36,87
0.374376,151,36,87
0.376201,151,36,87
0.378338,151,36,87
0.380658,151,36,87
0.391868,151,36,87
0.394355,151,36,87
0.396156,151,36,87
0.403943,151,36,87
0.406506,151,36,87
0.408395,151,36,87
0.410531,151,36,87
0.412409,151,36,87
0.423252,151,36,87
0.425234,151,36,87
0.427715,151,36,87
0.435015,151,36,87
0.437509,151,36,87
0.439725,151,36,87
0.441676,151,36,87
0.443851,151,36,87
0.454919,151,36,87
0.457515,151,36,81
0.464894,165,30,81
0.467487,165,30,81
0.469673,165,30,81
0.471522,165,30,81
0.474088,165,30,81
0.485662,165,30,81
0.487581,169,30,88
0.490075,169,30,88
0.497655,169,30,88
0.499530,169,30,88
0.501685,169,30,88
0.503633,169,30,88
0.506602,169,30,88
0.517965,169,30,88
0.519763,172,31,101
0.526963,172,31,101
0.529517,172,31,101
0.532074,172,31,101
0.534218,172,31,101
0.536079,172,31,101
0.547124,172,35,74
0.549577,176,35,74
0.551767,176,35,74
0.559767,176,35,74
0.561669,176,35,74
0.563915,176,35,74
0.566161,176,35,74
0.568059,176,35,74
0.579285,176,35,81
0.581500,183,35,81
0.589191,183,35,81
0.592351,183,35,81
0.595838,183,35,81
0.598929,183,35,81
0.610402,183,35,81
0.612615,183,35,81
0.620028,183,35,81
0.623148,183,35,81
0.626158,183,35,81
0.628354,183,35,81
0.639793,183,32,86
0.642621,193,32,86
0.644785,193,32,86
0.652171,193,32,86
0.654053,193,32,86
0.656291,193,32,86
0.658848,193,32,69
0.670855,195,34,69
0.674164,195,34,69
