n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
6,3,abrir,283,286,906.0,904,-2.0,1018,967,-51,12/0,13/1,44,0
4,3,cerrar,283,280,906,907.0,1.0,999,1007,8,12/0,10/0,44,0
2,3,cerrar,283,280,906.0,907,1.0,994,1003,9,7/0,11/0,44,0
0,3,abrir,283,286,906,904.0,-2.0,990,952,-38,7/0,4/1,44,0
4,2,cerrar,283,281,907,907,0,988,1000,12,8/3,9/0,44,0
1,2,abrir,283,285,906,904.0,-2.0,983,949,-34,4/0,6/0,44,0
8,5,cerrar,283,278,906.0,909.0,3.0,979,1030,51,10/0,7/2,44,0
1,1,abrir,283,284,907.0,905,-2.0,965,940,-25,7/1,9/0,44,0
6,5,cerrar,283,278,906,908.0,2.0,965,1030,65,10/0,7/2,44,0
1,3,cerrar,283,280,907,907.0,0.0,962,972,10,12/0,10/0,44,0
5,5,abrir,283,288,907,903,-4,960,900,-60,12/0,14/0,44,0
8,1,cerrar,283,282,907.0,907.0,0.0,962,963,1,4/0,10/1,44,0
7,2,abrir,283,285,907,904.0,-3.0,964,927,-37,17/0,7/0,46,0
9,2,cerrar,283,281,906.0,907,1.0,957,977,20,7/1,15/0,44,0
1,1,cerrar,283,282,907.0,907.0,0.0,961,963,2,4/0,5/0,44,0
4,1,abrir,283,284,907.0,905,-2.0,963,935,-28,7/0,11/0,44,0
2,3,abrir,283,286,907,904,-3,956,924,-32,3/3,8/0,44,0
9,3,abrir,283,286,906,904.0,-2.0,957,915,-42,10/2,4/1,44,0
3,5,cerrar,283,278,906.0,909.0,3.0,957,1008,51,10/0,11/0,44,0
8,1,abrir,283,284,906,905,-1,939,923,-16,19/1,9/0,44,0
7,3,cerrar,283,280,907.0,907.0,0.0,949,965,16,13/1,11/2,44,0
2,1,cerrar,283,282,907.0,906.0,-1.0,950,950,0,10/0,12/1,44,0
8,5,abrir,283,288,907,903.0,-4.0,951,887,-64,10/4,15/1,44,0
4,5,abrir,283,288,907,903.0,-4.0,947,892,-55,9/1,10/0,46,0
3,2,cerrar,283,281,906.0,906,0.0,945,966,21,6/1,8/4,46,0
7,1,cerrar,283,282,906.0,906,0.0,948,949,1,10/0,6/0,46,0
0,1,abrir,283,284,906.0,905.0,-1.0,949,918,-31,17/2,14/0,44,0
0,5,cerrar,283,278,906.0,909,3.0,948,1008,60,9/0,10/0,46,0
6,2,cerrar,283,281,907.0,907,0.0,940,957,17,11/1,14/0,46,0
5,1,abrir,283,284,906.0,905.0,-1.0,939,914,-25,5/1,9/0,46,0
5,3,abrir,283,286,906,904,-2,937,900,-37,6/0,14/0,46,0
1,5,abrir,283,288,906.0,903,-3.0,938,872,-66,11/0,20/0,46,0
5,2,cerrar,283,281,907.0,907.0,0.0,943,958,15,12/2,17/0,46,0
7,5,abrir,283,288,907,904.0,-3.0,948,887,-61,9/1,16/0,46,0
