t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
2.718225,1,1,93,60,96,118,245,50,0,0,-1,72,0,0,74
2.727876,0,0,93,60,96,118,245,50,0,0,-1,72,0,0,74
2.733671,0,0,93,60,96,118,245,50,0,0,-1,72,0,0,74
2.747100,1,1,93,60,96,119,245,50,0,0,-1,71,0,0,68
2.757015,0,0,93,60,96,119,245,50,0,0,-1,71,0,0,68
2.761570,0,0,93,60,96,119,245,50,0,0,-1,71,0,0,68
2.766146,0,0,93,60,96,119,245,50,0,0,-1,71,0,0,68
2.778401,0,1,93,60,96,119,245,50,0,0,-1,75,0,0,82
2.789429,0,0,93,60,96,119,245,50,0,0,-1,75,0,0,82
2.795103,0,0,93,60,96,119,245,50,0,0,-1,75,0,0,82
2.809157,1,1,93,60,96,123,245,50,0,0,-1,71,0,0,69
2.819419,0,0,93,60,96,123,245,50,0,0,-1,71,0,0,69
2.825013,0,0,93,60,96,123,245,50,0,0,-1,71,0,0,69
2.839300,1,1,93,60,96,130,245,50,0,0,0,68,0,0,73
2.850179,0,0,93,60,96,130,245,50,0,0,0,68,0,0,73
2.855253,0,1,93,60,96,130,245,50,0,0,-1,68,0,0,73
2.868837,1,1,93,60,96,135,245,50,0,0,-1,69,0,0,67
2.873129,0,0,93,60,96,135,245,50,0,0,-1,69,0,0,67
2.881835,0,0,93,60,96,135,245,50,0,0,-1,69,0,0,67
2.886042,0,1,93,60,96,135,245,50,0,0,0,69,0,0,93
2.890332,0,0,93,60,96,135,245,50,0,0,0,69,0,0,93
2.901146,0,0,93,60,96,135,245,50,0,0,0,69,0,0,93
2.911143,0,0,93,60,96,135,245,50,0,0,0,69,0,0,93
2.915778,0,1,93,60,96,135,245,50,0,0,-1,69,0,0,93
2.921208,1,1,93,60,96,138,245,50,0,0,-1,66,0,0,51
2.933094,0,0,93,60,96,138,245,50,0,0,-1,66,0,0,51
2.943495,0,0,93,60,96,138,245,50,0,0,-1,66,0,0,51
2.948644,1,1,93,60,96,141,245,50,0,0,0,67,0,0,75
2.961979,0,0,93,60,96,141,245,50,0,0,0,67,0,0,75
2.966240,0,0,93,60,96,141,245,50,0,0,0,67,0,0,75
2.974885,0,0,93,60,96,141,245,50,0,0,0,67,0,0,75
2.979076,1,1,93,60,96,144,245,50,0,0,0,63,0,0,84
2.992859,0,0,93,60,96,144,245,50,0,0,0,63,0,0,84
2.997801,0,0,93,60,96,144,245,50,0,0,0,63,0,0,84
3.005734,0,1,93,60,96,144,245,50,0,0,-1,63,0,0,84
3.010342,1,1,93,60,96,146,245,50,0,0,-1,61,0,0,84
3.023665,0,0,93,60,96,146,245,50,0,0,-1,61,0,0,84
3.027804,0,0,93,60,96,146,245,50,0,0,-1,61,0,0,84
3.036438,0,1,93,60,96,146,245,50,0,0,0,61,0,0,84
3.040591,1,1,93,60,96,149,245,50,0,0,0,60,0,0,87
3.044806,0,0,93,60,96,149,245,50,0,0,0,60,0,0,87
3.056335,0,0,93,60,96,149,245,50,0,0,0,60,0,0,87
3.065771,0,0,93,60,96,149,245,50,0,0,0,60,0,0,87
3.069864,1,1,93,60,96,151,245,50,0,0,0,58,0,0,70
3.073933,0,0,93,60,96,151,245,50,0,0,0,58,0,0,70
3.087295,0,0,93,60,96,151,245,50,0,0,0,58,0,0,70
3.097087,1,0,93,59,96,151,245,50,0,0,0,58,0,0,70
3.101684,1,1,93,59,96,153,245,50,0,0,0,56,0,0,80
3.106538,0,0,93,59,96,153,245,50,0,0,0,56,0,0,80
3.118765,0,0,93,59,96,153,245,50,0,0,0,56,0,0,80
3.128153,1,0,93,60,96,153,245,50,0,0,0,56,0,0,87
3.133084,1,0,93,60,96,154,245,50,0,0,0,56,0,0,87
3.138332,0,0,93,60,96,154,245,50,0,0,0,56,0,0,87
3.149910,0,0,93,60,96,154,245,50,0,0,0,56,0,0,87
3.159885,0,1,93,60,96,154,245,50,0,0,-1,52,0,0,72
3.164412,1,0,93,60,96,158,245,50,0,0,-1,52,0,0,72
3.169005,0,0,93,60,96,158,245,50,0,0,-1,52,0,0,72
3.180939,0,0,93,60,96,158,245,50,0,0,-1,52,0,0,72
3.190800,1,1,93,60,96,160,245,50,0,0,-1,54,0,0,82
3.195022,0,0,93,60,96,160,245,50,0,0,-1,54,0,0,82
3.199311,0,0,93,60,96,160,245,50,0,0,-1,54,0,0,82
3.211804,0,0,93,60,96,160,245,50,0,0,-1,54,0,0,82
3.221875,1,1,93,60,96,162,245,50,0,0,0,50,0,0,109
3.226682,0,0,93,60,96,162,245,50,0,0,0,50,0,0,109
3.231268,0,0,93,60,96,162,245,50,0,0,0,50,0,0,109
3.242821,0,1,93,60,96,162,245,50,0,0,-1,50,0,0,77
3.252882,1,1,93,60,96,164,245,50,0,0,-1,49,0,0,77
3.257087,0,0,93,60,96,164,245,50,0,0,-1,49,0,0,77
3.261696,0,0,93,60,96,164,245,50,0,0,-1,49,0,0,77
3.272962,0,0,93,60,96,164,245,50,0,0,-1,49,0,0,77
3.277099,1,1,93,60,96,167,245,50,0,0,0,48,0,0,79
3.284479,0,0,93,60,96,167,245,50,0,0,0,48,0,0,79
3.288738,0,0,93,60,96,167,245,50,0,0,0,48,0,0,79
3.293370,0,0,93,60,96,167,245,50,0,0,0,48,0,0,79
3.304305,0,1,93,60,96,167,245,50,0,0,-1,48,0,0,68
3.313861,1,1,93,60,96,169,245,50,0,0,-1,45,0,0,68
3.318112,0,0,93,60,96,169,245,50,0,0,-1,45,0,0,68
3.322743,0,0,93,60,96,169,245,50,0,0,-1,45,0,0,68
3.335775,0,1,93,60,96,169,245,50,0,1,0,45,0,0,68
3.345874,0,0,93,60,96,169,245,50,0,1,0,45,0,0,83
3.350835,0,0,93,60,96,169,245,50,0,1,0,45,0,0,83
3.355040,0,1,93,60,96,169,245,50,0,0,0,45,0,0,83
3.366408,0,0,93,60,96,169,245,50,0,0,0,45,0,0,83
3.376150,0,0,93,60,96,169,245,50,0,0,0,45,0,0,83
3.380414,0,0,93,60,96,169,245,50,0,0,0,45,0,0,83
3.384617,0,0,93,60,96,169,245,50,0,0,0,45,0,0,83
3.397273,0,0,93,60,96,169,245,50,0,0,0,45,0,0,74
