n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
9,4,abrir,290,294,271,1.1,15,126,-145,49.1,1,30.0,79.0,79.0,,,108.2,123,-3,-1.4,85,1462.0,1457,42,0
2,4,abrir,290,294,260,0.6,15,113,-147,50.5,0,59.7,110.3,110.3,,,110.3,111,-2,-1.0,87,1462.0,1457,42,0
2,7,abrir,290,297,255,0.7,15,33,-222,61.6,1,120.5,92.1,182.0,47.2,134.8,276.0,32,-1,-2.2,88,1462,1450,42,0
7,4,cerrar,290,286,252,0.8,15,345,92,48.1,2,29.1,77.2,77.2,,,289.0,377,32,-4.0,55,1462.0,1466,42,0
8,7,abrir,290,297,297,0.0,15,18,-279,40.7,0,91.2,72.1,131.9,42.2,89.6,309.1,18,0,-1.2,63,1462.0,1450,42,0
6,4,cerrar,290,286,208,0.7,15,343,135,49.6,3,88.6,79.8,138.2,50.5,87.7,168.8,360,17,-3.1,67,1462,1467,42,0
2,7,cerrar,290,283,300,0.9,15,412,112,45.5,1,31.8,77.3,77.3,,,188.1,436,24,-2.5,62,1462,1473,42,0
0,4,cerrar,290,286,291,0.5,15,344,53,74.3,3,0.0,74.3,74.3,,,74.3,346,2,-1.2,62,1464,1471,42,0
8,4,abrir,290,294,258,0.5,15,46,-212,57.4,3,93.2,88.4,150.6,57.3,93.3,201.8,44,-2,-0.8,70,1463,1457,42,0
3,4,cerrar,290,286,130,0.3,15,287,157,61.3,3,60.6,90.6,121.9,74.9,47.0,146.5,299,12,-3.4,48,1462,1467,42,0
8,4,cerrar,290,286,268,0.5,15,295,27,80.2,2,0.0,49.5,80.2,34.2,45.9,49.5,309,14,-3.8,65,1465.0,1466,42,0
5,4,cerrar,290,286,272,0.5,15,317,45,68.0,3,0.0,46.5,68.0,35.8,32.1,68.0,324,7,-1.7,48,1463,1469,42,0
4,4,cerrar,290,286,273,0.0,15,321,48,87.9,4,0.0,87.9,87.9,,,87.9,327,6,-2.7,48,1462,1469,42,0
6,7,cerrar,290,283,277,0.4,15,385,108,91.4,4,0.0,91.4,91.4,,,1602.6,420,35,-101.0,95,1464,1466,42,0
9,7,abrir,290,297,307,0.3,15,12,-295,48.7,1,110.6,77.4,159.3,36.5,122.8,310.8,10,-2,0.0,77,1464,1450,42,0
3,7,cerrar,290,283,172,0.4,15,391,219,124.1,4,30.8,124.1,154.9,108.7,46.3,237.2,410,19,-1.7,79,1464,1473,42,0
1,4,cerrar,290,286,285,0.5,15,331,46,58.9,1,30.9,58.9,89.8,43.5,46.3,89.8,339,8,-0.9,72,1464.0,1471,42,0
7,7,cerrar,290,283,250,0.5,15,382,132,95.3,6,0.0,95.3,95.3,,,95.3,403,22,-11.4,82,1463,1470,42,0
8,7,cerrar,290,283,272,0.5,15,367,95,61.3,1,90.5,151.8,151.8,,,151.8,390,23,-49.8,110,1464.0,1469,42,0
4,7,cerrar,290,283,271,0.3,15,376,105,48.6,2,32.2,80.8,80.8,,,702.8,405,29,-73.3,106,1463.0,1467,42,0
3,4,abrir,290,294,270,0.5,15,66,-204,51.1,4,63.0,83.2,114.1,67.7,46.4,172.8,63,-3,0.7,57,1463.0,1457,42,0
5,7,cerrar,290,283,119,0.5,15,376,257,64.6,2,58.7,64.6,123.3,35.2,88.1,213.2,396,20,-3.2,61,1462.0,1471,42,0
2,4,cerrar,290,286,282,0.5,15,321,39,44.9,0,27.4,44.9,72.2,31.2,41.0,72.2,334,13,-0.5,79,1464.0,1469,42,0
1,7,abrir,290,297,258,0.4,15,10,-248,92.1,6,61.3,92.1,153.5,61.5,92.0,306.2,8,-2,1.3,89,1462,1451,42,0
9,7,cerrar,290,283,164,0.5,15,381,217,63.2,4,89.9,122.1,153.2,106.6,46.6,182.5,396,15,-2.0,82,1462.0,1473,42,0
9,4,cerrar,290,286,282,0.3,15,326,44,52.8,4,28.8,52.8,81.7,38.4,43.3,81.7,334,8,-0.2,58,1464.0,1471,42,0
7,7,abrir,290,297,254,0.5,15,10,-244,48.2,1,91.8,78.2,140.0,47.3,92.7,290.0,8,-2,1.6,71,1462.0,1451,42,0
5,4,abrir,290,294,166,0.5,15,90,-76,63.5,1,31.0,94.5,94.5,,,125.2,89,-1,0.3,76,1462.0,1457,42,0
6,4,abrir,290,294,157,0.5,15,76,-81,72.1,2,29.0,72.1,101.1,57.6,43.6,101.1,76,0,-1.7,71,1462.0,1457,42,0
1,7,cerrar,290,283,161,0.0,15,384,223,49.0,0,90.9,80.5,139.8,50.8,89.1,220.5,400,16,-2.9,83,1463.0,1473,42,0
5,7,abrir,290,297,290,0.4,15,9,-281,34.7,3,90.2,64.1,124.9,33.8,91.1,305.6,6,-3,2.9,80,1463,1451,42,0
0,7,cerrar,290,283,160,0.6,15,384,224,46.3,0,89.8,77.0,136.0,47.4,88.6,229.1,400,16,-2.4,51,1463,1473,42,0
1,4,abrir,290,294,279,0.4,15,52,-227,79.5,2,52.1,79.5,131.6,53.5,78.1,194.3,50,-2,1.2,50,1464,1457,42,0
3,7,abrir,290,297,121,0.2,15,8,-113,35.5,1,119.0,64.6,154.4,19.8,134.7,245.9,6,-2,0.6,97,1463,1451,42,0
4,7,abrir,290,297,163,0.5,15,8,-155,48.8,2,89.7,78.1,138.5,47.8,90.7,281.4,7,-1,0.0,62,1462.0,1450,42,0
0,7,abrir,290,297,,,,,,,,,,,,,,,,,,1463,1450,42,1
7,4,abrir,290,294,159,0.6,15,72,-88,47.7,0,51.0,68.6,98.7,53.6,45.1,98.7,71,-0,4.4,73,1462,1457,42,0
4,4,abrir,290,294,146,0.7,15,75,-72,49.3,2,58.6,80.1,107.9,66.2,41.7,107.9,74,-1,-1.4,72,1462.0,1457,42,0
0,4,abrir,290,294,148,0.4,15,79,-69,42.1,0,59.7,70.2,101.7,54.4,47.4,101.7,78,-1,0.0,67,1462,1457,42,0
6,7,abrir,290,297,147,0.5,15,9,-138,33.2,1,91.8,62.6,125.1,31.4,93.7,244.7,8,-1,0.2,83,1463,1450,42,0
