trial,step_units,dir,phase,t_s,force_g,pos_act,fresh_force
9,4,abrir,base,0.000809,272,1461,1
9,4,abrir,base,0.002063,272,1461,0
9,4,abrir,base,0.002640,272,1461,0
9,4,abrir,base,0.003325,272,1461,0
9,4,abrir,base,0.003946,272,1461,0
9,4,abrir,base,0.004606,272,1461,0
9,4,abrir,base,0.005272,272,1461,0
9,4,abrir,base,0.005871,272,1461,0
9,4,abrir,base,0.006494,272,1461,0
9,4,abrir,base,0.007158,272,1461,0
9,4,abrir,base,0.016854,272,1461,0
9,4,abrir,base,0.017700,272,1461,0
9,4,abrir,base,0.018363,272,1461,0
9,4,abrir,base,0.019602,272,1461,0
9,4,abrir,base,0.020242,272,1461,0
9,4,abrir,base,0.020901,272,1461,0
9,4,abrir,base,0.021510,272,1461,0
9,4,abrir,base,0.022183,272,1461,0
9,4,abrir,base,0.028116,272,1461,0
9,4,abrir,base,0.028721,272,1461,0
9,4,abrir,base,0.029375,272,1461,0
9,4,abrir,base,0.029958,272,1461,0
9,4,abrir,base,0.030632,272,1461,0
9,4,abrir,base,0.031266,272,1461,0
9,4,abrir,base,0.031932,272,1461,0
9,4,abrir,base,0.033187,272,1461,1
9,4,abrir,base,0.033814,272,1461,0
9,4,abrir,base,0.034435,272,1461,0
9,4,abrir,base,0.035039,272,1461,1
9,4,abrir,base,0.035660,272,1461,0
9,4,abrir,base,0.036645,272,1461,0
9,4,abrir,base,0.037240,272,1461,0
9,4,abrir,base,0.037840,272,1461,0
9,4,abrir,base,0.047699,272,1461,0
9,4,abrir,base,0.048571,272,1461,0
9,4,abrir,base,0.049198,272,1461,0
9,4,abrir,base,0.049790,272,1461,0
9,4,abrir,base,0.051097,272,1461,1
9,4,abrir,base,0.052076,272,1461,0
9,4,abrir,base,0.052665,272,1461,0
9,4,abrir,base,0.058649,272,1461,0
9,4,abrir,base,0.059239,272,1461,0
9,4,abrir,base,0.059896,272,1461,0
9,4,abrir,base,0.060454,272,1461,0
9,4,abrir,base,0.061084,272,1461,0
9,4,abrir,base,0.061687,272,1461,0
9,4,abrir,base,0.062348,272,1461,0
9,4,abrir,base,0.063285,272,1461,1
9,4,abrir,base,0.063893,272,1461,0
9,4,abrir,base,0.065133,272,1461,0
9,4,abrir,base,0.065802,272,1461,0
9,4,abrir,base,0.066376,272,1461,0
9,4,abrir,base,0.067084,272,1461,0
9,4,abrir,base,0.067674,272,1461,0
9,4,abrir,base,0.068692,272,1461,0
9,4,abrir,base,0.078704,272,1461,0
9,4,abrir,base,0.079334,272,1461,0
9,4,abrir,base,0.079907,272,1461,0
9,4,abrir,base,0.080522,272,1461,0
9,4,abrir,base,0.081192,272,1461,0
9,4,abrir,base,0.081842,272,1461,0
9,4,abrir,base,0.083030,272,1461,0
9,4,abrir,base,0.083703,272,1461,0
9,4,abrir,base,0.089694,272,1461,0
9,4,abrir,base,0.090365,272,1461,0
9,4,abrir,base,0.090940,272,1461,0
9,4,abrir,base,0.091569,272,1461,0
9,4,abrir,base,0.092119,272,1461,0
9,4,abrir,base,0.092782,272,1461,0
9,4,abrir,base,0.093438,272,1461,0
9,4,abrir,base,0.094011,272,1461,0
9,4,abrir,base,0.094591,272,1461,0
9,4,abrir,base,0.095221,272,1461,1
9,4,abrir,base,0.096497,272,1461,0
9,4,abrir,base,0.097100,272,1461,0
9,4,abrir,base,0.097766,272,1461,0
9,4,abrir,base,0.098429,272,1461,0
9,4,abrir,base,0.099003,272,1461,0
9,4,abrir,base,0.099607,272,1461,0
9,4,abrir,base,0.100277,272,1461,0
9,4,abrir,base,0.109758,272,1461,0
9,4,abrir,base,0.110319,272,1461,0
9,4,abrir,base,0.110950,272,1461,0
9,4,abrir,base,0.111568,272,1461,0
9,4,abrir,base,0.112132,272,1461,0
9,4,abrir,base,0.113500,272,1461,0
9,4,abrir,base,0.114453,272,1461,0
9,4,abrir,base,0.115471,272,1461,0
9,4,abrir,base,0.121246,272,1461,0
9,4,abrir,base,0.122084,271,1461,1
9,4,abrir,base,0.122712,271,1461,0
9,4,abrir,base,0.123284,271,1461,0
9,4,abrir,base,0.123900,271,1461,0
9,4,abrir,base,0.124508,271,1461,0
9,4,abrir,base,0.125151,271,1461,0
9,4,abrir,base,0.125760,271,1461,0
9,4,abrir,base,0.126368,271,1461,0
9,4,abrir,base,0.127675,271,1461,0
9,4,abrir,base,0.128301,271,1461,0
9,4,abrir,base,0.128936,271,1461,0
9,4,abrir,base,0.129548,271,1461,0
9,4,abrir,base,0.130217,271,1461,0
9,4,abrir,base,0.131144,271,1461,0
9,4,abrir,base,0.140718,271,1461,0
9,4,abrir,base,0.141656,271,1461,0
9,4,abrir,base,0.142254,271,1461,0
9,4,abrir,base,0.142836,271,1461,0
9,4,abrir,base,0.143507,271,1461,0
9,4,abrir,base,0.144135,271,1461,0
9,4,abrir,base,0.145396,271,1461,0
9,4,abrir,base,0.146013,271,1461,0
9,4,abrir,base,0.151749,271,1461,0
9,4,abrir,base,0.152670,271,1461,0
9,4,abrir,base,0.153299,271,1461,0
9,4,abrir,base,0.153891,271,1461,0
9,4,abrir,base,0.154539,271,1461,0
9,4,abrir,base,0.155147,271,1461,0
9,4,abrir,base,0.155805,271,1461,0
9,4,abrir,base,0.156383,271,1461,0
9,4,abrir,base,0.157089,271,1461,0
9,4,abrir,base,0.157653,271,1461,0
9,4,abrir,base,0.158914,271,1461,0
9,4,abrir,base,0.159503,271,1461,0
9,4,abrir,base,0.160142,271,1461,0
9,4,abrir,base,0.160751,271,1461,0
9,4,abrir,base,0.161396,271,1461,0
9,4,abrir,base,0.162015,271,1461,0
9,4,abrir,base,0.171691,271,1461,0
9,4,abrir,base,0.172217,271,1461,0
9,4,abrir,base,0.172868,271,1461,0
9,4,abrir,base,0.173486,271,1461,0
9,4,abrir,base,0.174100,271,1461,0
9,4,abrir,base,0.174682,271,1461,0
9,4,abrir,base,0.175970,271,1461,0
9,4,abrir,base,0.176593,271,1461,0
9,4,abrir,base,0.177206,271,1461,0
9,4,abrir,base,0.182946,271,1461,0
9,4,abrir,base,0.183576,271,1461,0
9,4,abrir,base,0.184179,271,1461,0
9,4,abrir,base,0.184793,271,1461,0
9,4,abrir,base,0.185443,271,1461,1
9,4,abrir,base,0.186065,271,1461,0
9,4,abrir,base,0.187037,271,1461,0
9,4,abrir,base,0.187655,271,1461,0
9,4,abrir,base,0.188283,271,1461,0
9,4,abrir,base,0.189493,271,1461,0
9,4,abrir,base,0.190078,271,1461,0
9,4,abrir,base,0.190692,271,1461,0
9,4,abrir,base,0.191300,271,1461,0
9,4,abrir,base,0.191952,271,1461,0
9,4,abrir,base,0.192568,271,1461,0
9,4,abrir,base,0.193186,271,1461,0
9,4,abrir,base,0.202827,271,1461,0
9,4,abrir,base,0.203398,271,1461,0
9,4,abrir,base,0.204017,271,1461,0
9,4,abrir,base,0.204677,271,1461,0
9,4,abrir,base,0.205302,271,1461,1
9,4,abrir,base,0.206589,271,1461,0
9,4,abrir,base,0.207180,271,1461,1
9,4,abrir,base,0.207846,271,1461,0
9,4,abrir,base,0.213987,271,1461,0
9,4,abrir,base,0.214704,271,1461,0
9,4,abrir,base,0.215323,271,1461,0
9,4,abrir,base,0.215937,271,1461,0
9,4,abrir,base,0.216561,271,1461,0
9,4,abrir,base,0.217334,271,1461,0
9,4,abrir,base,0.218132,271,1461,0
9,4,abrir,base,0.218718,271,1461,0
9,4,abrir,base,0.219348,271,1461,0
9,4,abrir,base,0.220646,271,1461,0
9,4,abrir,base,0.221190,271,1461,0
9,4,abrir,base,0.221826,271,1461,0
9,4,abrir,base,0.222602,271,1461,0
9,4,abrir,base,0.223412,271,1461,0
9,4,abrir,base,0.224008,271,1461,0
9,4,abrir,base,0.233669,271,1461,0
9,4,abrir,base,0.234230,271,1461,1
9,4,abrir,base,0.235170,271,1461,0
9,4,abrir,base,0.235763,271,1461,0
9,4,abrir,base,0.236445,271,1461,0
9,4,abrir,base,0.237365,271,1461,0
9,4,abrir,base,0.238547,271,1461,0
9,4,abrir,base,0.239166,271,1461,1
9,4,abrir,base,0.244875,271,1461,0
9,4,abrir,base,0.245505,271,1461,1
9,4,abrir,base,0.246080,271,1461,0
9,4,abrir,base,0.246686,271,1461,0
9,4,abrir,base,0.247368,271,1461,0
9,4,abrir,base,0.247972,271,1461,0
9,4,abrir,base,0.248552,271,1461,0
9,4,abrir,base,0.249182,271,1461,0
9,4,abrir,base,0.249804,271,1461,0
9,4,abrir,base,0.250419,271,1461,0
9,4,abrir,base,0.251658,271,1461,0
9,4,abrir,base,0.252271,271,1461,0
9,4,abrir,base,0.252936,271,1461,0
9,4,abrir,base,0.253554,271,1461,0
9,4,abrir,base,0.254148,271,1461,0
9,4,abrir,base,0.254840,271,1461,0
9,4,abrir,base,0.264602,271,1461,0
9,4,abrir,base,0.265178,271,1461,0
9,4,abrir,base,0.265866,271,1461,0
9,4,abrir,base,0.266784,271,1461,0
9,4,abrir,base,0.267372,271,1461,1
9,4,abrir,base,0.268063,271,1461,0
9,4,abrir,base,0.269545,270,1461,1
9,4,abrir,base,0.270120,270,1461,0
9,4,abrir,base,0.275959,270,1461,1
9,4,abrir,base,0.276581,270,1461,0
9,4,abrir,base,0.277213,270,1461,0
9,4,abrir,base,0.277851,270,1461,0
9,4,abrir,base,0.278441,270,1461,0
9,4,abrir,base,0.279075,270,1461,0
9,4,abrir,base,0.279729,270,1461,0
9,4,abrir,base,0.280344,270,1461,0
9,4,abrir,base,0.280939,270,1461,0
9,4,abrir,base,0.281653,270,1461,0
9,4,abrir,base,0.283169,270,1461,0
9,4,abrir,base,0.283722,270,1461,0
9,4,abrir,base,0.284344,270,1461,0
9,4,abrir,base,0.284968,270,1461,0
9,4,abrir,base,0.285621,270,1461,1
9,4,abrir,base,0.286226,270,1461,0
9,4,abrir,base,0.295821,270,1461,0
9,4,abrir,base,0.296452,270,1461,0
9,4,abrir,base,0.297402,271,1461,1
9,4,abrir,base,0.297994,271,1461,0
9,4,abrir,base,0.298618,271,1461,0
9,4,abrir,base,0.299226,271,1461,1
9,4,abrir,base,0.300511,271,1461,0
9,4,abrir,base,0.301133,271,1461,1
9,4,abrir,base,0.307145,271,1461,0
9,4,abrir,base,0.308086,271,1461,0
9,4,abrir,base,0.308705,271,1461,0
9,4,abrir,base,0.309311,271,1461,0
9,4,abrir,base,0.309906,271,1461,0
9,4,abrir,base,0.310533,271,1461,0
9,4,abrir,base,0.311161,271,1461,0
9,4,abrir,base,0.311840,271,1461,0
9,4,abrir,base,0.312465,271,1461,0
9,4,abrir,base,0.313090,271,1461,0
9,4,abrir,base,0.314358,271,1461,0
9,4,abrir,base,0.315347,271,1461,0
9,4,abrir,base,0.316252,271,1461,1
9,4,abrir,base,0.317176,271,1461,0
9,4,abrir,base,0.326612,271,1461,0
9,4,abrir,base,0.327508,271,1461,0
9,4,abrir,base,0.328452,271,1461,0
9,4,abrir,base,0.329127,271,1461,0
9,4,abrir,base,0.330259,271,1461,0
9,4,abrir,base,0.331116,271,1461,0
9,4,abrir,base,0.332105,271,1461,0
9,4,abrir,base,0.337891,271,1461,0
9,4,abrir,base,0.340154,271,1461,0
9,4,abrir,base,0.341190,271,1461,0
9,4,abrir,base,0.342119,271,1461,0
9,4,abrir,base,0.343084,271,1461,0
9,4,abrir,base,0.344041,271,1461,0
9,4,abrir,base,0.345115,271,1461,0
9,4,abrir,base,0.345999,271,1461,1
9,4,abrir,base,0.346973,271,1461,0
9,4,abrir,base,0.347935,271,1461,0
9,4,abrir,base,0.357735,271,1461,0
9,4,abrir,base,0.358613,271,1461,0
9,4,abrir,base,0.359561,271,1461,0
9,4,abrir,base,0.360790,271,1461,0
9,4,abrir,base,0.361409,271,1461,0
9,4,abrir,base,0.361994,271,1461,0
9,4,abrir,base,0.362630,271,1461,0
9,4,abrir,base,0.363234,271,1461,0
9,4,abrir,base,0.369273,271,1461,0
9,4,abrir,base,0.370346,271,1461,0
9,4,abrir,base,0.371309,271,1461,0
9,4,abrir,base,0.372310,271,1461,0
9,4,abrir,base,0.373419,271,1461,0
9,4,abrir,base,0.374419,271,1461,0
9,4,abrir,base,0.375343,271,1461,0
9,4,abrir,base,0.376953,271,1461,0
9,4,abrir,base,0.377913,271,1461,0
9,4,abrir,base,0.378520,271,1461,0
9,4,abrir,base,0.379130,271,1461,0
9,4,abrir,base,0.389004,271,1461,0
9,4,abrir,base,0.390013,270,1461,1
9,4,abrir,base,0.390981,270,1461,0
9,4,abrir,base,0.391993,270,1461,0
9,4,abrir,base,0.392990,270,1461,1
9,4,abrir,base,0.393963,270,1461,0
9,4,abrir,base,0.400125,270,1461,0
9,4,abrir,base,0.400715,270,1461,0
9,4,abrir,base,0.402054,270,1461,0
9,4,abrir,base,0.402965,270,1461,0
9,4,abrir,base,0.403597,270,1461,0
9,4,abrir,base,0.404210,270,1461,0
9,4,abrir,base,0.405186,270,1461,0
9,4,abrir,base,0.406119,270,1461,0
9,4,abrir,base,0.406813,270,1461,1
9,4,abrir,base,0.407769,270,1461,0
9,4,abrir,base,0.408706,270,1461,0
9,4,abrir,base,0.409669,270,1461,0
9,4,abrir,base,0.419620,270,1461,0
9,4,abrir,base,0.420578,270,1461,0
9,4,abrir,base,0.421828,270,1461,0
9,4,abrir,base,0.422826,270,1461,0
9,4,abrir,base,0.423482,270,1461,0
9,4,abrir,base,0.424106,270,1461,0
9,4,abrir,base,0.424725,270,1461,0
9,4,abrir,base,0.430770,270,1461,0
9,4,abrir,base,0.431372,270,1461,0
9,4,abrir,base,0.432327,270,1461,0
9,4,abrir,base,0.433359,270,1461,0
9,4,abrir,base,0.434265,270,1461,0
9,4,abrir,base,0.435252,270,1461,0
9,4,abrir,base,0.436214,270,1461,0
9,4,abrir,base,0.437451,270,1461,1
9,4,abrir,base,0.438070,270,1461,0
9,4,abrir,base,0.439023,270,1461,0
9,4,abrir,base,0.439616,270,1461,0
9,4,abrir,base,0.440233,270,1461,0
9,4,abrir,base,0.441207,270,1461,0
9,4,abrir,base,0.450685,270,1461,0
9,4,abrir,base,0.451631,269,1461,1
9,4,abrir,base,0.452202,269,1461,0
9,4,abrir,base,0.453160,269,1461,0
9,4,abrir,base,0.453800,269,1461,1
9,4,abrir,base,0.454437,269,1461,0
9,4,abrir,base,0.455685,269,1461,1
9,4,abrir,base,0.461796,269,1461,0
9,4,abrir,base,0.462413,269,1461,0
9,4,abrir,base,0.463238,269,1461,0
9,4,abrir,base,0.464208,269,1461,0
9,4,abrir,base,0.465249,269,1461,0
9,4,abrir,base,0.466186,269,1461,0
9,4,abrir,base,0.467118,269,1461,1
9,4,abrir,base,0.467799,269,1461,0
9,4,abrir,base,0.468744,269,1461,0
9,4,abrir,base,0.469700,269,1461,0
9,4,abrir,base,0.470680,269,1461,0
9,4,abrir,base,0.472236,269,1461,0
9,4,abrir,base,0.481984,269,1461,0
9,4,abrir,base,0.482855,269,1461,0
9,4,abrir,base,0.483519,269,1461,0
9,4,abrir,base,0.484535,269,1461,0
9,4,abrir,base,0.485461,269,1461,0
9,4,abrir,base,0.486460,269,1461,0
9,4,abrir,base,0.487429,269,1461,0
9,4,abrir,base,0.493230,269,1461,0
9,4,abrir,base,0.494193,269,1461,0
9,4,abrir,base,0.495171,269,1461,0
9,4,abrir,base,0.495822,269,1461,0
9,4,abrir,base,0.497361,269,1461,1
9,4,abrir,base,0.498002,269,1461,0
9,4,abrir,base,0.498982,269,1461,0
9,4,abrir,base,0.499903,269,1461,1
9,4,abrir,base,0.500830,269,1461,0
9,4,abrir,base,0.501483,269,1461,0
9,4,abrir,base,0.502413,269,1461,0
9,4,abrir,base,0.503105,269,1461,0
9,4,abrir,base,0.512745,269,1461,0
9,4,abrir,base,0.513655,269,1461,1
9,4,abrir,base,0.514583,269,1461,0
9,4,abrir,base,0.515248,269,1461,1
9,4,abrir,base,0.517163,269,1461,0
9,4,abrir,base,0.518107,269,1461,0
9,4,abrir,base,0.523871,269,1461,0
9,4,abrir,base,0.524770,269,1461,0
9,4,abrir,base,0.525373,269,1461,0
9,4,abrir,base,0.526000,269,1461,0
9,4,abrir,base,0.526957,269,1461,0
9,4,abrir,base,0.527946,269,1461,0
9,4,abrir,base,0.528533,269,1461,0
9,4,abrir,base,0.529487,269,1461,0
9,4,abrir,base,0.530468,269,1461,0
9,4,abrir,base,0.531048,269,1461,0
9,4,abrir,base,0.532310,269,1461,0
9,4,abrir,base,0.532976,269,1461,0
9,4,abrir,base,0.533881,269,1461,0
9,4,abrir,base,0.543614,269,1461,0
9,4,abrir,base,0.544203,269,1461,0
9,4,abrir,base,0.544795,269,1461,0
9,4,abrir,base,0.545444,269,1461,0
9,4,abrir,base,0.546063,269,1461,0
9,4,abrir,base,0.547052,269,1461,0
9,4,abrir,base,0.548029,269,1461,0
9,4,abrir,base,0.548997,269,1461,0
9,4,abrir,base,0.554765,269,1461,0
9,4,abrir,base,0.556697,269,1461,0
9,4,abrir,base,0.557333,269,1461,0
9,4,abrir,base,0.557987,269,1461,0
9,4,abrir,base,0.558621,269,1461,1
9,4,abrir,base,0.559195,269,1461,0
9,4,abrir,base,0.559838,269,1461,0
9,4,abrir,base,0.560497,269,1461,0
9,4,abrir,base,0.561065,269,1461,0
9,4,abrir,base,0.561740,269,1461,0
9,4,abrir,base,0.562379,269,1461,0
9,4,abrir,base,0.563026,269,1461,0
9,4,abrir,base,0.564169,269,1461,0
9,4,abrir,base,0.574853,269,1461,0
9,4,abrir,base,0.575980,269,1461,1
9,4,abrir,base,0.576970,269,1461,0
9,4,abrir,base,0.577945,269,1461,0
9,4,abrir,base,0.578916,269,1461,0
9,4,abrir,base,0.579891,269,1461,0
9,4,abrir,base,0.586177,269,1461,0
9,4,abrir,base,0.587145,269,1461,0
9,4,abrir,base,0.588138,269,1461,0
9,4,abrir,base,0.589082,269,1461,0
9,4,abrir,base,0.590105,269,1461,0
9,4,abrir,base,0.591275,269,1461,0
9,4,abrir,base,0.593254,269,1461,0
9,4,abrir,base,0.594244,269,1461,0
9,4,abrir,base,0.595204,269,1461,0
9,4,abrir,base,0.596182,269,1461,0
9,4,abrir,base,0.605649,269,1461,0
9,4,abrir,step,0.001517,269,1461,0
9,4,abrir,step,0.002780,269,1461,0
9,4,abrir,step,0.003401,269,1461,0
9,4,abrir,step,0.004053,269,1461,0
9,4,abrir,step,0.004658,269,1461,0
9,4,abrir,step,0.005460,269,1461,0
9,4,abrir,step,0.011155,269,1461,0
9,4,abrir,step,0.012032,269,1461,0
9,4,abrir,step,0.012617,269,1461,0
9,4,abrir,step,0.013269,269,1461,0
9,4,abrir,step,0.013884,269,1461,0
9,4,abrir,step,0.014469,269,1461,0
9,4,abrir,step,0.015172,269,1461,0
9,4,abrir,step,0.017099,269,1461,0
9,4,abrir,step,0.018109,269,1461,0
9,4,abrir,step,0.019024,269,1461,0
9,4,abrir,step,0.019588,269,1461,0
9,4,abrir,step,0.020236,269,1461,0
9,4,abrir,step,0.021232,269,1461,0
9,4,abrir,step,0.031120,269,1461,0
9,4,abrir,step,0.032143,269,1461,0
9,4,abrir,step,0.033125,269,1461,0
9,4,abrir,step,0.034125,269,1461,0
9,4,abrir,step,0.035083,269,1461,0
9,4,abrir,step,0.036081,269,1461,0
9,4,abrir,step,0.042985,269,1461,1
9,4,abrir,step,0.043612,269,1461,0
9,4,abrir,step,0.044283,269,1461,0
9,4,abrir,step,0.045213,269,1461,0
9,4,abrir,step,0.045871,269,1461,0
9,4,abrir,step,0.046842,269,1461,0
9,4,abrir,step,0.047462,269,1461,0
9,4,abrir,step,0.048089,269,1461,0
9,4,abrir,step,0.049089,238,1461,1
9,4,abrir,step,0.050027,238,1461,0
9,4,abrir,step,0.050975,238,1461,0
9,4,abrir,step,0.051956,238,1459,0
9,4,abrir,step,0.062489,238,1459,0
9,4,abrir,step,0.063437,238,1459,0
9,4,abrir,step,0.064375,238,1459,0
9,4,abrir,step,0.065370,238,1459,0
9,4,abrir,step,0.066522,238,1459,0
9,4,abrir,step,0.067601,238,1459,0
9,4,abrir,step,0.073357,238,1459,0
9,4,abrir,step,0.074339,238,1459,0
9,4,abrir,step,0.075273,238,1459,0
9,4,abrir,step,0.075892,238,1459,0
9,4,abrir,step,0.076469,238,1459,0
9,4,abrir,step,0.077112,238,1459,0
9,4,abrir,step,0.079044,173,1459,1
9,4,abrir,step,0.080055,173,1459,0
9,4,abrir,step,0.080985,173,1459,0
9,4,abrir,step,0.081649,173,1459,0
9,4,abrir,step,0.082569,173,1459,0
9,4,abrir,step,0.083204,173,1459,0
9,4,abrir,step,0.093056,173,1459,0
9,4,abrir,step,0.094032,173,1459,0
9,4,abrir,step,0.094997,173,1459,0
9,4,abrir,step,0.095982,173,1459,0
9,4,abrir,step,0.096922,173,1459,0
9,4,abrir,step,0.097927,173,1459,0
9,4,abrir,step,0.104615,173,1459,1
9,4,abrir,step,0.105632,173,1459,0
9,4,abrir,step,0.106594,173,1459,0
9,4,abrir,step,0.107561,173,1459,0
9,4,abrir,step,0.108198,128,1459,1
9,4,abrir,step,0.108855,128,1459,0
9,4,abrir,step,0.109799,128,1459,1
9,4,abrir,step,0.110800,128,1459,0
9,4,abrir,step,0.111761,128,1459,0
9,4,abrir,step,0.112808,128,1459,0
9,4,abrir,step,0.113773,128,1459,0
9,4,abrir,step,0.114731,128,1457,0
9,4,abrir,step,0.125458,128,1457,0
