trial,step_units,dir,phase,t_s,force_g,pos_act,fresh_force
9,3,abrir,base,0.004146,445,1476,1
9,3,abrir,base,0.006162,445,1476,0
9,3,abrir,base,0.007190,445,1476,0
9,3,abrir,base,0.008156,445,1476,0
9,3,abrir,base,0.009147,445,1476,0
9,3,abrir,base,0.010087,445,1476,0
9,3,abrir,base,0.011440,445,1476,0
9,3,abrir,base,0.012585,445,1476,0
9,3,abrir,base,0.013791,445,1476,1
9,3,abrir,base,0.024056,445,1476,0
9,3,abrir,base,0.025496,445,1476,0
9,3,abrir,base,0.026741,445,1476,0
9,3,abrir,base,0.027991,445,1476,1
9,3,abrir,base,0.035147,445,1476,0
9,3,abrir,base,0.036356,445,1476,0
9,3,abrir,base,0.037381,445,1476,0
9,3,abrir,base,0.038325,445,1476,0
9,3,abrir,base,0.039314,445,1476,0
9,3,abrir,base,0.040299,445,1476,0
9,3,abrir,base,0.041281,445,1476,0
9,3,abrir,base,0.042232,445,1476,0
9,3,abrir,base,0.043248,445,1476,0
9,3,abrir,base,0.044247,445,1476,0
9,3,abrir,base,0.044917,445,1476,0
9,3,abrir,base,0.054719,445,1476,0
9,3,abrir,base,0.056306,445,1476,0
9,3,abrir,base,0.057296,445,1476,0
9,3,abrir,base,0.058295,442,1476,1
9,3,abrir,base,0.059178,442,1476,1
9,3,abrir,base,0.060170,442,1476,0
9,3,abrir,base,0.065779,442,1476,0
9,3,abrir,base,0.066713,442,1476,0
9,3,abrir,base,0.067348,442,1476,0
9,3,abrir,base,0.067996,442,1476,0
9,3,abrir,base,0.069117,442,1476,0
9,3,abrir,base,0.070111,442,1476,0
9,3,abrir,base,0.071042,442,1475,0
9,3,abrir,base,0.072251,442,1475,0
9,3,abrir,base,0.073231,442,1475,0
9,3,abrir,base,0.074214,442,1475,0
9,3,abrir,base,0.074862,442,1475,0
9,3,abrir,base,0.075854,442,1475,0
9,3,abrir,base,0.085863,442,1475,0
9,3,abrir,base,0.086809,442,1475,0
9,3,abrir,base,0.087403,458,1475,1
9,3,abrir,base,0.088037,458,1475,0
9,3,abrir,base,0.089011,458,1475,0
9,3,abrir,base,0.090022,458,1475,0
9,3,abrir,base,0.090626,458,1476,0
9,3,abrir,base,0.097281,458,1476,0
9,3,abrir,base,0.097918,458,1476,0
9,3,abrir,base,0.098550,458,1476,0
9,3,abrir,base,0.099149,458,1476,0
9,3,abrir,base,0.099773,458,1476,0
9,3,abrir,base,0.100425,458,1476,0
9,3,abrir,base,0.101069,458,1476,0
9,3,abrir,base,0.101689,458,1476,0
9,3,abrir,base,0.102611,458,1476,0
9,3,abrir,base,0.103290,458,1476,0
9,3,abrir,base,0.104553,458,1476,0
9,3,abrir,base,0.105646,458,1476,0
9,3,abrir,base,0.116722,458,1476,1
9,3,abrir,base,0.117679,458,1476,0
9,3,abrir,base,0.118658,474,1476,1
9,3,abrir,base,0.119660,474,1476,0
9,3,abrir,base,0.120629,474,1476,0
9,3,abrir,base,0.121618,474,1476,0
9,3,abrir,base,0.122603,474,1476,0
9,3,abrir,base,0.128608,474,1476,0
9,3,abrir,base,0.129802,474,1476,0
9,3,abrir,base,0.130921,474,1476,0
9,3,abrir,base,0.132036,474,1476,0
9,3,abrir,base,0.133016,474,1478,0
9,3,abrir,base,0.134899,474,1478,0
9,3,abrir,base,0.135526,474,1478,0
9,3,abrir,base,0.136137,474,1478,0
9,3,abrir,base,0.137108,474,1478,0
9,3,abrir,base,0.137681,474,1478,0
9,3,abrir,base,0.138301,474,1478,0
9,3,abrir,base,0.147980,474,1478,1
9,3,abrir,base,0.148587,474,1478,0
9,3,abrir,base,0.149205,474,1478,0
9,3,abrir,base,0.149840,474,1478,0
9,3,abrir,base,0.150478,474,1478,0
9,3,abrir,base,0.151425,474,1478,0
9,3,abrir,base,0.153048,474,1478,0
9,3,abrir,base,0.158863,474,1478,0
9,3,abrir,base,0.159813,474,1478,0
9,3,abrir,base,0.160764,474,1478,0
9,3,abrir,base,0.161748,474,1478,0
9,3,abrir,base,0.162706,474,1478,0
9,3,abrir,base,0.163656,474,1478,0
9,3,abrir,base,0.164549,474,1478,0
9,3,abrir,base,0.165111,474,1478,0
9,3,abrir,base,0.165772,474,1478,0
