n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
9,10,abrir,271,281,659,213.3,853,648,-11,,,,,,,,,,,,156,914,866,44,0
2,10,abrir,271,281,476,143.6,574,542,66,,,,,,,,,,,,151,914.0,865,44,0
2,20,abrir,271,291,527,168.8,675,536,9,,,,,,,,,,,,131,914,863,46,0
7,10,cerrar,271,261,488,141.7,567,1059,571,725.4,73,-239.8,283.5,485.6,182.4,303.2,76.0,1075,16,-812.5,156,914,887,46,0
8,20,abrir,267,287,641,194.2,777,578,-63,,,,,,,,,,,,160,916.0,863,46,0
6,10,cerrar,267,257,443,91.5,366,1072,629,512.8,43,30.7,298.8,543.5,176.5,367.0,420.8,1118,46,-329.7,130,916.0,917,46,0
2,20,cerrar,265,245,540,188.7,755,1181,641,,,,,,,,,,,,149,919,932,46,0
0,10,cerrar,263,253,556,179.1,716,1098,542,,,,,,,,,,,,142,920.0,898,46,0
8,10,abrir,263,273,497,171.9,688,561,64,,,,,,,,,,,,155,920.0,863,46,0
3,10,cerrar,263,253,509,170.5,682,1102,593,,,,,,,,,,,,157,920.0,911,46,0
8,10,cerrar,263,253,582,205.3,821,1097,515,,,,,,,,,,,,160,919.0,900,46,0
5,10,cerrar,263,253,459,148.0,592,961,502,760.4,80,,,,,,16.9,1117,156,-651.7,139,919,910,46,0
4,10,cerrar,263,253,536,189.4,758,1096,560,,,,,,,,,,,,129,919.0,911,46,0
6,20,cerrar,263,243,597,218.5,874,1173,576,,,,,,,,,,,,150,919.0,934,46,0
9,20,abrir,259,279,586,211.9,848,520,-66,,,,,,,,,,,,146,922,863,46,0
3,20,cerrar,259,239,483,191.9,768,1200,717,,,,,,,,,,,,165,922,937,46,0
1,10,cerrar,259,249,503,192.8,771,1116,613,,,,,,,,,,,,149,922,930,46,0
7,20,cerrar,259,239,664,223.9,896,1183,519,,,,,,,,,,,,147,921,937,46,0
8,20,cerrar,257,237,565,223.8,895,1176,611,,,,,,,,,,,,162,923.0,937,46,0
4,20,cerrar,255,235,529,194.8,779,1189,660,,,,,,,,,,,,172,925,939,46,0
3,10,abrir,255,265,1020,187.3,749,553,-467,,,,,,,,,,,,139,926.0,871,46,0
5,20,cerrar,257,237,574,225.7,903,1170,596,,,,,,,,,,,,168,923,928,46,0
2,10,cerrar,257,247,569,210.2,841,812,243,,,,,,,,,,,,148,923,888,46,0
1,20,abrir,257,277,478,155.5,622,534,56,,,,,,,,,,,,119,923.0,879,46,0
9,20,cerrar,257,237,451,112.2,449,1170,719,528.8,51,0.0,267.0,528.8,136.0,392.8,357.9,1203,33,-110.9,150,923,937,48,0
9,10,cerrar,257,247,641,222.4,890,1102,461,,,,,,,,,,,,155,923.0,884,46,0
7,20,abrir,257,277,491,136.2,545,585,94,,,,,,,,,,,,121,923.0,887,46,0
5,10,abrir,257,267,1023,0.5,15,554,-469,47.2,1,1517.5,107.1,1564.7,0.0,2186.5,1655.5,546,-8,-594.3,120,923,886,48,0
6,10,abrir,257,267,1028,0.5,15,543,-485,42.6,1,1545.8,101.7,1588.5,0.0,2230.2,1643.8,540,-3,-593.6,121,924.0,886,46,0
1,20,cerrar,257,237,1025,0.5,15,1182,157,81.5,7,90.6,111.8,172.2,81.6,90.5,261.4,1200,18,-3.4,92,923.0,938,46,0
5,20,abrir,255,275,810,195.1,781,538,-272,,,,,,,,,,,,134,925.0,886,46,0
0,20,cerrar,257,237,576,198.1,792,1184,608,,,,,,,,,,,,107,924.0,939,46,0
1,10,abrir,255,265,792,208.9,836,509,-283,,,,,,,,,,,,132,925,881,46,0
3,20,abrir,257,277,616,212.6,850,505,-110,,,,,,,,,,,,132,923.0,881,48,0
4,20,abrir,257,277,1012,0.0,15,536,-476,36.8,2,1517.8,97.1,1554.6,0.0,2186.2,,494,-42,-579.6,131,923.0,881,48,0
0,20,abrir,257,277,1017,0.4,15,570,-446,32.9,1,558.7,62.9,591.6,0.0,793.1,,507,-64,-563.7,113,924.0,883,46,0
7,10,abrir,257,267,1017,0.4,15,556,-462,90.0,1,1487.0,120.3,1576.9,0.0,2185.0,,481,-74,-778.9,110,924,880,46,0
4,10,abrir,257,267,1021,0.6,15,521,-500,50.6,1,1517.3,110.3,1567.9,0.0,2186.4,,475,-46,-753.6,129,924.0,879,46,0
0,10,abrir,257,267,1020,0.5,15,487,-533,32.6,2,1549.4,123.1,1582.0,0.0,2188.3,1671.1,468,-19,-636.7,120,924,878,46,0
6,20,abrir,257,277,1018,0.5,15,521,-497,92.2,3,1479.9,152.0,1572.1,0.0,2130.2,,473,-48,-554.3,121,924,879,48,0
