t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
2.874968,1,1,95,58,92,98,271,1557,0,0,0,0,38,-4,49
2.884751,1,1,95,58,92,98,273,1557,0,0,0,0,39,-4,57
2.890179,0,0,95,58,92,98,273,1557,0,0,0,0,39,-4,57
2.904715,0,0,95,58,92,98,273,1557,0,0,0,0,39,-4,57
2.914352,1,0,95,58,92,98,276,1557,0,0,0,0,39,-4,34
2.918713,0,0,95,58,92,98,276,1557,0,0,0,0,39,-4,34
2.923274,0,0,95,58,92,98,276,1557,0,0,0,0,39,-4,34
2.935079,0,0,95,58,92,98,276,1557,0,0,0,0,39,-4,34
2.944761,1,0,95,58,92,98,278,1557,0,0,0,0,39,-4,56
2.948902,0,0,95,58,92,98,278,1557,0,0,0,0,39,-4,56
2.953080,0,0,95,58,92,98,278,1557,0,0,0,0,39,-4,56
2.965427,0,0,95,58,92,98,278,1557,0,0,0,0,39,-4,56
2.969615,1,1,95,58,92,98,280,1557,0,0,0,0,40,-4,49
2.976597,0,0,95,58,92,98,280,1557,0,0,0,0,40,-4,49
2.980804,0,0,95,58,92,98,280,1557,0,0,0,0,40,-4,49
2.984972,0,0,95,58,92,98,280,1557,0,0,0,0,40,-4,49
2.996706,0,0,95,58,92,98,280,1557,0,0,0,0,40,-4,49
3.006461,0,0,95,58,92,98,280,1557,0,0,0,0,40,-4,26
3.010738,1,0,95,58,92,98,283,1557,0,0,0,0,40,-4,26
3.015696,0,0,95,58,92,98,283,1557,0,0,0,0,40,-4,26
3.028267,0,0,95,58,92,98,283,1557,0,0,0,0,40,-4,45
3.038737,0,1,95,58,92,98,283,1557,0,0,0,0,41,-4,45
3.043902,0,0,95,58,92,98,283,1557,0,0,0,0,41,-4,45
3.057325,0,0,95,58,92,98,283,1557,0,0,0,0,41,-4,45
3.062342,1,0,95,58,92,98,285,1557,0,0,0,0,41,-4,50
3.069644,0,0,95,58,92,98,285,1557,0,0,0,0,41,-4,50
3.074199,0,0,95,58,92,98,285,1557,0,0,0,0,41,-4,50
3.078448,0,0,95,58,92,98,285,1557,0,0,0,0,41,-4,50
3.089531,0,0,95,58,92,98,285,1557,0,0,0,0,41,-4,30
3.093783,1,1,95,58,92,98,287,1557,0,0,0,0,42,-5,30
3.101502,0,0,95,58,92,98,287,1557,0,0,0,0,42,-5,30
3.106053,0,0,95,58,92,98,287,1557,0,0,0,0,42,-5,30
3.119402,0,0,95,58,92,98,287,1557,0,0,0,0,42,-5,30
3.124457,1,1,95,58,92,98,289,1557,0,0,0,0,43,-5,49
3.132778,0,0,95,58,92,98,289,1557,0,0,0,0,43,-5,49
3.137551,0,0,95,58,92,98,289,1557,0,0,0,0,43,-5,49
3.151187,0,1,95,58,92,98,289,1557,0,0,0,0,45,-5,53
3.155376,1,0,95,58,92,98,290,1557,0,0,0,0,45,-5,53
3.163402,0,0,95,58,92,98,290,1557,0,0,0,0,45,-5,53
3.167932,0,0,95,58,92,98,290,1557,0,0,0,0,45,-5,53
3.181265,0,0,95,58,92,98,290,1557,0,0,0,0,45,-5,47
3.185647,1,1,95,58,92,98,292,1557,0,0,0,0,46,-5,47
3.193635,0,0,95,58,92,98,292,1557,0,0,0,0,46,-5,47
3.197793,0,0,95,58,92,98,292,1557,0,0,0,0,46,-5,47
3.202794,0,0,95,58,92,98,292,1557,0,0,0,0,46,-5,43
3.214235,1,1,95,58,92,98,294,1557,0,0,0,0,47,-6,43
3.224940,0,0,95,58,92,98,294,1557,0,0,0,0,47,-6,43
3.230097,0,0,95,58,92,98,294,1557,0,0,0,0,47,-6,43
3.243469,1,1,95,58,92,98,296,1557,0,0,0,0,49,-6,37
3.247693,0,0,95,58,92,98,296,1557,0,0,0,0,49,-6,37
3.255923,0,0,95,58,92,98,296,1557,0,0,0,0,49,-6,37
3.259986,0,0,95,58,92,98,296,1557,0,0,0,0,49,-6,37
3.264581,1,0,95,58,92,98,298,1557,0,0,0,0,49,-6,55
3.275421,0,0,95,58,92,98,298,1557,0,0,0,0,49,-6,55
3.280027,0,0,95,58,92,98,298,1557,0,0,0,0,49,-6,55
3.286764,0,0,95,58,92,98,298,1557,0,0,0,0,49,-6,55
3.290888,0,1,95,58,92,98,298,1557,0,0,-1,0,49,-6,55
3.295005,1,0,95,58,92,98,301,1557,0,0,-1,0,49,-6,49
3.306753,0,0,95,58,92,98,301,1557,0,0,-1,0,49,-6,49
3.310865,0,0,95,58,92,98,301,1557,0,0,-1,0,49,-6,49
3.318992,0,0,95,58,92,98,301,1557,0,0,-1,0,49,-6,49
3.323993,0,1,95,58,92,98,301,1557,0,0,0,0,49,-6,49
3.337591,1,0,95,58,92,98,304,1557,0,0,0,0,49,-6,54
3.347384,0,0,95,58,92,98,304,1557,0,0,0,0,49,-6,54
3.351637,0,0,95,58,92,98,304,1557,0,0,0,0,49,-6,54
3.357253,1,0,95,58,92,98,306,1557,0,0,0,0,49,-6,50
3.370022,0,0,95,58,92,98,306,1557,0,0,0,0,49,-6,50
3.379775,0,0,95,58,92,98,306,1557,0,0,0,0,49,-6,50
3.385203,0,0,95,58,92,98,306,1557,0,0,0,0,49,-6,50
3.399626,1,0,95,58,92,98,308,1557,0,0,0,0,49,-6,24
3.410075,0,0,95,58,92,98,308,1557,0,0,0,0,49,-6,24
3.415552,0,0,95,58,92,98,308,1557,0,0,0,0,49,-6,24
3.429575,1,0,95,58,92,98,309,1557,0,0,0,0,49,-6,41
3.434885,0,0,95,58,92,98,309,1557,0,0,0,0,49,-6,41
3.442834,0,0,95,58,92,98,309,1557,0,0,0,0,49,-6,41
3.447541,1,0,95,58,92,98,312,1557,0,0,0,0,49,-6,15
3.461263,0,0,95,58,92,98,312,1557,0,0,0,0,49,-6,15
3.465498,0,0,95,58,92,98,312,1557,0,0,0,0,49,-6,15
3.472639,0,0,95,58,92,98,312,1557,0,0,0,0,49,-6,15
3.476841,0,0,95,58,92,98,312,1557,0,0,0,0,49,-6,36
3.480981,1,0,95,58,92,98,315,1557,0,0,0,0,49,-6,36
3.492882,0,0,95,58,92,98,315,1557,0,0,0,0,49,-6,36
3.502706,0,0,95,58,92,98,315,1557,0,0,0,0,49,-6,36
3.507297,0,0,95,58,92,98,315,1557,0,0,0,0,49,-6,36
3.511814,1,0,95,58,92,98,317,1557,0,0,0,0,49,-6,56
3.523856,0,0,95,58,92,98,317,1557,0,0,0,0,49,-6,56
