cycle,t_session_s,temp_before,temp_after,base_before_g,base_after_g,cmd,pos_contact,f_start,f_end,drop_g,drop_frac,t63_s,pos_start,pos_end,dpos,cur_med,aborted
a1,123.4,32,34,0,-60,282,1473,476,410,66,0.139,1.84,1473,1468,-5.0,0,0
a2,224.0,34,34,-11,-61,280,1478,458,369,88,0.193,0.98,1478,1473,-5.0,0,0
a3,320.4,34,34,-15,-62,281,1476,469,454,15,0.032,3.47,1476,1476,0.0,0,0
a4,419.8,36,36,-16,-62,281,1478,434,379,55,0.127,0.69,1478,1473,-5.0,0,0
a5,515.5,36,36,-16,-59,281,1476,473,460,13,0.027,22.17,1476,1476,0.0,0,0
b1,99.8,36,38,-5,-59,283,1474,425,416,9,0.021,28.67,1474,1473,-1.0,0,0
b2,194.7,38,38,-11,-58,281,1474,471,454,17,0.036,16.09,1474,1473,-1.0,0,0
b3,290.9,38,38,-12,-57,281,1475,440,396,44,0.100,2.45,1475,1473,-2.0,0,0
b4,386.9,38,38,-12,-55,281,1475,436,392,44,0.101,3.59,1475,1473,-2.0,0,0
b5,483.4,38,40,-14,-54,282,1475,438,415,23,0.053,4.56,1475,1474,-1.0,0,0
b6,578.5,38,40,-9,-53,280,1476,468,427,41,0.088,2.47,1476,1473,-3.0,0,0
c1,102.6,40,40,-4,-53,280,1478,436,358,78,0.179,0.95,1478,1473,-5.0,0,0
c2,203.2,40,40,-10,-53,280,1479,439,383,56,0.128,1.46,1478,1473,-5.0,0,0
c3,300.3,40,40,-7,-53,281,1476,470,380,90,0.192,2.01,1476,1474,-2.0,0,0
c4,397.5,40,40,-7,-52,283,1474,417,408,9,0.022,24.93,1474,1474,0.0,0,0
c5,491.9,40,42,-7,-53,281,1475,494,418,76,0.154,0.83,1476,1473,-3.0,0,0
c6,587.5,42,42,-8,-53,280,1476,461,407,54,0.117,1.83,1476,1474,-2.0,0,0
