cycle,phase,t_s,force_g,pos_act,cur_mA,fresh_f,fresh_p
a1,base_pre,0.0028,0,98,0,1,1
a1,base_pre,0.0070,0,98,0,0,0
a1,base_pre,0.0182,0,98,0,0,0
a1,base_pre,0.0282,0,98,0,0,1
a1,base_pre,0.0325,0,98,0,0,0
a1,base_pre,0.0365,0,98,0,0,0
a1,base_pre,0.0492,0,98,0,0,0
a1,base_pre,0.0590,0,98,0,1,0
a1,base_pre,0.0632,0,98,0,0,0
a1,base_pre,0.0673,0,98,0,0,0
a1,base_pre,0.0798,0,98,0,0,0
a1,base_pre,0.0896,0,98,0,1,1
a1,base_pre,0.0938,0,98,0,0,0
a1,base_pre,0.0980,0,98,0,0,0
a1,base_pre,0.1109,0,98,0,0,0
a1,base_pre,0.1150,0,98,0,0,0
a1,base_pre,0.1222,0,98,0,0,0
a1,base_pre,0.1264,0,98,0,0,0
a1,base_pre,0.1312,0,98,0,0,0
a1,base_pre,0.1421,0,98,0,0,0
a1,base_pre,0.1463,0,98,0,0,0
a1,base_pre,0.1536,0,98,0,0,0
a1,base_pre,0.1581,0,98,0,0,0
a1,base_pre,0.1716,0,98,0,0,0
a1,base_pre,0.1762,0,98,0,0,0
a1,base_pre,0.1850,0,98,0,0,0
a1,base_pre,0.1902,0,98,0,0,0
a1,base_pre,0.2036,0,98,0,0,0
a1,base_pre,0.2082,0,98,0,0,0
a1,base_pre,0.2157,0,98,0,0,0
a1,base_pre,0.2199,0,98,0,0,0
a1,base_pre,0.2241,0,98,0,0,0
a1,base_pre,0.2357,0,98,0,0,0
a1,base_pre,0.2456,0,98,0,0,0
a1,base_pre,0.2503,0,98,0,0,0
a1,base_pre,0.2552,0,98,0,0,0
a1,base_pre,0.2667,0,98,0,0,0
a1,base_pre,0.2767,0,98,0,0,0
a1,base_pre,0.2817,0,98,0,0,0
a1,base_pre,0.2863,0,98,0,0,0
a1,base_pre,0.2974,0,98,0,0,0
a1,base_pre,0.3073,0,98,0,0,0
a1,base_pre,0.3119,0,98,0,0,0
a1,base_pre,0.3169,0,98,0,0,0
a1,base_pre,0.3282,0,98,0,0,0
a1,base_pre,0.3379,0,98,0,0,0
a1,base_pre,0.3425,0,98,0,0,0
a1,base_pre,0.3471,0,98,0,0,0
a1,base_pre,0.3592,0,98,0,0,0
a1,base_pre,0.3691,0,98,0,0,0
a1,base_pre,0.3744,0,98,0,0,0
a1,base_pre,0.3795,0,98,0,0,0
a1,base_pre,0.3907,0,98,0,0,0
a1,base_pre,0.4010,0,98,0,0,0
a1,base_pre,0.4051,0,98,0,0,0
a1,base_pre,0.4093,0,98,0,0,0
a1,base_pre,0.4217,0,98,0,0,0
a1,base_pre,0.4315,0,98,0,0,0
a1,base_pre,0.4371,0,98,0,0,0
a1,base_pre,0.4510,0,98,0,0,0
a1,base_pre,0.4564,0,98,0,0,0
a1,base_pre,0.4644,0,98,0,0,0
a1,base_pre,0.4704,0,98,0,0,0
a1,base_pre,0.4846,0,98,0,0,0
a1,base_pre,0.4956,0,98,0,0,0
a1,base_pre,0.5015,0,98,0,0,0
