trial,moved_dof,dir,step_units,obs_dof,f_base,f_end,df,pos_base,pos_end,dpos,t_onset_ms,ref_force_before,aborted
4,4,abrir,12,4,279,197,-82,736,725,-11.0,42.3,279,0
4,4,abrir,12,3,456,412,-44,595,595,0.0,103.5,279,0
2,4,abrir,12,4,281,195,-86,736,725,-11.0,73.2,281,0
2,4,abrir,12,3,426,408,-18,595,595,0.0,187.7,281,0
7,4,abrir,12,4,278,192,-86,736,725,-11.0,47.3,278,0
7,4,abrir,12,3,422,405,-17,595,595,0.0,227.0,278,0
7,3,cerrar,6,4,277,302,25,736,736,0.0,198.2,277,0
7,3,cerrar,6,3,419,559,140,595,609,14.0,45.0,277,0
4,4,cerrar,12,4,298,398,100,736,749,13.0,35.2,298,0
4,4,cerrar,12,3,364,379,15,597,597,0.0,184.9,298,0
0,3,abrir,6,4,272,253,-19,736,736,0.0,203.0,272,0
0,3,abrir,6,3,353,168,-185,597,588,-9.0,51.3,272,0
6,3,abrir,6,4,261,253,-8,736,736,0.0,,261,0
6,3,abrir,6,3,360,166,-194,595,586,-9.0,93.4,261,0
6,4,abrir,12,4,261,188,-73,736,725,-11.0,63.8,261,0
6,4,abrir,12,3,360,318,-42,595,595,0.0,122.6,261,0
3,4,cerrar,12,4,276,375,99,736,748,12.0,66.9,276,0
3,4,cerrar,12,3,334,375,41,595,595,0.0,124.8,276,0
1,3,cerrar,6,4,262,300,38,736,736,0.0,152.9,262,0
1,3,cerrar,6,3,417,582,165,599,614,15.0,90.9,262,0
7,3,abrir,6,4,296,260,-36,736,736,0.0,172.2,296,0
7,3,abrir,6,3,357,162,-195,599,588,-11.0,49.8,296,0
2,3,cerrar,6,4,271,300,29,736,736,0.0,154.2,271,0
2,3,cerrar,6,3,395,581,186,599,614,15.0,92.0,271,0
6,3,cerrar,6,4,296,300,4,736,736,0.0,,296,0
6,3,cerrar,6,3,348,579,231,599,614,15.0,61.1,296,0
6,4,cerrar,12,4,297,405,108,736,750,14.0,45.1,297,0
6,4,cerrar,12,3,342,368,26,599,599,0.0,165.4,297,0
2,3,abrir,6,4,273,253,-20,736,736,0.0,220.3,273,0
2,3,abrir,6,3,335,157,-178,599,588,-11.0,42.2,273,0
3,3,abrir,6,4,263,253,-10,736,736,0.0,,263,0
3,3,abrir,6,3,390,159,-231,599,588,-11.0,64.9,263,0
3,3,cerrar,6,4,263,297,34,736,736,0.0,128.5,263,0
3,3,cerrar,6,3,391,578,187,599,614,15.0,71.9,263,0
3,4,abrir,12,4,293,214,-79,736,727,-9.0,34.4,293,0
3,4,abrir,12,3,331,296,-35,599,599,0.0,123.6,293,0
5,4,abrir,12,4,297,213,-84,736,727,-9.0,39.7,297,0
5,4,abrir,12,3,306,289,-17,598,598,0.0,152.9,297,0
0,4,abrir,12,4,295,214,-81,736,727,-9.0,42.4,295,0
0,4,abrir,12,3,303,288,-15,598,598,0.0,,295,0
7,4,cerrar,12,4,296,405,109,736,750,14.0,46.5,296,0
7,4,cerrar,12,3,306,354,48,598,598,0.0,128.4,296,0
5,4,cerrar,12,4,275,401,126,736,750,14.0,46.2,275,0
5,4,cerrar,12,3,331,353,22,598,598,0.0,166.4,275,0
4,3,cerrar,6,4,275,297,22,736,737,1.0,169.1,275,0
4,3,cerrar,6,3,331,574,243,598,614,16.0,48.0,275,0
0,3,cerrar,6,4,293,298,5,737,737,0.0,,293,0
0,3,cerrar,6,3,325,568,243,599,614,15.0,73.1,293,0
5,3,abrir,6,4,295,258,-37,737,737,0.0,164.0,295,0
5,3,abrir,6,3,330,153,-177,599,588,-11.0,71.6,295,0
2,4,cerrar,12,4,268,378,110,737,750,13.0,91.9,268,0
2,4,cerrar,12,3,385,344,-41,599,595,-4.0,291.2,268,0
1,4,abrir,12,4,274,204,-70,738,727,-11.0,33.4,274,0
1,4,abrir,12,3,409,365,-44,600,599,-1.0,121.5,274,0
4,3,abrir,6,4,286,262,-24,736,736,0.0,186.1,286,0
4,3,abrir,6,3,378,165,-213,599,590,-9.0,95.1,286,0
1,3,abrir,6,4,274,262,-12,736,736,0.0,,274,0
1,3,abrir,6,3,394,164,-230,599,590,-9.0,94.9,274,0
0,4,cerrar,12,4,273,386,113,736,750,14.0,49.8,273,0
0,4,cerrar,12,3,394,350,-44,599,595,-4.0,78.7,273,0
1,4,cerrar,12,4,261,383,122,736,750,14.0,49.8,261,0
1,4,cerrar,12,3,316,332,16,595,595,0.0,197.0,261,0
5,3,cerrar,6,4,290,315,25,740,740,0.0,138.8,290,1
5,3,cerrar,6,3,477,601,124,605,616,11.0,47.5,290,1
