trial,moved_dof,dir,step_units,obs_dof,f_base,f_end,df,pos_base,pos_end,dpos,t_onset_ms,ref_force_before,aborted
4,4,abrir,12,4,234,140,-94,740,727,-13.0,79.6,234,0
4,4,abrir,12,3,297,279,-18,582,582,0.0,189.4,234,0
2,4,abrir,12,4,267,159,-108,743,732,-11.0,64.0,267,0
2,4,abrir,12,3,315,292,-23,582,582,0.0,216.3,267,0
7,4,abrir,12,4,267,158,-109,743,732,-11.0,92.3,267,0
7,4,abrir,12,3,315,291,-24,582,582,0.0,203.7,267,0
7,3,cerrar,6,4,263,278,15,743,743,0.0,264.3,263,0
7,3,cerrar,6,3,313,499,186,582,595,13.0,91.7,263,0
4,4,cerrar,12,4,269,325,56,745,752,7.0,75.3,269,0
4,4,cerrar,12,3,277,297,20,588,588,0.0,136.5,269,0
0,3,abrir,6,4,267,239,-28,745,745,0.0,169.2,267,0
0,3,abrir,6,3,295,154,-141,588,574,-14.0,46.3,267,0
6,3,abrir,6,4,262,227,-35,750,750,0.0,162.2,262,0
6,3,abrir,6,3,301,133,-168,581,569,-12.0,47.7,262,0
6,4,abrir,12,4,260,205,-55,754,743,-11.0,32.2,260,0
6,4,abrir,12,3,306,299,-7,581,581,0.0,,260,0
3,4,cerrar,12,4,262,320,58,752,760,8.0,88.8,262,0
3,4,cerrar,12,3,305,327,22,581,581,0.0,172.6,262,0
1,3,cerrar,6,4,260,293,33,755,755,0.0,175.7,260,0
1,3,cerrar,6,3,318,518,200,581,593,12.0,52.0,260,0
7,3,abrir,6,4,287,249,-38,755,755,0.0,151.0,287,0
7,3,abrir,6,3,298,151,-147,581,569,-12.0,57.0,287,0
2,3,cerrar,6,4,258,289,31,756,757,1.0,166.3,258,0
2,3,cerrar,6,3,327,528,201,581,592,11.0,45.8,258,0
6,3,cerrar,6,4,285,289,4,757,757,0.0,,285,0
6,3,cerrar,6,3,307,521,214,581,592,11.0,158.7,285,0
6,4,cerrar,12,4,285,346,61,757,764,7.0,48.2,285,0
6,4,cerrar,12,3,305,324,19,581,581,0.0,137.5,285,0
2,3,abrir,6,4,289,265,-24,756,756,0.0,203.1,289,0
2,3,abrir,6,3,318,168,-150,581,569,-12.0,48.1,289,0
3,3,abrir,6,4,268,253,-15,756,756,0.0,,268,0
3,3,abrir,6,3,340,156,-184,581,565,-16.0,61.8,268,0
3,3,cerrar,6,4,261,287,26,756,756,0.0,206.3,261,0
3,3,cerrar,6,3,301,484,183,572,585,13.0,60.8,261,0
3,4,abrir,12,4,279,212,-67,756,747,-9.0,51.5,279,0
3,4,abrir,12,3,286,260,-26,581,581,0.0,141.7,279,0
5,4,abrir,12,4,263,212,-51,756,747,-9.0,71.7,263,0
5,4,abrir,12,3,264,257,-7,581,581,0.0,,263,0
0,4,abrir,12,4,262,214,-48,756,747,-9.0,72.9,262,0
0,4,abrir,12,3,262,257,-5,581,581,0.0,,262,0
7,4,cerrar,12,4,266,337,71,756,767,11.0,82.5,266,0
7,4,cerrar,12,3,263,287,24,581,579,-2.0,139.5,266,0
5,4,cerrar,12,4,276,320,44,758,766,8.0,49.8,276,0
5,4,cerrar,12,3,282,286,4,579,579,0.0,,276,0
4,3,cerrar,6,4,275,306,31,758,758,0.0,157.2,275,1
4,3,cerrar,6,3,281,561,280,579,592,13.0,63.8,275,1
