t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
0.01228,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-25
0.01344,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-25
0.01503,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-25
0.01624,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.02266,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.02383,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.02512,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.02676,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.02834,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.03023,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.03144,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.04212,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.04391,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.04583,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.04706,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.05403,couple,check,94,58,93,576,720,1558,-9,-7,0,187,118,-25
0.05528,couple,check,94,58,93,576,720,1558,-9,-7,0,187,118,-26
0.05718,couple,check,94,58,93,576,720,1558,-9,-7,0,187,118,-26
0.05873,couple,check,94,58,93,576,720,1558,-9,-7,0,187,118,-26
0.06036,couple,check,94,58,93,576,720,1558,-9,-7,0,187,118,-26
0.06148,couple,check,94,58,93,576,720,1558,-9,-7,0,187,118,-26
0.06278,couple,check,94,58,93,576,720,1558,-9,-7,0,187,118,-26
0.07362,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.07592,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.07802,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.08489,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.08681,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.08869,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.09045,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.09196,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.09318,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.10378,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.10568,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.10771,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.11487,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.11636,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.11758,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.11879,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.12062,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.12241,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.12424,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.13490,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.13683,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-26
0.13861,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.14040,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.14777,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.14929,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.15089,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.15243,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.15432,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.15556,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.16590,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-26
0.16771,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-26
0.16955,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-26
0.17132,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-26
0.17750,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.17909,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.18056,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.18169,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.18289,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.18416,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.18565,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.18727,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.19787,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-25
0.19971,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-25
0.20127,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.20805,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.20994,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.21182,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.21302,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.21460,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.21615,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.21732,couple,check,94,58,93,576,720,1558,-9,-8,0,186,118,-26
0.22770,couple,check,94,58,93,576,720,1558,-9,-8,-1,186,118,-26
0.22924,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-26
0.23080,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-26
0.23203,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.23319,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.24030,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.24209,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.24360,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.24515,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.24668,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.24793,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,118,-25
0.25863,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.25980,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.26103,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.26223,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.26344,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.26989,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.27106,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.27226,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.27342,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.27466,couple,check,94,58,93,576,720,1558,-9,-8,0,187,118,-25
0.27650,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.27799,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.27955,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.28995,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.29140,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.29302,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.29438,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.30108,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.30286,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.30470,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.30631,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.30818,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.30937,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.31061,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.32087,couple,check,94,58,93,576,720,1558,-8,-8,0,187,119,-25
0.32207,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.32324,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.32446,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.32576,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.33263,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.33419,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.33567,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.33723,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.33878,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.34008,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.34150,couple,check,94,58,93,576,720,1558,-8,-8,0,187,118,-25
0.35212,couple,check,94,58,93,576,720,1558,-8,-8,0,186,118,-25
0.35356,couple,check,94,58,93,576,720,1558,-8,-8,0,186,119,-25
0.35490,couple,check,94,58,93,576,720,1558,-8,-8,0,186,119,-26
0.35637,couple,check,94,58,93,576,720,1558,-8,-8,0,186,119,-26
0.36294,couple,check,94,58,93,576,720,1558,-8,-8,0,186,119,-26
0.36419,couple,check,94,58,93,576,720,1558,-8,-8,0,186,119,-26
0.36577,couple,check,94,58,93,576,720,1558,-8,-8,0,186,119,-26
0.36735,couple,check,94,58,93,576,720,1558,-9,-8,0,186,119,-26
0.36919,couple,check,94,58,93,576,720,1558,-9,-8,0,186,119,-26
0.37108,couple,check,94,58,93,576,720,1558,-9,-8,-1,186,119,-26
0.37267,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-26
0.38306,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-26
0.38431,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-25
0.38617,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-25
0.38736,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-25
0.39383,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-25
0.39569,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-25
0.39732,couple,check,94,58,93,576,720,1558,-9,-8,-1,187,119,-25
0.39928,couple,check,94,58,93,576,720,1558,-9,-7,-1,187,119,-25
0.40131,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.40333,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.41375,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.41527,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.41684,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.41807,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.41933,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.42635,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.42843,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.43033,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.43219,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.43422,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.44516,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.44730,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.44931,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.45597,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.45777,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.45932,couple,check,94,58,93,576,720,1558,-9,-8,0,187,119,-25
0.46054,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
0.46238,couple,check,94,58,93,576,720,1558,-9,-7,0,187,119,-25
