t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
14.07564,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.07691,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.07833,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.07959,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.08076,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.08238,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.09339,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.09523,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.09643,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.09767,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.10407,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.10528,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.10644,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.10800,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.10956,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.11079,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.11231,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.11353,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.12417,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.12578,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.12700,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.12826,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.13538,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.13661,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.13783,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.13905,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.14058,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.14186,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.14306,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.14427,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.15496,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.15619,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.15805,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.15931,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.16683,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.16910,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.17131,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.17328,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.17520,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.18602,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.18797,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.18999,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.19664,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.19881,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.20095,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.20298,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.20489,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.20678,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.21730,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.21846,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.22031,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.22743,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.22925,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.23107,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.23258,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.23375,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.23492,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.23607,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.23756,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.24792,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.24967,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.25114,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.25811,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.25989,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.26136,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.26263,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.26388,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.26544,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.26670,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.26859,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.27901,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.28094,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.28280,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.28932,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.29112,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.29290,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.29443,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.29562,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.29757,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.29944,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.31067,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.31256,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.31446,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.32141,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.32329,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.32516,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.32708,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.32892,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.33081,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.34150,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.34356,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.34552,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.35211,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.35400,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.35588,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.35713,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.35903,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.36034,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.37104,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.37291,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.37441,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.37605,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.38318,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.38503,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.38627,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.38782,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.38938,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.39058,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.39182,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.40218,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.40416,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.40606,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.40817,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.41559,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.41741,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.41880,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.42066,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.42257,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.43304,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.43491,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.43675,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.43833,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.44522,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.44710,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.44891,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.45073,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.45254,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.45438,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.46499,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.46618,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.46740,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.46892,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.47538,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.47693,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.47853,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.48034,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
14.48217,grasp,base,95,58,94,101,246,1558,0,0,0,0,0,0
