t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
0.00879,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.01017,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.01138,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.01266,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.01389,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.01510,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.02551,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.02677,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.02893,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.03083,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.03775,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.03963,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.04152,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.04340,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.04535,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.05661,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.05818,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.06005,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.06160,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.06866,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.07026,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.07296,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.07534,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.07746,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.08839,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.09056,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.09263,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.10029,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.10243,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.10430,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.10586,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.10746,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.10947,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.11986,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.12190,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.12382,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.13089,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.13282,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.13469,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.13627,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.13787,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.13946,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.14993,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.15175,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.15368,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.16078,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.16199,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.16323,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.16548,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.16736,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.16892,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.17016,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.18063,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.18280,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.18471,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.19203,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.19395,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.19597,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.19795,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.19982,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.20143,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.21182,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.21390,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.21588,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.22283,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.22475,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.22664,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.22869,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.23114,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.23305,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.24393,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.24615,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.24822,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.25464,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.25621,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.25808,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.25966,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.26123,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.26247,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.26407,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.27476,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.27661,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.27853,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.28587,couple,check,92,58,96,562,719,1557,-31,0,0,132,121,-5
0.28745,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.28872,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.29065,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.29249,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.29409,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.30454,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.30639,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.30838,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.30989,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.31683,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.31829,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.32062,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.32271,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.32494,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.33566,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.33715,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.33839,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.34035,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.34677,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.34798,couple,check,92,58,96,562,720,1557,-30,0,0,133,121,-5
0.34951,couple,check,92,58,96,562,720,1557,-30,0,0,133,121,-5
0.35077,couple,check,92,58,96,562,720,1557,-30,0,0,133,121,-5
0.35194,couple,check,92,58,96,562,720,1557,-30,0,0,133,121,-5
0.35353,couple,check,92,58,96,562,720,1557,-30,0,0,133,121,-5
0.35477,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.35633,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.36670,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.36817,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.36940,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.37065,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.37225,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.37854,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.38018,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.38172,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.38329,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.38450,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.38594,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.38771,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.39812,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.39969,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.40093,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.40216,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.40870,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.41030,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.41216,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.41380,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.41499,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.41653,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.41781,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.42858,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.42983,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.43105,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.43264,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.43384,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.44054,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.44181,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.44301,couple,check,93,58,96,562,720,1556,-30,0,0,133,121,-5
0.44445,couple,check,93,58,96,562,720,1556,-30,0,0,133,121,-5
0.44638,couple,check,93,58,96,562,720,1556,-30,0,0,133,121,-5
0.44817,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.45010,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.46066,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.46263,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.46456,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.47136,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.47334,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.47531,couple,check,93,58,96,562,720,1557,-30,0,0,133,121,-5
0.47739,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.47920,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.48119,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.49152,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.49309,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.49499,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.50160,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.50281,couple,check,92,58,96,562,719,1557,-30,0,0,133,121,-5
0.50403,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.50524,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.50644,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.50846,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.51044,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.51225,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.52250,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.52374,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.52507,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.52687,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.53360,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.53522,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.53645,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.53800,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.53953,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.54107,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.54262,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.55307,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.55464,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.55586,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.55741,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.56415,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.56614,couple,check,93,58,96,562,719,1557,-30,0,0,133,121,-5
0.56773,couple,check,93,58,96,562,721,1557,-30,0,0,133,121,-5
0.56929,couple,check,93,58,96,562,721,1557,-30,0,0,133,121,-5
0.57053,couple,check,93,58,96,562,721,1557,-30,0,0,133,121,-5
0.57177,couple,check,93,58,96,562,721,1557,-30,0,0,133,121,-5
0.57332,couple,check,93,58,96,562,721,1557,-30,0,0,133,121,-5
0.58374,couple,check,93,58,96,562,721,1557,-30,0,0,133,121,-5
0.58570,couple,check,93,58,96,562,721,1557,-30,0,0,133,121,-5
0.58760,couple,check,92,58,96,562,721,1557,-30,0,0,133,121,-5
0.58979,couple,check,92,58,96,562,721,1557,-30,0,0,133,121,-5
0.59597,couple,check,92,58,96,562,721,1557,-30,0,0,132,121,-5
0.59809,couple,check,92,58,96,562,721,1557,-30,0,0,132,121,-5
0.60005,couple,check,92,58,96,562,720,1557,-30,0,0,132,121,-5
0.60193,couple,check,92,58,96,562,720,1556,-30,0,0,132,121,-5
0.60384,couple,check,92,58,96,562,720,1556,-30,0,0,132,121,-5
0.61465,couple,check,92,58,96,562,720,1556,-30,0,0,132,121,-5
0.61656,couple,check,92,58,96,562,720,1556,-30,0,0,132,121,-5
0.61811,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.61972,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.62660,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.62868,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.63071,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.63259,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.63450,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.63647,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.64690,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.64889,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.65083,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.65793,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.65987,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.66179,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.66372,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.66563,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.66751,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.67754,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.67914,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.68110,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.68775,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.68959,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.69210,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.69463,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.69706,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.70780,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.71028,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.71267,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.72022,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
0.72291,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.72545,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.72771,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.73857,couple,check,93,58,96,562,720,1557,-31,0,0,132,121,-5
0.74009,couple,check,93,58,96,562,720,1557,-31,0,0,132,121,-5
0.74136,couple,check,93,58,96,562,720,1557,-31,0,0,132,121,-5
0.74290,couple,check,93,58,96,562,720,1557,-31,0,0,132,121,-5
0.74414,couple,check,93,58,96,562,720,1557,-31,0,0,132,121,-5
0.75116,couple,check,93,58,96,562,719,1557,-31,0,0,132,121,-5
0.75271,couple,check,93,58,96,562,719,1556,-31,0,0,132,121,-5
0.75435,couple,check,93,58,96,562,719,1556,-31,0,0,132,121,-5
0.75586,couple,check,93,58,96,562,719,1556,-31,0,0,132,121,-5
0.75740,couple,check,93,58,96,562,719,1556,-31,0,0,132,121,-5
0.75859,couple,check,93,58,96,562,719,1556,-31,0,0,132,121,-5
0.75987,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.77052,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.77177,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.77432,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.78105,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.78318,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.78483,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.78678,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.78879,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.79077,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.80165,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.80372,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.80587,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.81293,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.81494,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.81678,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.81834,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.81994,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.82199,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.83238,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.83399,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.83585,couple,check,93,58,96,562,718,1556,-30,0,0,132,121,-5
0.84302,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.84488,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.84615,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.84746,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.84932,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.85153,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.85307,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.86369,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.86490,couple,check,93,58,96,562,720,1556,-30,0,0,132,121,-5
0.86645,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.86775,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-5
0.87430,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.87546,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.87674,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.87865,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.87988,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.88113,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.88237,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.88394,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.89407,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.89533,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.89690,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.89845,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.90532,couple,check,93,58,96,562,719,1556,-30,0,0,132,121,-4
0.90766,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-4
0.90979,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-4
0.91185,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-4
0.91400,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-4
0.92476,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-4
0.92686,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-4
0.92891,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.93606,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.93836,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.94066,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.94294,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.94517,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.95575,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.95806,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.96007,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.96685,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.96913,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.97143,couple,check,92,58,96,562,719,1557,-30,0,0,132,121,-5
0.97354,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.97576,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.98677,couple,check,93,58,96,562,719,1557,-30,0,0,132,121,-5
0.98896,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.99093,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.99776,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
0.99991,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
1.00211,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
1.00431,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
1.00626,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
1.00856,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
1.01875,couple,check,93,58,96,562,720,1557,-30,0,0,132,121,-5
1.02057,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.02217,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.02896,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.03087,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.03210,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.03365,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.03527,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.03645,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.03804,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.04856,couple,check,93,58,96,562,721,1556,-30,0,0,132,121,-5
1.05042,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.05166,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.05350,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.06020,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.06206,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.06335,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.06550,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.06774,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.06964,couple,check,93,58,96,562,721,1557,-30,0,0,132,121,-5
1.08053,couple,check,93,58,96,562,720,1557,-30,0,0,132,120,-5
1.08209,couple,check,93,58,96,562,720,1557,-30,0,0,132,120,-5
1.08363,couple,check,93,58,96,562,720,1557,-30,0,0,132,120,-5
