t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
14.08228,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.08346,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.08504,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.08629,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.08823,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.09863,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.10013,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.10165,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.10319,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.10967,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.11122,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.11281,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.11440,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.11602,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.11790,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.11980,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.13048,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.13209,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.13331,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.13518,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.14156,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.14289,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.14405,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.14529,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.14686,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.14812,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.14929,grasp,base,100,60,96,101,246,1556,1,0,0,0,0,0
14.15090,grasp,base,100,60,96,101,246,1556,0,0,0,0,0,0
14.16109,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.16233,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.16390,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.16514,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.17154,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.17321,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.17469,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.17624,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.17743,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.17868,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.17994,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.18148,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.19196,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.19404,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.19599,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.20264,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.20412,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.20569,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.20743,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.20935,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.21087,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.21212,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.22254,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
14.22448,grasp,base,99,60,96,101,246,1556,0,0,0,0,0,0
