t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
14.08509,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.08690,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.08870,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.08986,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.09108,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.10177,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.10384,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.10519,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.11198,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.11374,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.11549,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.11671,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.11819,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.11945,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.12069,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.12186,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.13271,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.13457,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.13594,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.14310,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.14461,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.14577,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.14694,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.14812,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.14932,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.15053,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.15176,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.15292,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.16362,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.16481,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.16588,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.16707,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.16828,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.17510,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.17622,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.17743,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.17859,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
14.17983,grasp,base,95,60,96,101,247,1557,0,0,0,0,0,0
