trial,moved_dof,dir,step_units,obs_dof,f_base,f_end,df,pos_base,pos_end,dpos,t_onset_ms,ref_force_before,aborted
5,2,cerrar,3,4,253,256,3,743,743,0.0,,253,0
5,2,cerrar,3,3,222,184,-38,585,584,-1.0,112.1,253,0
5,2,cerrar,3,2,218,280,62,630,636,6.0,51.8,253,0
3,4,abrir,12,4,257,171,-86,743,732,-11.0,75.1,257,0
3,4,abrir,12,3,211,181,-30,586,588,2.0,164.5,257,0
3,4,abrir,12,2,238,188,-50,632,633,1.0,158.0,257,0
0,2,abrir,3,4,275,270,-5,743,743,0.0,,275,0
0,2,abrir,3,3,225,233,8,590,589,-1.0,,275,0
0,2,abrir,3,2,212,134,-78,633,624,-9.0,46.0,275,0
1,3,abrir,4,4,272,269,-3,743,743,0.0,,272,0
1,3,abrir,4,3,219,87,-132,588,581,-7.0,61.4,272,0
1,3,abrir,4,2,209,231,22,635,635,0.0,113.0,272,0
2,2,cerrar,3,4,272,276,4,743,743,0.0,,272,0
2,2,cerrar,3,3,208,184,-24,589,589,0.0,110.4,272,0
2,2,cerrar,3,2,241,298,57,636,642,6.0,49.3,272,0
4,4,abrir,12,4,277,185,-92,743,732,-11.0,72.3,277,0
4,4,abrir,12,3,216,162,-54,591,588,-3.0,126.3,277,0
4,4,abrir,12,2,255,217,-38,640,641,1.0,123.8,277,0
4,4,cerrar,12,4,271,335,64,741,752,11.0,81.7,271,0
4,4,cerrar,12,3,222,229,7,593,593,0.0,,271,0
4,4,cerrar,12,2,236,251,15,641,641,0.0,200.2,271,0
3,2,abrir,3,4,273,271,-2,743,743,0.0,,273,0
3,2,abrir,3,3,226,232,6,593,593,0.0,,273,0
3,2,abrir,3,2,243,181,-62,641,631,-10.0,62.2,273,0
2,2,abrir,3,4,272,271,-1,743,743,0.0,,272,0
2,2,abrir,3,3,222,225,3,592,592,0.0,,272,0
2,2,abrir,3,2,210,181,-29,639,631,-8.0,42.4,272,0
5,2,abrir,3,4,271,271,0,743,743,0.0,,271,0
5,2,abrir,3,3,221,224,3,592,592,0.0,,271,0
5,2,abrir,3,2,210,178,-32,639,631,-8.0,49.0,271,0
4,2,abrir,3,4,271,271,0,743,743,0.0,,271,0
4,2,abrir,3,3,220,225,5,592,592,0.0,,271,0
4,2,abrir,3,2,210,172,-38,639,631,-8.0,82.9,271,0
2,3,cerrar,4,4,272,292,20,743,743,0.0,188.5,272,0
2,3,cerrar,4,3,212,368,156,592,599,7.0,35.1,272,0
2,3,cerrar,4,2,244,178,-66,640,641,1.0,93.3,272,0
0,3,cerrar,4,4,290,299,9,743,743,0.0,,290,0
0,3,cerrar,4,3,223,401,178,596,604,8.0,30.5,290,0
0,3,cerrar,4,2,223,174,-49,642,643,1.0,90.3,290,0
3,2,cerrar,3,4,273,289,16,740,740,0.0,541.2,273,0
3,2,cerrar,3,3,214,184,-30,598,597,-1.0,123.1,273,0
3,2,cerrar,3,2,234,329,95,645,651,6.0,92.8,273,0
0,4,abrir,12,4,290,194,-96,740,728,-12.0,65.7,290,0
0,4,abrir,12,3,259,199,-60,600,600,0.0,157.7,290,0
0,4,abrir,12,2,275,213,-62,645,644,-1.0,124.4,290,0
3,3,cerrar,4,4,281,289,8,738,738,0.0,,281,0
3,3,cerrar,4,3,210,322,112,600,607,7.0,62.1,281,0
3,3,cerrar,4,2,237,193,-44,644,645,1.0,112.0,281,0
4,3,abrir,4,4,288,283,-5,738,738,0.0,,288,0
4,3,abrir,4,3,225,53,-172,600,595,-5.0,32.7,288,0
4,3,abrir,4,2,226,262,36,650,650,0.0,93.1,288,0
2,4,cerrar,12,4,287,386,99,738,748,10.0,61.7,287,0
2,4,cerrar,12,3,231,226,-5,604,599,-4.5,111.4,287,0
2,4,cerrar,12,2,224,256,32,650,650,0.0,139.0,287,0
0,2,cerrar,3,4,265,271,6,736,736,0.0,,265,0
0,2,cerrar,3,3,211,195,-16,599,599,0.0,93.7,265,0
0,2,cerrar,3,2,233,283,50,650,654,4.0,62.7,265,0
1,2,cerrar,3,4,275,276,1,736,736,0.0,,275,0
1,2,cerrar,3,3,246,233,-13,605,604,-1.0,,275,0
1,2,cerrar,3,2,250,270,20,653,654,1.0,46.9,275,0
5,3,cerrar,4,4,276,287,11,736,736,0.0,,276,0
5,3,cerrar,4,3,235,333,98,604,614,10.0,62.5,276,0
5,3,cerrar,4,2,253,216,-37,653,654,1.0,111.1,276,0
5,4,abrir,12,4,286,215,-71,736,727,-9.0,71.7,286,0
5,4,abrir,12,3,264,246,-18,606,607,1.0,154.0,286,0
5,4,abrir,12,2,226,186,-40,654,654,0.0,122.2,286,0
1,3,cerrar,4,4,275,278,3,734,733,-1.0,,275,0
1,3,cerrar,4,3,249,299,50,606,613,7.0,59.9,275,0
1,3,cerrar,4,2,226,215,-11,655,655,0.0,,275,0
4,2,cerrar,3,4,288,290,2,734,734,0.0,,288,0
4,2,cerrar,3,3,228,216,-12,606,606,0.0,,288,0
4,2,cerrar,3,2,224,272,48,655,658,3.0,50.1,288,0
5,3,abrir,4,4,289,287,-2,734,734,0.0,,289,0
5,3,abrir,4,3,220,86,-134,606,599,-7.0,51.1,289,0
5,3,abrir,4,2,241,262,21,656,657,1.0,110.4,289,0
2,4,abrir,12,4,290,199,-91,734,721,-13.0,50.3,290,0
2,4,abrir,12,3,228,174,-54,607,606,-1.0,169.7,290,0
2,4,abrir,12,2,237,204,-33,657,657,0.0,168.2,290,0
1,4,abrir,12,4,287,205,-82,733,722,-11.0,42.3,287,0
1,4,abrir,12,3,243,227,-16,613,613,0.0,602.1,287,0
1,4,abrir,12,2,213,194,-19,657,657,0.0,155.8,287,0
1,2,abrir,3,4,289,287,-2,732,732,0.0,,289,0
1,2,abrir,3,3,236,234,-2,613,611,-2.0,,289,0
1,2,abrir,3,2,212,160,-52,657,647,-10.0,42.4,289,0
2,3,abrir,4,4,288,287,-1,733,733,0.0,,288,0
2,3,abrir,4,3,223,152,-71,610,603,-7.0,61.2,288,0
2,3,abrir,4,2,216,225,9,657,657,0.0,,288,0
4,3,cerrar,4,4,288,292,4,733,733,0.0,,288,0
4,3,cerrar,4,3,223,332,109,611,618,7.0,71.6,288,0
4,3,cerrar,4,2,213,173,-40,657,657,0.0,124.7,288,0
0,4,cerrar,12,4,255,360,105,728,740,12.0,62.5,255,0
0,4,cerrar,12,3,218,231,13,610,610,0.0,,255,0
0,4,cerrar,12,2,214,234,20,658,658,0.0,175.3,255,0
5,4,cerrar,12,4,253,358,105,729,740,11.0,61.8,253,0
5,4,cerrar,12,3,220,231,11,610,610,0.0,,253,0
5,4,cerrar,12,2,214,234,20,658,658,0.0,145.0,253,0
0,3,abrir,4,4,254,252,-2,729,729,0.0,,254,0
0,3,abrir,4,3,220,89,-131,610,603,-7.0,34.4,254,0
0,3,abrir,4,2,214,238,24,658,658,0.0,92.1,254,0
1,4,cerrar,12,4,255,357,102,729,740,11.0,80.5,255,0
1,4,cerrar,12,3,222,238,16,614,614,0.0,260.2,255,0
1,4,cerrar,12,2,215,235,20,658,658,0.0,166.7,255,0
3,4,cerrar,12,4,252,354,102,729,740,11.0,91.7,252,0
3,4,cerrar,12,3,215,220,5,613,610,-3.0,,252,0
3,4,cerrar,12,2,217,238,21,658,658,0.0,169.9,252,0
3,3,abrir,4,4,261,261,0,729,729,0.0,,261,0
3,3,abrir,4,3,267,188,-79,618,610,-8.0,35.8,261,0
3,3,abrir,4,2,230,241,11,660,661,1.0,,261,0
