t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
0.00295,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-29
0.00419,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.00535,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.00655,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.00774,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.00892,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.01015,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.02037,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.02161,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.02275,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.02395,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.02547,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.03192,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.03312,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.03441,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.03556,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.03678,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.03801,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.03945,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.04101,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.05163,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.05284,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.05434,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.05550,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.06183,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.06328,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.06449,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.06571,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.06699,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.06820,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.06941,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.07055,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.07177,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
0.08211,couple,check,94,58,602,560,734,1556,0,0,108,73,122,-28
