t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
14.07201,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.07347,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.07465,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.07586,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.07709,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.07862,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.08918,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.09036,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.09168,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.09311,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.09953,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10085,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10211,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10332,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10451,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10577,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10696,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10814,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.10933,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.11969,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.12095,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.12224,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.12334,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.12455,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.13155,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.13277,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.13393,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.13517,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.13634,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.13758,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.13879,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.14003,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.15034,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.15177,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.15302,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.15423,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.15558,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.16234,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.16353,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.16471,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.16598,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.16715,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.16830,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.16948,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.17071,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.17191,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.18219,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.18334,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.18459,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.18585,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.19240,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.19366,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.19486,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.19601,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.19721,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.19843,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.19965,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.20112,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.20232,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.21245,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.21367,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.21487,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.21607,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.21725,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.22386,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.22515,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.22631,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.22749,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.22876,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.22992,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.23119,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.23234,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.23350,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.24424,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.24537,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.24655,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.24779,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.25441,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.25560,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.25709,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.25861,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.25981,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.26106,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.26233,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.26377,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.26502,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
14.27538,grasp,base,93,58,96,100,246,1556,0,0,0,0,0,0
