trial,moved_dof,dir,step_units,obs_dof,f_base,f_end,df,pos_base,pos_end,dpos,t_onset_ms,ref_force_before,aborted
5,2,cerrar,3,4,249,251,2,734,734,0.0,,249,0
5,2,cerrar,3,3,246,234,-12,596,596,0.0,,249,0
5,2,cerrar,3,2,251,290,39,647,651,4.0,62.7,249,0
3,4,abrir,12,4,251,168,-83,734,723,-11.0,105.0,251,0
3,4,abrir,12,3,239,213,-26,596,596,0.0,190.0,251,0
3,4,abrir,12,2,253,218,-35,647,647,0.0,218.2,251,0
0,2,abrir,3,4,244,236,-8,734,734,0.0,,244,0
0,2,abrir,3,3,221,246,25,596,595,-1.0,111.7,244,0
0,2,abrir,3,2,240,112,-128,647,639,-8.0,50.2,244,0
1,3,abrir,4,4,239,236,-3,734,734,0.0,,239,0
1,3,abrir,4,3,222,60,-162,595,586,-9.0,33.3,239,0
1,3,abrir,4,2,235,256,21,648,648,0.0,91.1,239,0
2,2,cerrar,3,4,243,258,15,734,734,0.0,,243,0
2,2,cerrar,3,3,255,191,-64,597,597,0.0,72.3,243,0
2,2,cerrar,3,2,239,358,119,650,657,7.0,41.8,243,0
4,4,abrir,12,4,258,187,-71,734,723,-11.0,92.8,258,0
4,4,abrir,12,3,255,227,-28,597,598,1.0,142.7,258,0
4,4,abrir,12,2,258,234,-24,648,648,0.0,139.0,258,0
4,4,cerrar,12,4,269,413,144,734,747,13.0,33.9,269,0
4,4,cerrar,12,3,238,271,33,597,597,0.0,154.3,269,0
4,4,cerrar,12,2,258,312,54,648,648,0.0,122.8,269,0
3,2,abrir,3,4,258,255,-3,734,734,0.0,,258,0
3,2,abrir,3,3,234,216,-18,597,595,-2.0,112.7,258,0
3,2,abrir,3,2,272,183,-89,648,644,-4.0,51.2,258,0
2,2,abrir,3,4,266,266,0,734,734,0.0,,266,0
2,2,abrir,3,3,242,235,-7,596,596,0.0,,266,0
2,2,abrir,3,2,232,234,2,647,647,0.0,,266,0
5,2,abrir,3,4,265,264,-1,734,734,0.0,,265,0
5,2,abrir,3,3,232,238,6,596,596,0.0,,265,0
5,2,abrir,3,2,237,199,-38,648,645,-3.0,50.6,265,0
4,2,abrir,3,4,265,264,-1,734,734,0.0,,265,0
4,2,abrir,3,3,231,237,6,596,596,0.0,,265,0
4,2,abrir,3,2,235,202,-33,648,646,-2.0,34.0,265,0
2,3,cerrar,4,4,265,273,8,734,734,0.0,,265,0
2,3,cerrar,4,3,230,379,149,596,604,8.0,49.3,265,0
2,3,cerrar,4,2,238,199,-39,648,648,0.0,76.9,265,0
0,3,cerrar,4,4,271,274,3,734,734,0.0,,271,0
0,3,cerrar,4,3,242,391,149,597,606,9.0,33.7,271,0
0,3,cerrar,4,2,224,196,-28,648,647,-1.0,64.3,271,0
3,2,cerrar,3,4,272,276,4,734,734,0.0,,272,0
3,2,cerrar,3,3,238,214,-24,597,597,0.0,94.8,272,0
3,2,cerrar,3,2,223,327,104,647,658,11.0,33.6,272,0
0,4,abrir,12,4,275,188,-87,734,722,-12.0,50.8,275,0
0,4,abrir,12,3,219,191,-28,597,597,0.0,167.9,275,0
0,4,abrir,12,2,279,239,-40,652,653,1.0,136.2,275,0
3,3,cerrar,4,4,273,285,12,734,734,0.0,,273,0
3,3,cerrar,4,3,220,388,168,597,607,10.0,63.6,273,0
3,3,cerrar,4,2,260,200,-60,652,653,1.0,91.8,273,0
4,3,abrir,4,4,284,267,-17,734,734,0.0,451.5,284,0
4,3,abrir,4,3,261,26,-235,599,591,-8.0,60.5,284,0
4,3,abrir,4,2,222,299,77,653,653,0.0,81.9,284,0
2,4,cerrar,12,4,274,424,150,734,747,13.0,92.5,274,0
2,4,cerrar,12,3,240,289,49,600,600,0.0,200.1,274,0
2,4,cerrar,12,2,232,286,54,653,653,0.0,139.2,274,0
0,2,cerrar,3,4,277,280,3,734,734,0.0,,277,0
0,2,cerrar,3,3,255,243,-12,600,600,0.0,,277,0
0,2,cerrar,3,2,248,285,37,653,657,4.0,51.0,277,0
1,2,cerrar,3,4,279,281,2,734,734,0.0,,279,0
1,2,cerrar,3,3,248,238,-10,600,600,0.0,,279,0
1,2,cerrar,3,2,238,292,54,653,658,5.0,47.8,279,0
5,3,cerrar,4,4,279,298,19,734,734,0.0,156.4,279,0
5,3,cerrar,4,3,245,415,170,600,611,11.0,94.3,279,0
5,3,cerrar,4,2,245,190,-55,653,654,1.0,93.2,279,0
5,4,abrir,12,4,254,181,-73,731,719,-12.0,74.1,254,0
5,4,abrir,12,3,235,204,-31,599,599,0.0,134.0,254,0
5,4,abrir,12,2,214,185,-29,654,655,1.0,127.3,254,0
1,3,cerrar,4,4,254,260,6,731,731,0.0,,254,0
1,3,cerrar,4,3,239,360,121,603,611,8.0,60.7,254,0
1,3,cerrar,4,2,223,180,-43,658,658,0.0,79.0,254,0
4,2,cerrar,3,4,261,273,12,731,731,0.0,,261,0
4,2,cerrar,3,3,230,190,-40,602,602,0.0,64.9,261,0
4,2,cerrar,3,2,274,380,106,661,667,6.0,33.4,261,0
5,3,abrir,4,4,269,262,-7,731,731,0.0,,269,0
5,3,abrir,4,3,233,60,-173,604,597,-7.0,36.7,269,0
5,3,abrir,4,2,226,269,43,655,656,1.0,65.7,269,0
2,4,abrir,12,4,267,206,-61,731,718,-13.0,79.9,267,0
2,4,abrir,12,3,276,259,-17,607,607,0.0,558.0,267,0
2,4,abrir,12,2,223,210,-13,656,656,0.0,,267,0
1,4,abrir,12,4,285,208,-77,731,719,-12.0,40.1,285,0
1,4,abrir,12,3,267,258,-9,607,607,0.0,,285,0
1,4,abrir,12,2,225,211,-14,656,656,0.0,,285,0
1,2,abrir,3,4,284,275,-9,731,731,0.0,,284,0
1,2,abrir,3,3,266,287,21,607,607,0.0,96.4,284,0
1,2,abrir,3,2,226,118,-108,656,648,-8.0,34.7,284,0
2,3,abrir,4,4,278,276,-2,731,731,0.0,,278,0
2,3,abrir,4,3,241,165,-76,606,599,-7.0,58.8,278,0
2,3,abrir,4,2,241,250,9,661,661,0.0,,278,0
4,3,cerrar,4,4,278,285,7,731,731,0.0,,278,0
4,3,cerrar,4,3,273,375,102,607,615,8.0,36.9,278,0
4,3,cerrar,4,2,230,188,-42,661,661,0.0,63.9,278,0
0,4,cerrar,12,4,286,406,120,731,741,10.0,33.3,286,0
0,4,cerrar,12,3,264,293,29,606,606,0.0,154.8,286,0
0,4,cerrar,12,2,279,307,28,663,663,0.0,153.7,286,0
5,4,cerrar,12,4,267,395,128,728,740,12.0,91.8,267,0
5,4,cerrar,12,3,268,288,20,606,606,0.0,200.8,267,0
5,4,cerrar,12,2,271,301,30,663,663,0.0,168.3,267,0
0,3,abrir,4,4,270,268,-2,728,728,0.0,,270,0
0,3,abrir,4,3,268,94,-174,606,599,-7.0,51.1,270,0
0,3,abrir,4,2,273,306,33,663,663,0.0,79.2,270,0
1,4,cerrar,12,4,270,391,121,728,740,12.0,81.5,270,0
1,4,cerrar,12,3,231,226,-5,607,604,-3.0,202.2,270,0
1,4,cerrar,12,2,278,316,38,663,663,0.0,170.3,270,0
3,4,cerrar,12,4,269,393,124,728,740,12.0,51.2,269,0
3,4,cerrar,12,3,285,309,24,611,611,0.0,172.6,269,0
3,4,cerrar,12,2,264,295,31,663,663,0.0,138.6,269,0
3,3,abrir,4,4,269,268,-1,727,728,1.0,,269,0
3,3,abrir,4,3,288,195,-93,611,603,-8.0,42.3,269,0
3,3,abrir,4,2,266,282,16,663,663,0.0,62.6,269,0
