t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
0.00337,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.00464,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.00609,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.00729,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.00852,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.01870,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.01991,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.02107,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.02235,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.02354,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.03043,couple,check,93,58,651,593,733,1556,0,0,292,185,249,-66
0.03171,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.03316,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.03437,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.03561,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.03707,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.03828,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.03948,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.04992,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.05108,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.05272,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.05385,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.05503,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.06131,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.06258,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.06414,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.06532,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.06658,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.06776,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.06895,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.07017,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.08041,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.08164,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.08273,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.08396,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.08518,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.09175,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.09296,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.09417,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.09547,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.09688,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.09821,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.09971,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.10155,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.11246,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.11395,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.11579,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.11700,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.12332,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.12454,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.12566,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.12691,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.12814,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.12932,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.13058,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.13207,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.14237,couple,check,93,58,651,593,734,1556,0,1,292,185,249,-66
0.14353,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.14477,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.14596,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.14721,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.15356,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.15507,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.15629,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.15751,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.15871,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
0.15994,couple,check,93,58,651,593,734,1556,0,0,292,185,249,-66
