t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
15.41631,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.41786,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.41931,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.42054,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.42691,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.42816,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.42940,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.43057,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.43178,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.43298,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.43423,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.43543,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.43670,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.44713,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.44834,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.44949,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.45068,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.45198,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.45852,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.45975,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.46096,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.46214,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.46336,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.46455,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.46579,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.46699,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.47767,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.47904,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.48032,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.48147,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.48271,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.48952,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.49068,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.49192,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.49315,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.49433,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.49556,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.49671,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.49794,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.50871,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.51024,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.51212,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.51364,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.52021,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.52209,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.52395,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.52523,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.52662,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.52872,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.53980,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.54119,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.54239,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.54364,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.54490,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.55183,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.55298,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
15.55419,grasp,base,94,58,95,99,246,1556,0,0,0,0,0,0
