t_s,phase,tag,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5
14.08173,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.08340,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.08510,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.08671,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.08801,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.09848,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.10019,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.10160,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.10333,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.10959,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.11074,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.11201,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.11314,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.11435,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.11581,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.11726,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.11878,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.12942,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.13094,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.13266,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.13385,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.14060,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.14210,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.14351,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.14521,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.14705,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.14890,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.15036,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.16067,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.16253,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.16375,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.17088,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.17225,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.17376,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.17494,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.17649,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.17767,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.17889,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.18023,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.19047,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.19187,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.19308,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.19430,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.19552,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.20191,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.20309,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.20423,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.20542,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.20683,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.20871,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.21009,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.21125,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.22154,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.22267,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.22391,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.22511,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.22630,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.23283,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.23414,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.23580,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.23705,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.23828,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.23951,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.24100,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.24219,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.25251,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.25392,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.25511,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.25633,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.25762,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.26445,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.26589,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.26744,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.26881,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.27003,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.27123,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.27243,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
14.27365,grasp,base,95,60,96,101,246,1556,0,0,0,0,0,0
