t_s,force4,force3,force2,pos,cur
0.000,1008,384,582,662,0
0.008,1008,384,582,662,0
0.010,1008,384,582,662,0
0.012,1008,384,582,662,0
0.015,1008,384,582,662,0
0.017,1008,384,582,662,0
0.029,974,383,582,662,0
0.031,974,383,582,659,0
0.038,974,383,582,659,0
0.040,974,383,582,659,0
0.042,974,383,582,659,0
0.045,974,383,582,659,0
0.047,974,383,581,659,0
0.049,974,383,581,659,0
0.060,974,383,581,659,0
0.063,974,383,581,659,0
0.070,974,383,581,659,0
0.072,974,383,581,659,0
0.074,974,383,581,659,0
0.076,974,383,581,659,0
0.079,974,383,581,659,0
0.090,999,383,581,659,360
0.091,999,383,581,657,360
0.093,999,383,581,657,360
0.101,999,383,581,657,360
0.103,999,383,581,657,360
0.105,999,383,581,657,360
0.106,999,383,582,657,360
0.109,999,383,582,657,372
0.121,1021,383,582,662,372
0.124,1021,383,582,662,372
0.126,1021,383,582,662,372
0.134,1021,383,582,662,372
0.137,1021,383,582,662,372
0.139,1021,384,582,662,372
0.141,1022,384,582,662,364
0.153,1022,384,582,662,364
0.155,1022,384,582,662,364
0.163,1022,384,582,662,364
0.165,1022,384,582,662,364
0.167,1022,384,582,662,364
0.168,1022,384,582,662,364
0.171,1022,384,582,662,364
0.173,1021,384,582,662,377
0.184,1021,384,582,662,377
0.186,1021,384,582,662,377
0.188,1021,384,582,662,377
0.195,1021,384,582,662,377
0.197,1021,384,582,662,377
0.199,1021,384,582,662,377
0.201,1021,384,582,662,377
0.203,1020,384,582,662,377
0.214,1020,384,582,662,377
0.218,1020,384,582,662,377
0.225,1020,384,582,662,377
0.227,1020,384,582,662,377
0.229,1020,384,582,662,377
0.231,1020,384,582,662,377
0.233,1020,384,582,662,367
0.235,1020,384,582,662,367
0.246,1020,384,582,662,367
0.249,1020,384,582,662,367
0.256,1020,384,582,662,367
0.258,1020,384,582,662,367
0.259,1020,384,582,662,367
0.261,1020,385,582,662,367
0.263,1019,385,582,662,367
0.265,1019,385,582,662,367
0.276,1019,385,582,662,367
0.279,1019,385,582,662,367
0.281,1019,385,582,662,367
0.288,1019,385,582,662,367
0.290,1019,385,582,662,367
0.293,1018,385,582,662,362
0.295,1018,385,582,662,362
0.306,1018,385,582,662,362
0.309,1018,385,582,662,362
0.311,1018,385,582,662,362
0.318,1018,385,581,662,362
0.320,1018,385,581,662,362
0.322,1018,385,581,662,370
0.324,1018,385,581,662,370
0.327,1018,385,581,662,370
0.338,1018,385,581,662,370
0.340,1018,385,581,662,370
0.342,1018,385,581,662,370
0.350,1018,385,581,662,370
0.351,1018,385,581,662,370
0.353,1018,385,581,662,377
0.355,1018,385,581,662,377
0.357,1018,385,581,662,377
0.368,1018,385,581,662,377
0.371,1018,385,581,662,377
0.373,1018,385,581,662,377
0.380,1018,385,581,662,377
0.383,1018,385,581,662,373
0.386,1018,385,581,664,373
0.388,1018,385,581,664,373
0.400,1018,385,581,664,373
0.403,1018,385,581,664,373
0.411,1018,385,581,664,373
0.413,1017,385,581,664,375
0.416,1017,385,581,664,375
0.418,1017,385,581,664,375
0.419,1017,385,581,664,375
0.431,1017,385,581,664,375
0.433,1017,385,581,664,375
0.436,1017,385,581,664,375
0.443,1017,385,581,664,378
0.445,1017,385,581,664,378
0.447,1017,385,581,664,378
0.448,1017,385,581,664,378
0.451,1017,385,581,664,378
0.462,1017,385,581,664,378
0.464,1017,385,581,664,378
0.466,1017,385,581,664,378
0.474,1017,384,581,664,378
0.475,1017,384,581,664,370
0.478,1017,384,581,664,370
0.480,1017,384,581,664,370
0.483,1017,384,581,664,370
0.494,1017,384,581,664,370
0.496,1017,384,581,664,370
0.503,1017,385,581,664,370
0.506,1017,385,581,664,370
0.509,1017,385,581,664,370
0.512,1017,385,581,664,370
0.523,1017,385,581,664,370
0.526,1017,385,581,664,370
0.528,1017,385,581,664,370
0.535,1017,385,581,664,370
0.537,1016,385,581,664,373
0.539,1016,385,581,664,373
0.541,1016,385,581,664,373
0.543,1016,385,581,664,373
0.545,1016,385,581,664,373
0.556,1016,385,581,664,373
0.559,1016,385,581,664,373
0.566,1016,385,581,664,370
0.568,1016,385,581,664,370
0.570,1016,385,581,664,370
0.574,1016,385,581,664,370
0.585,1016,385,581,664,370
0.587,1016,385,581,664,370
0.590,1016,385,582,664,370
0.597,1016,385,582,664,370
0.599,1016,385,582,664,370
0.602,1016,385,582,664,370
0.604,1016,385,582,664,370
0.607,1016,385,582,664,370
0.618,1016,385,581,664,370
0.621,1016,385,581,664,370
0.628,1016,385,581,664,375
0.631,1016,385,581,664,375
0.634,1016,385,581,664,375
0.636,1016,385,581,664,375
0.647,1016,385,581,664,375
0.649,1016,385,581,664,375
0.651,1016,384,581,664,375
0.659,1016,384,581,664,375
0.661,1016,384,581,664,375
0.663,1016,384,581,664,375
0.665,1016,384,581,664,375
0.668,1016,384,581,664,375
0.679,1016,384,581,664,375
0.681,1016,385,581,664,375
0.684,1015,385,581,664,372
0.691,1015,385,581,664,372
0.692,1015,385,581,664,372
0.694,1015,385,581,664,372
0.697,1015,385,581,664,372
0.698,1015,385,581,664,372
0.709,1015,385,581,664,372
0.712,1015,385,581,664,372
0.714,1015,385,581,664,376
0.721,1015,385,581,664,376
0.724,1015,385,581,664,376
0.726,1015,385,581,664,376
0.729,1015,385,581,664,376
0.731,1015,385,581,664,376
0.742,1015,385,581,664,376
0.744,1015,385,581,664,373
0.752,1015,385,581,664,373
0.754,1015,385,581,664,373
0.756,1015,385,581,664,373
0.758,1015,385,581,664,373
0.760,1015,385,581,664,373
0.772,1015,385,581,664,373
0.774,1015,385,581,664,373
0.777,1014,385,581,664,373
0.784,1014,385,581,664,373
0.787,1014,385,581,664,373
0.789,1014,385,581,664,373
0.791,1014,385,581,664,373
0.803,1014,385,581,664,365
0.806,1014,385,581,664,365
0.814,1014,385,581,664,365
0.817,1014,385,581,664,365
0.820,1014,385,581,664,365
0.822,1014,385,581,664,365
0.834,1014,385,581,664,365
0.837,1014,385,581,664,372
0.839,1014,385,581,664,372
0.846,1014,385,581,664,372
0.848,1014,385,581,664,372
0.850,1014,385,581,664,372
0.852,1014,385,581,664,372
0.854,1014,385,581,664,372
0.865,1014,385,581,664,366
0.867,1014,385,581,664,366
0.870,1014,385,581,664,366
0.877,1014,385,581,664,366
0.880,1014,385,581,664,366
0.881,1014,385,581,664,366
0.884,1014,385,581,664,366
0.895,1014,385,581,664,366
0.897,1014,385,581,664,376
0.899,1014,385,581,664,376
0.901,1014,385,581,664,376
0.909,1014,385,581,664,376
0.912,1014,385,581,664,376
0.915,1014,385,581,664,376
0.927,1014,385,581,664,369
0.930,1014,385,581,664,369
0.937,1014,385,581,664,369
0.940,1014,385,581,664,369
0.942,1014,385,581,664,369
0.943,1014,385,581,664,369
0.946,1014,385,581,664,369
0.948,1014,385,581,664,369
0.959,1014,385,581,664,370
0.960,1014,385,581,664,370
0.963,1014,385,581,664,370
0.970,1014,385,581,664,370
0.972,1014,385,581,664,370
0.974,1014,385,581,664,370
0.976,1014,385,581,664,370
0.978,1014,385,581,664,370
0.989,1014,385,581,664,370
0.991,1014,385,581,664,370
0.993,1014,385,581,664,370
1.000,1014,385,581,664,370
1.002,1014,385,581,664,370
1.004,1014,385,581,664,370
1.006,1014,385,581,664,370
1.008,1014,385,581,664,370
1.010,1014,385,581,664,373
1.022,1014,385,581,664,373
1.024,1014,385,581,664,373
1.031,1014,385,581,664,373
1.034,1014,385,581,664,373
1.036,1014,385,581,664,373
1.038,1014,385,581,664,373
1.040,1014,385,581,664,373
1.051,1014,385,581,664,371
1.053,1014,385,581,664,371
1.056,1014,385,581,664,371
1.063,1014,385,581,664,371
1.065,1014,385,581,664,371
1.067,1014,385,581,664,371
1.069,1014,385,581,664,371
1.071,1014,385,581,664,371
1.082,1014,385,581,664,366
1.085,1014,385,581,664,366
1.087,1014,385,581,664,366
1.094,1014,385,581,664,366
1.097,1014,385,581,664,366
1.099,1014,385,581,664,366
1.101,1014,385,581,664,368
1.113,1013,385,581,664,368
1.116,1013,385,581,664,368
1.118,1013,385,581,664,368
1.125,1013,385,581,664,368
1.128,1013,385,581,664,368
1.131,1013,385,581,664,368
1.134,1013,385,581,664,370
1.145,1013,385,581,664,370
1.148,1013,385,581,664,370
1.156,1013,385,581,664,370
1.158,1013,385,581,664,370
1.161,1013,385,581,664,370
1.163,1013,385,581,664,371
1.175,1013,385,581,664,371
1.178,1013,385,581,664,371
1.180,1013,385,581,664,371
1.188,1013,385,581,664,371
1.190,1013,385,581,664,371
1.192,1013,385,581,664,371
1.195,1013,385,581,664,371
1.206,1013,385,581,664,371
1.208,1013,385,581,664,371
1.210,1013,385,581,664,371
1.218,1013,385,581,664,371
1.220,1013,385,581,664,371
1.222,1013,384,578,664,371
1.224,913,384,578,664,0
1.227,913,384,578,655,0
1.238,913,384,578,655,0
1.240,913,384,578,655,0
1.248,913,384,578,655,0
1.250,913,384,558,655,0
1.253,913,373,558,655,0
1.256,776,373,558,648,0
1.267,776,373,558,648,0
1.270,776,373,558,648,0
1.272,776,373,558,648,0
1.279,776,373,558,648,0
1.281,776,373,558,648,0
1.283,776,373,524,648,0
1.286,776,354,524,648,0
