fichero,t_wall_iso,t_unix,n
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.544514,1789665222.545,0
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.582851,1789665222.583,1
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.613895,1789665222.614,2
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.649149,1789665222.649,3
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.681678,1789665222.682,4
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.718278,1789665222.718,5
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.748519,1789665222.749,6
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.780457,1789665222.780,7
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.817713,1789665222.818,8
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.848271,1789665222.848,9
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.881763,1789665222.882,10
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.912210,1789665222.912,11
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.943692,1789665222.944,12
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:42.975693,1789665222.976,13
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.014807,1789665223.015,14
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.049867,1789665223.050,15
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.078934,1789665223.079,16
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.115076,1789665223.115,17
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.147746,1789665223.148,18
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.184382,1789665223.184,19
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.217871,1789665223.218,20
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.247736,1789665223.248,21
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.279759,1789665223.280,22
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.319917,1789665223.320,23
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.347248,1789665223.347,24
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.380170,1789665223.380,25
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.418444,1789665223.418,26
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.448518,1789665223.449,27
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.481787,1789665223.482,28
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.515545,1789665223.516,29
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.545282,1789665223.545,30
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.579228,1789665223.579,31
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.619477,1789665223.619,32
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.647953,1789665223.648,33
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.679904,1789665223.680,34
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.713322,1789665223.713,35
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.748753,1789665223.749,36
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.779333,1789665223.779,37
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.819904,1789665223.820,38
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.847835,1789665223.848,39
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.881469,1789665223.881,40
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.918781,1789665223.919,41
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.948557,1789665223.949,42
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:43.981846,1789665223.982,43
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.018264,1789665224.018,44
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.047564,1789665224.048,45
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.082747,1789665224.083,46
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.116742,1789665224.117,47
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.150128,1789665224.150,48
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.180293,1789665224.180,49
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.218222,1789665224.218,50
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.246213,1789665224.246,51
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.284426,1789665224.284,52
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.313999,1789665224.314,53
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.344733,1789665224.345,54
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.378449,1789665224.378,55
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.418434,1789665224.418,56
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.447870,1789665224.448,57
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.478354,1789665224.478,58
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.516884,1789665224.517,59
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.549035,1789665224.549,60
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.576514,1789665224.577,61
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.614346,1789665224.614,62
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.651269,1789665224.651,63
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.677506,1789665224.678,64
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.724880,1789665224.725,65
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.747101,1789665224.747,66
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.781836,1789665224.782,67
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.818499,1789665224.819,68
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.848910,1789665224.849,69
c3_c925_m2_20260917_121341.mp4,2026-09-17T12:13:44.881383,1789665224.881,70
