fichero,t_wall_iso,t_unix,n
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:48.814159,1789674648.814,0
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:48.867582,1789674648.868,1
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:48.880467,1789674648.880,2
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:48.899160,1789674648.899,3
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:48.932302,1789674648.932,4
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:48.969485,1789674648.969,5
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.002725,1789674649.003,6
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.040284,1789674649.040,7
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.069889,1789674649.070,8
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.101995,1789674649.102,9
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.134696,1789674649.135,10
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.169234,1789674649.169,11
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.201832,1789674649.202,12
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.237432,1789674649.237,13
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.270447,1789674649.270,14
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.301509,1789674649.302,15
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.334982,1789674649.335,16
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.371958,1789674649.372,17
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.401757,1789674649.402,18
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.440507,1789674649.441,19
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.469989,1789674649.470,20
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.501132,1789674649.501,21
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.534624,1789674649.535,22
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.572286,1789674649.572,23
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.601688,1789674649.602,24
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.641569,1789674649.642,25
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.667015,1789674649.667,26
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.705037,1789674649.705,27
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.739749,1789674649.740,28
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.767565,1789674649.768,29
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.799270,1789674649.799,30
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.840437,1789674649.840,31
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.872201,1789674649.872,32
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.907181,1789674649.907,33
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.933185,1789674649.933,34
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:49.976482,1789674649.977,35
