fichero,t_wall_iso,t_unix,n
couple_modo1_bola_20260916_214648_000.jpg,2026-09-16T21:46:50.895339,1789613210.895,0
couple_modo1_bola_20260916_214648_001.jpg,2026-09-16T21:46:55.917031,1789613215.917,1
couple_modo1_bola_20260916_214648_002.jpg,2026-09-16T21:47:00.930668,1789613220.931,2
couple_modo1_bola_20260916_214648_003.jpg,2026-09-16T21:47:05.956137,1789613225.956,3
couple_modo1_bola_20260916_214648_004.jpg,2026-09-16T21:47:10.986290,1789613230.986,4
couple_modo1_bola_20260916_214648_005.jpg,2026-09-16T21:47:16.012222,1789613236.012,5
couple_modo1_bola_20260916_214648_006.jpg,2026-09-16T21:47:21.033113,1789613241.033,6
couple_modo1_bola_20260916_214648_007.jpg,2026-09-16T21:47:26.059937,1789613246.060,7
couple_modo1_bola_20260916_214648_008.jpg,2026-09-16T21:47:31.086850,1789613251.087,8
couple_modo1_bola_20260916_214648_009.jpg,2026-09-16T21:47:36.112545,1789613256.113,9
couple_modo1_bola_20260916_214648_010.jpg,2026-09-16T21:47:41.127865,1789613261.128,10
couple_modo1_bola_20260916_214648_011.jpg,2026-09-16T21:47:46.152208,1789613266.152,11
couple_modo1_bola_20260916_214648_012.jpg,2026-09-16T21:47:51.177576,1789613271.178,12
couple_modo1_bola_20260916_214648_013.jpg,2026-09-16T21:47:56.198345,1789613276.198,13
couple_modo1_bola_20260916_214648_014.jpg,2026-09-16T21:48:01.225913,1789613281.226,14
couple_modo1_bola_20260916_214648_015.jpg,2026-09-16T21:48:06.252586,1789613286.253,15
couple_modo1_bola_20260916_214648_016.jpg,2026-09-16T21:48:11.269450,1789613291.269,16
couple_modo1_bola_20260916_214648_017.jpg,2026-09-16T21:48:16.298708,1789613296.299,17
couple_modo1_bola_20260916_214648_018.jpg,2026-09-16T21:48:21.318488,1789613301.319,18
couple_modo1_bola_20260916_214648_019.jpg,2026-09-16T21:48:26.341282,1789613306.341,19
couple_modo1_bola_20260916_214648_020.jpg,2026-09-16T21:48:31.367192,1789613311.367,20
couple_modo1_bola_20260916_214648_021.jpg,2026-09-16T21:48:36.392165,1789613316.392,21
couple_modo1_bola_20260916_214648_022.jpg,2026-09-16T21:48:41.410744,1789613321.411,22
couple_modo1_bola_20260916_214648_023.jpg,2026-09-16T21:48:46.436158,1789613326.436,23
couple_modo1_bola_20260916_214648_024.jpg,2026-09-16T21:48:51.454040,1789613331.454,24
couple_modo1_bola_20260916_214648_025.jpg,2026-09-16T21:48:56.477624,1789613336.478,25
couple_modo1_bola_20260916_214648_026.jpg,2026-09-16T21:49:01.501538,1789613341.502,26
couple_modo1_bola_20260916_214648_027.jpg,2026-09-16T21:49:06.518890,1789613346.519,27
couple_modo1_bola_20260916_214648_028.jpg,2026-09-16T21:49:11.545159,1789613351.545,28
couple_modo1_bola_20260916_214648_029.jpg,2026-09-16T21:49:16.563331,1789613356.563,29
couple_modo1_bola_20260916_214648_030.jpg,2026-09-16T21:49:21.590165,1789613361.590,30
couple_modo1_bola_20260916_214648_031.jpg,2026-09-16T21:49:26.606212,1789613366.606,31
couple_modo1_bola_20260916_214648_032.jpg,2026-09-16T21:49:31.627189,1789613371.627,32
couple_modo1_bola_20260916_214648_033.jpg,2026-09-16T21:49:36.650714,1789613376.651,33
couple_modo1_bola_20260916_214648_034.jpg,2026-09-16T21:49:41.669463,1789613381.669,34
couple_modo1_bola_20260916_214648_035.jpg,2026-09-16T21:49:46.695571,1789613386.696,35
couple_modo1_bola_20260916_214648_036.jpg,2026-09-16T21:49:51.722045,1789613391.722,36
couple_modo1_bola_20260916_214648_037.jpg,2026-09-16T21:49:56.748496,1789613396.749,37
couple_modo1_bola_20260916_214648_038.jpg,2026-09-16T21:50:01.767077,1789613401.767,38
couple_modo1_bola_20260916_214648_039.jpg,2026-09-16T21:50:06.792639,1789613406.793,39
