fichero,t_wall_iso,t_unix,n
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.545101,1789664694.545,0
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.599421,1789664694.599,1
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.622366,1789664694.622,2
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.652416,1789664694.652,3
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.689644,1789664694.690,4
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.725231,1789664694.725,5
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.758318,1789664694.758,6
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.794599,1789664694.795,7
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.834446,1789664694.834,8
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.871708,1789664694.872,9
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.907058,1789664694.907,10
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.947496,1789664694.948,11
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:54.981748,1789664694.982,12
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.013976,1789664695.014,13
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.060769,1789664695.061,14
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.083828,1789664695.084,15
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.130216,1789664695.130,16
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.163642,1789664695.164,17
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.193740,1789664695.194,18
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.226256,1789664695.226,19
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.269688,1789664695.270,20
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.303342,1789664695.303,21
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.330940,1789664695.331,22
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.377079,1789664695.377,23
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.411405,1789664695.411,24
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.442027,1789664695.442,25
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:55.486317,1789664695.486,26
