fichero,t_wall_iso,t_unix,n
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.246824,1789665088.247,0
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.283847,1789665088.284,1
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.309506,1789665088.310,2
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.341933,1789665088.342,3
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.373435,1789665088.373,4
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.408951,1789665088.409,5
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.442112,1789665088.442,6
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.475149,1789665088.475,7
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.511561,1789665088.512,8
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.546291,1789665088.546,9
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.576608,1789665088.577,10
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.613572,1789665088.614,11
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.642460,1789665088.642,12
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.674246,1789665088.674,13
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.710662,1789665088.711,14
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.743323,1789665088.743,15
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.776727,1789665088.777,16
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.808410,1789665088.808,17
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.840575,1789665088.841,18
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.872588,1789665088.873,19
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.910034,1789665088.910,20
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.942082,1789665088.942,21
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:28.979078,1789665088.979,22
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.014049,1789665089.014,23
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.047459,1789665089.047,24
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.075475,1789665089.075,25
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.114165,1789665089.114,26
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.140858,1789665089.141,27
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.176899,1789665089.177,28
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.212401,1789665089.212,29
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.250151,1789665089.250,30
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.273200,1789665089.273,31
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.309154,1789665089.309,32
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.345135,1789665089.345,33
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.372889,1789665089.373,34
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.414675,1789665089.415,35
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.442123,1789665089.442,36
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.476971,1789665089.477,37
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.513067,1789665089.513,38
g4_c925_bolam2_20260917_121126.mp4,2026-09-17T12:11:29.544544,1789665089.545,39
