fichero,t_wall_iso,t_unix,n
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.106245,1789674345.106,0
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.149140,1789674345.149,1
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.171199,1789674345.171,2
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.202651,1789674345.203,3
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.241505,1789674345.242,4
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.277577,1789674345.278,5
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.309450,1789674345.309,6
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.349419,1789674345.349,7
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.383311,1789674345.383,8
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.420377,1789674345.420,9
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.457123,1789674345.457,10
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.490978,1789674345.491,11
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.531044,1789674345.531,12
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.569243,1789674345.569,13
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.599118,1789674345.599,14
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.636697,1789674345.637,15
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.680836,1789674345.681,16
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.708779,1789674345.709,17
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.749203,1789674345.749,18
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.782743,1789674345.783,19
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.818393,1789674345.818,20
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.854289,1789674345.854,21
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.888549,1789674345.889,22
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.921460,1789674345.921,23
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.960137,1789674345.960,24
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:45.998530,1789674345.999,25
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:46.035091,1789674346.035,26
g6_brio_cubo_m2_20260917_144542.mp4,2026-09-17T14:45:46.068317,1789674346.068,27
