fichero,t_wall_iso,t_unix,n
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:32.925288,1789674512.925,0
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:32.964029,1789674512.964,1
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:32.989859,1789674512.990,2
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.028260,1789674513.028,3
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.055792,1789674513.056,4
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.095865,1789674513.096,5
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.123580,1789674513.124,6
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.153644,1789674513.154,7
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.195250,1789674513.195,8
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.221055,1789674513.221,9
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.252600,1789674513.253,10
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.290993,1789674513.291,11
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.320319,1789674513.320,12
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.353000,1789674513.353,13
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.388867,1789674513.389,14
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.420577,1789674513.421,15
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.456624,1789674513.457,16
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.490669,1789674513.491,17
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.520597,1789674513.521,18
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.552952,1789674513.553,19
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.588868,1789674513.589,20
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.627419,1789674513.627,21
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.654821,1789674513.655,22
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.693043,1789674513.693,23
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.723994,1789674513.724,24
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.753133,1789674513.753,25
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.788516,1789674513.789,26
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.821310,1789674513.821,27
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.852093,1789674513.852,28
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.891709,1789674513.892,29
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.921208,1789674513.921,30
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.955865,1789674513.956,31
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:33.993279,1789674513.993,32
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:34.020474,1789674514.020,33
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:34.055837,1789674514.056,34
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:34.092778,1789674514.093,35
