taxel,zone,zone_name,row,col,addr,mu,sigma,min,max,status
0,0,Meñique — Punta,0,0,3000,0.000,0.000,0,0,ok
1,0,Meñique — Punta,0,1,3001,0.000,0.000,0,0,ok
2,0,Meñique — Punta,0,2,3002,0.000,0.000,0,0,ok
3,0,Meñique — Punta,1,0,3003,97.150,118.991,32,452,noisy
4,0,Meñique — Punta,1,1,3004,297.700,30.649,261,397,noisy
5,0,Meñique — Punta,1,2,3005,260.603,23.505,228,332,noisy
6,0,Meñique — Punta,2,0,3006,55.290,14.574,28,75,noisy
7,0,Meñique — Punta,2,1,3007,288.870,14.636,250,313,noisy
8,0,Meñique — Punta,2,2,3008,258.263,10.928,234,282,noisy
9,1,Meñique — Distal,0,0,3018,0.000,0.000,0,0,ok
10,1,Meñique — Distal,0,1,3019,0.000,0.000,0,0,ok
11,1,Meñique — Distal,0,2,3020,0.000,0.000,0,0,ok
12,1,Meñique — Distal,0,3,3021,0.000,0.000,0,0,ok
13,1,Meñique — Distal,0,4,3022,0.000,0.000,0,0,ok
14,1,Meñique — Distal,0,5,3023,0.000,0.000,0,0,ok
15,1,Meñique — Distal,0,6,3024,0.000,0.000,0,0,ok
16,1,Meñique — Distal,0,7,3025,0.000,0.000,0,0,ok
17,1,Meñique — Distal,1,0,3026,0.000,0.000,0,0,ok
18,1,Meñique — Distal,1,1,3027,0.000,0.000,0,0,ok
19,1,Meñique — Distal,1,2,3028,0.000,0.000,0,0,ok
20,1,Meñique — Distal,1,3,3029,0.000,0.000,0,0,ok
21,1,Meñique — Distal,1,4,3030,0.000,0.000,0,0,ok
22,1,Meñique — Distal,1,5,3031,0.000,0.000,0,0,ok
23,1,Meñique — Distal,1,6,3032,0.000,0.000,0,0,ok
24,1,Meñique — Distal,1,7,3033,0.000,0.000,0,0,ok
25,1,Meñique — Distal,2,0,3034,0.000,0.000,0,0,ok
26,1,Meñique — Distal,2,1,3035,0.000,0.000,0,0,ok
27,1,Meñique — Distal,2,2,3036,0.000,0.000,0,0,ok
28,1,Meñique — Distal,2,3,3037,0.000,0.000,0,0,ok
29,1,Meñique — Distal,2,4,3038,0.000,0.000,0,0,ok
30,1,Meñique — Distal,2,5,3039,0.000,0.000,0,0,ok
31,1,Meñique — Distal,2,6,3040,0.000,0.000,0,0,ok
32,1,Meñique — Distal,2,7,3041,0.000,0.000,0,0,ok
33,1,Meñique — Distal,3,0,3042,0.000,0.000,0,0,ok
34,1,Meñique — Distal,3,1,3043,0.000,0.000,0,0,ok
35,1,Meñique — Distal,3,2,3044,0.000,0.000,0,0,ok
36,1,Meñique — Distal,3,3,3045,0.000,0.000,0,0,ok
37,1,Meñique — Distal,3,4,3046,0.000,0.000,0,0,ok
38,1,Meñique — Distal,3,5,3047,0.000,0.000,0,0,ok
39,1,Meñique — Distal,3,6,3048,0.000,0.000,0,0,ok
40,1,Meñique — Distal,3,7,3049,0.000,0.000,0,0,ok
41,1,Meñique — Distal,4,0,3050,0.000,0.000,0,0,ok
42,1,Meñique — Distal,4,1,3051,0.000,0.000,0,0,ok
43,1,Meñique — Distal,4,2,3052,0.000,0.000,0,0,ok
44,1,Meñique — Distal,4,3,3053,0.000,0.000,0,0,ok
45,1,Meñique — Distal,4,4,3054,0.000,0.000,0,0,ok
46,1,Meñique — Distal,4,5,3055,0.000,0.000,0,0,ok
47,1,Meñique — Distal,4,6,3056,0.000,0.000,0,0,ok
48,1,Meñique — Distal,4,7,3057,0.000,0.000,0,0,ok
49,1,Meñique — Distal,5,0,3058,0.000,0.000,0,0,ok
50,1,Meñique — Distal,5,1,3059,0.000,0.000,0,0,ok
51,1,Meñique — Distal,5,2,3060,0.000,0.000,0,0,ok
52,1,Meñique — Distal,5,3,3061,0.000,0.000,0,0,ok
53,1,Meñique — Distal,5,4,3062,0.000,0.000,0,0,ok
54,1,Meñique — Distal,5,5,3063,0.000,0.000,0,0,ok
55,1,Meñique — Distal,5,6,3064,0.000,0.000,0,0,ok
56,1,Meñique — Distal,5,7,3065,0.767,1.730,0,6,noisy
57,1,Meñique — Distal,6,0,3066,0.000,0.000,0,0,ok
58,1,Meñique — Distal,6,1,3067,0.000,0.000,0,0,ok
59,1,Meñique — Distal,6,2,3068,0.000,0.000,0,0,ok
60,1,Meñique — Distal,6,3,3069,0.000,0.000,0,0,ok
61,1,Meñique — Distal,6,4,3070,0.000,0.000,0,0,ok
62,1,Meñique — Distal,6,5,3071,0.000,0.000,0,0,ok
63,1,Meñique — Distal,6,6,3072,0.000,0.000,0,0,ok
64,1,Meñique — Distal,6,7,3073,0.000,0.000,0,0,ok
65,1,Meñique — Distal,7,0,3074,0.000,0.000,0,0,ok
66,1,Meñique — Distal,7,1,3075,0.000,0.000,0,0,ok
67,1,Meñique — Distal,7,2,3076,0.000,0.000,0,0,ok
68,1,Meñique — Distal,7,3,3077,0.000,0.000,0,0,ok
69,1,Meñique — Distal,7,4,3078,0.000,0.000,0,0,ok
