pressed\victim,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
z0,2690,0,1,0,4,0,0,0,7,8,4,2,0,10,0,0,2
z1,0,1449,10,2,13,4,0,0,5,8,0,1,0,3,0,0,2
z2,30,40,1500,5,3,1,0,0,3,0,0,10,0,4,0,0,9
z3,11,7,4,2886,153,22,0,0,7,10,0,2,0,1,0,0,0
z4,4,2,2,0,1432,1,0,0,5,2,0,1,0,1,0,0,0
z5,0,13,8,0,15,1468,0,0,17,4,0,0,0,2,0,0,0
z6,,,,,,,,,,,,,,,,,
z7,0,2,1,0,3,23,0,662,12,4,0,0,0,2,0,0,0
z8,5,0,0,0,4,16,0,0,1332,1,0,9,0,5,0,0,0
z9,3,4,1,0,2,19,0,0,12,2062,98,0,0,2,0,0,0
z10,5,4,1,0,3,17,0,0,8,0,1078,3,0,5,0,0,0
z11,5,6,0,0,2,12,0,0,10,9,5,2233,0,2,0,0,0
z12,2,2,0,0,2,10,0,0,9,13,8,48,2894,0,0,0,0
z13,54,4,0,0,2,5,0,0,6,2,3,12,0,1145,0,0,0
z14,23,4,0,0,2,9,0,0,2,4,2,7,0,18,733,0,0
z15,9,6,2,0,4,5,0,0,2,2,4,1,0,13,0,1130,0
z16,5,2,14,0,3,2,0,0,6,3,12,0,0,16,0,0,1754
