index,dt_ms
0,341.364730
1,342.738953
2,339.396711
3,342.430420
4,340.342500
5,340.216976
6,341.498581
7,339.703233
8,340.403869
9,343.394468
10,341.093047
11,339.942026
12,341.424289
13,338.667135
14,342.091653
15,340.178017
16,320.128438
17,331.952837
18,339.982497
19,341.093282
20,342.886551
21,341.956489
22,339.409794
23,342.333579
24,340.049884
25,341.151883
26,340.046654
27,341.093940
28,341.378500
29,341.109008
30,341.709839
31,341.315296
32,340.410804
33,340.956790
34,340.338517
35,339.908167
36,341.500154
37,343.078002
38,340.385481
39,340.448951
40,341.850478
41,341.177108
42,340.620907
43,341.238050
44,341.434745
45,340.654960
46,340.900341
47,341.996265
48,342.144487
49,339.641807
50,340.666867
51,340.824260
52,340.785139
53,339.961750
54,341.242286
55,341.727732
56,341.683055
57,340.783231
58,341.346266
59,340.486151
60,339.013829
61,342.733188
62,341.759367
63,341.235856
64,339.951734
65,339.785983
66,341.367988
67,341.364419
68,342.755921
69,339.141305
70,340.930656
71,341.928976
72,339.415332
73,342.214299
74,341.649915
75,339.852611
76,342.400390
77,340.740764
78,341.119407
79,339.865929
80,342.923006
81,340.800168
82,340.226265
83,341.184935
84,340.762331
85,341.344812
86,339.856469
87,342.159570
88,340.935200
89,339.407680
90,342.325450
91,341.490879
92,342.188308
93,340.400270
94,340.563159
95,341.102887
96,340.275490
97,341.637107
98,342.931917
99,337.954212
100,342.411487
101,340.458170
102,341.326538
103,340.453778
104,342.194562
105,340.554610
106,341.231713
107,339.095764
108,342.602804
109,342.322713
110,339.282367
111,341.283197
112,340.296278
113,341.207385
114,340.182230
115,341.817683
116,341.269462
117,339.653842
118,342.516856
119,340.318087
120,341.848134
121,341.261357
122,340.471820
123,341.295249
124,340.504516
125,341.464661
126,341.203985
127,340.764190
128,339.699135
129,342.972037
130,340.265435
131,339.240065
132,341.894994
133,342.605717
134,339.247742
135,342.442378
136,340.150340
137,340.626249
138,342.096942
139,341.423807
140,341.387711
141,340.660330
142,339.811221
143,341.511747
144,341.991357
145,341.551503
146,340.821371
147,340.458503
148,340.457904
149,340.941088
150,342.158187
151,339.754333
152,341.280132
153,340.999484
154,341.284723
155,339.807806
156,340.486589
157,342.047316
158,340.433112
159,342.282204
160,341.450201
161,339.157758
162,341.910167
163,342.253101
164,340.712166
165,340.249006
166,340.437388
167,342.248706
168,338.851368
169,342.432069
170,340.868357
171,341.766959
172,339.976046
173,340.421860
174,340.900115
175,342.496591
176,340.284631
177,340.717544
178,341.638308
179,341.572379
180,340.999829
181,339.353743
182,342.435730
183,341.095473
184,327.942165
185,353.187172
186,340.771681
187,342.285685
188,338.715769
189,341.996216
190,343.276749
191,339.847848
192,340.354272
193,341.993882
194,341.003376
195,341.715608
196,338.678659
197,341.280364
198,341.836515
199,340.973756
