taxel,zone,zone_name,row,col,mu,sigma,own_rise,cross_rise,status
0,0,Meñique — Punta,0,0,0.000,0.000,2527.0,0.0,ok
1,0,Meñique — Punta,0,1,0.000,0.000,2223.0,0.0,ok
2,0,Meñique — Punta,0,2,0.000,0.000,2650.0,0.0,ok
3,0,Meñique — Punta,1,0,97.150,118.991,2690.0,30.2,noisy
4,0,Meñique — Punta,1,1,297.700,30.649,2063.8,3.0,noisy
5,0,Meñique — Punta,1,2,260.603,23.505,2181.3,0.0,noisy
6,0,Meñique — Punta,2,0,55.290,14.574,2322.0,23.8,noisy
7,0,Meñique — Punta,2,1,288.870,14.636,1748.7,54.0,noisy
8,0,Meñique — Punta,2,2,258.263,10.928,1777.3,0.0,noisy
9,1,Meñique — Distal,0,0,0.000,0.000,939.0,0.0,ok
10,1,Meñique — Distal,0,1,0.000,0.000,524.0,0.0,ok
11,1,Meñique — Distal,0,2,0.000,0.000,234.0,0.0,ok
12,1,Meñique — Distal,0,3,0.000,0.000,955.0,0.0,ok
13,1,Meñique — Distal,0,4,0.000,0.000,983.0,0.0,ok
14,1,Meñique — Distal,0,5,0.000,0.000,409.0,0.0,ok
15,1,Meñique — Distal,0,6,0.000,0.000,576.0,0.0,ok
16,1,Meñique — Distal,0,7,0.000,0.000,708.0,0.0,ok
17,1,Meñique — Distal,1,0,0.000,0.000,678.0,13.0,ok
18,1,Meñique — Distal,1,1,0.000,0.000,729.0,0.0,ok
19,1,Meñique — Distal,1,2,0.000,0.000,661.0,0.0,ok
20,1,Meñique — Distal,1,3,0.000,0.000,948.0,0.0,ok
21,1,Meñique — Distal,1,4,0.000,0.000,955.0,0.0,ok
22,1,Meñique — Distal,1,5,0.000,0.000,648.0,0.0,ok
23,1,Meñique — Distal,1,6,0.000,0.000,737.0,0.0,ok
24,1,Meñique — Distal,1,7,0.000,0.000,637.0,0.0,ok
25,1,Meñique — Distal,2,0,0.000,0.000,213.0,0.0,ok
26,1,Meñique — Distal,2,1,0.000,0.000,449.0,0.0,ok
27,1,Meñique — Distal,2,2,0.000,0.000,885.0,0.0,ok
28,1,Meñique — Distal,2,3,0.000,0.000,310.0,0.0,ok
29,1,Meñique — Distal,2,4,0.000,0.000,567.0,0.0,ok
30,1,Meñique — Distal,2,5,0.000,0.000,921.0,0.0,ok
31,1,Meñique — Distal,2,6,0.000,0.000,628.0,0.0,ok
32,1,Meñique — Distal,2,7,0.000,0.000,333.0,0.0,ok
33,1,Meñique — Distal,3,0,0.000,0.000,993.0,6.0,ok
34,1,Meñique — Distal,3,1,0.000,0.000,973.0,0.0,ok
35,1,Meñique — Distal,3,2,0.000,0.000,460.0,0.0,ok
36,1,Meñique — Distal,3,3,0.000,0.000,1118.0,0.0,ok
37,1,Meñique — Distal,3,4,0.000,0.000,1113.0,0.0,ok
38,1,Meñique — Distal,3,5,0.000,0.000,531.0,0.0,ok
39,1,Meñique — Distal,3,6,0.000,0.000,1069.0,0.0,ok
40,1,Meñique — Distal,3,7,0.000,0.000,1207.0,4.0,ok
41,1,Meñique — Distal,4,0,0.000,0.000,1049.0,40.0,ok
42,1,Meñique — Distal,4,1,0.000,0.000,1016.0,0.0,ok
43,1,Meñique — Distal,4,2,0.000,0.000,515.0,0.0,ok
44,1,Meñique — Distal,4,3,0.000,0.000,1012.0,0.0,ok
45,1,Meñique — Distal,4,4,0.000,0.000,1070.0,0.0,ok
46,1,Meñique — Distal,4,5,0.000,0.000,549.0,0.0,ok
47,1,Meñique — Distal,4,6,0.000,0.000,1110.0,0.0,ok
48,1,Meñique — Distal,4,7,0.000,0.000,1123.0,0.0,ok
49,1,Meñique — Distal,5,0,0.000,0.000,291.0,0.0,ok
50,1,Meñique — Distal,5,1,0.000,0.000,732.0,0.0,ok
51,1,Meñique — Distal,5,2,0.000,0.000,1104.0,0.0,ok
52,1,Meñique — Distal,5,3,0.000,0.000,367.0,0.0,ok
53,1,Meñique — Distal,5,4,0.000,0.000,387.0,0.0,ok
54,1,Meñique — Distal,5,5,0.000,0.000,1173.0,0.0,ok
55,1,Meñique — Distal,5,6,0.000,0.000,718.0,0.0,ok
56,1,Meñique — Distal,5,7,0.767,1.730,513.2,0.0,noisy
57,1,Meñique — Distal,6,0,0.000,0.000,768.0,0.0,ok
58,1,Meñique — Distal,6,1,0.000,0.000,1049.0,0.0,ok
59,1,Meñique — Distal,6,2,0.000,0.000,784.0,0.0,ok
60,1,Meñique — Distal,6,3,0.000,0.000,1086.0,0.0,ok
61,1,Meñique — Distal,6,4,0.000,0.000,1161.0,0.0,ok
62,1,Meñique — Distal,6,5,0.000,0.000,523.0,0.0,ok
63,1,Meñique — Distal,6,6,0.000,0.000,1292.0,0.0,ok
64,1,Meñique — Distal,6,7,0.000,0.000,1449.0,0.0,ok
65,1,Meñique — Distal,7,0,0.000,0.000,923.0,0.0,ok
66,1,Meñique — Distal,7,1,0.000,0.000,968.0,0.0,ok
67,1,Meñique — Distal,7,2,0.000,0.000,365.0,0.0,ok
