phase,t_s,response,temp_index
hold,0.0000,1433.00,40
hold,0.0411,1437.00,40
hold,0.0721,1437.00,40
hold,0.1023,1437.00,40
hold,0.1287,1419.00,40
hold,0.1547,1419.00,40
hold,0.1845,1419.00,40
hold,0.2153,1432.00,40
hold,0.2460,1432.00,40
hold,0.2777,1432.00,40
hold,0.3083,1440.00,40
hold,0.3390,1440.00,40
hold,0.3708,1440.00,40
hold,0.4014,1432.00,40
hold,0.4329,1432.00,40
hold,0.4634,1432.00,40
hold,0.4940,1429.00,40
hold,0.5258,1429.00,40
hold,0.5565,1429.00,40
hold,0.5870,1436.00,40
hold,0.6187,1436.00,40
hold,0.6493,1436.00,40
hold,0.6798,1432.00,40
hold,0.7117,1432.00,40
hold,0.7424,1432.00,40
hold,0.7737,1437.00,40
hold,0.8039,1437.00,40
hold,0.8349,1437.00,40
hold,0.8657,1435.00,40
hold,0.8975,1435.00,40
hold,0.9279,1435.00,40
hold,0.9597,1432.00,40
hold,0.9905,1432.00,40
hold,1.0213,1432.00,40
hold,1.0520,1440.00,40
hold,1.0829,1440.00,40
hold,1.1146,1440.00,40
hold,1.1454,1432.00,40
hold,1.1763,1432.00,40
hold,1.2069,1432.00,40
hold,1.2386,1435.00,40
hold,1.2691,1435.00,40
hold,1.3005,1435.00,40
hold,1.3316,1437.00,40
hold,1.3623,1437.00,40
hold,1.3928,1437.00,40
hold,1.4244,1438.00,40
hold,1.4553,1438.00,40
hold,1.4860,1438.00,40
hold,1.5171,1438.00,40
hold,1.5475,1438.00,40
hold,1.5791,1438.00,40
hold,1.6096,1437.00,40
hold,1.6412,1437.00,40
hold,1.6717,1437.00,40
hold,1.7033,1441.00,40
hold,1.7338,1441.00,40
hold,1.7654,1441.00,40
hold,1.7962,1441.00,40
hold,1.8268,1441.00,40
hold,1.8584,1441.00,40
hold,1.8890,1434.00,40
hold,1.9197,1434.00,40
hold,1.9514,1434.00,40
hold,1.9819,1435.00,40
hold,2.0134,1435.00,40
hold,2.0571,1433.00,40
hold,2.0867,1433.00,40
hold,2.1184,1433.00,40
hold,2.1482,1433.00,40
hold,2.1743,1438.00,40
hold,2.2003,1438.00,40
hold,2.2294,1438.00,40
hold,2.2609,1436.00,40
hold,2.2929,1436.00,40
hold,2.3229,1436.00,40
hold,2.3540,1437.00,40
hold,2.3852,1437.00,40
hold,2.4165,1437.00,40
hold,2.4470,1441.00,40
