taxel,zone,zone_name,row,col,mu_start,mu_end,delta,excluded
0,0,Meñique — Punta,0,0,0.000,0.000,0.000,0
1,0,Meñique — Punta,0,1,0.000,0.000,0.000,0
2,0,Meñique — Punta,0,2,0.000,0.000,0.000,0
3,0,Meñique — Punta,1,0,347.699,360.381,12.682,0
4,0,Meñique — Punta,1,1,0.000,0.000,0.000,0
5,0,Meñique — Punta,1,2,0.000,0.000,0.000,0
6,0,Meñique — Punta,2,0,51.670,56.091,4.420,0
7,0,Meñique — Punta,2,1,42.989,52.892,9.903,0
8,0,Meñique — Punta,2,2,0.000,0.000,0.000,0
9,1,Meñique — Distal,0,0,0.000,0.000,0.000,0
10,1,Meñique — Distal,0,1,0.000,0.000,0.000,0
11,1,Meñique — Distal,0,2,0.000,0.000,0.000,0
12,1,Meñique — Distal,0,3,0.000,0.000,0.000,0
13,1,Meñique — Distal,0,4,0.000,0.000,0.000,0
14,1,Meñique — Distal,0,5,0.000,0.000,0.000,0
15,1,Meñique — Distal,0,6,0.000,0.000,0.000,0
16,1,Meñique — Distal,0,7,0.000,0.000,0.000,0
17,1,Meñique — Distal,1,0,0.000,0.000,0.000,0
18,1,Meñique — Distal,1,1,0.000,0.000,0.000,0
19,1,Meñique — Distal,1,2,0.000,0.000,0.000,0
20,1,Meñique — Distal,1,3,0.000,0.000,0.000,0
21,1,Meñique — Distal,1,4,0.000,0.000,0.000,0
22,1,Meñique — Distal,1,5,0.000,0.000,0.000,0
23,1,Meñique — Distal,1,6,0.000,0.000,0.000,0
24,1,Meñique — Distal,1,7,0.000,0.000,0.000,0
25,1,Meñique — Distal,2,0,0.000,0.000,0.000,0
26,1,Meñique — Distal,2,1,0.000,0.000,0.000,0
27,1,Meñique — Distal,2,2,0.000,0.000,0.000,0
28,1,Meñique — Distal,2,3,0.000,0.000,0.000,0
29,1,Meñique — Distal,2,4,0.000,0.000,0.000,0
30,1,Meñique — Distal,2,5,0.000,0.000,0.000,0
31,1,Meñique — Distal,2,6,0.000,0.000,0.000,0
