t_s,t_little,t_ring,t_middle,t_index,t_thumbB,t_thumbR,gmean,gmed,z0_mean,z1_mean,z2_mean,z3_mean,z4_mean,z5_mean,z6_mean,z7_mean,z8_mean,z9_mean,z10_mean,z11_mean,z12_mean,z13_mean,z14_mean,z15_mean,z16_mean
15.34,30,30,30,28,30,28,0.584,0.000,49.476,0.000,0.000,0.000,0.085,0.000,,0.038,0.189,1.727,0.000,0.000,0.000,0.763,0.000,0.000,0.000
30.34,30,30,30,30,30,30,0.599,0.000,49.245,0.000,0.000,0.000,0.191,0.000,,0.049,0.177,2.134,0.000,0.000,0.000,0.796,0.000,0.000,0.000
45.35,30,30,30,30,30,30,0.608,0.000,49.308,0.000,0.000,0.000,0.241,0.000,,0.041,0.195,2.116,0.020,0.036,0.000,0.777,0.000,0.000,0.000
60.35,30,30,30,30,30,30,0.598,0.000,48.528,0.000,0.000,0.000,0.239,0.000,,0.038,0.265,1.856,0.022,0.079,0.000,0.693,0.000,0.000,0.000
75.35,30,30,30,30,30,30,0.604,0.000,49.417,0.000,0.000,0.000,0.255,0.000,,0.033,0.240,1.452,0.003,0.032,0.000,0.767,0.000,0.000,0.000
90.36,30,30,30,30,30,30,0.600,0.000,49.848,0.001,0.000,0.000,0.267,0.000,,0.008,0.239,1.793,0.000,0.019,0.000,0.673,0.000,0.000,0.000
105.36,30,30,30,30,30,30,0.728,0.000,50.247,0.003,0.000,0.000,0.307,0.000,,0.009,0.282,14.475,0.001,0.094,0.000,0.594,0.000,0.000,0.000
120.36,30,30,30,30,30,30,0.811,0.000,49.917,0.002,0.000,0.000,0.303,0.000,,0.046,0.372,22.227,0.000,0.099,0.000,0.627,0.000,0.000,0.000
135.37,30,30,30,30,30,30,0.805,0.000,49.328,0.001,0.000,0.000,0.337,0.000,,0.064,0.307,22.366,0.012,0.110,0.000,0.597,0.000,0.000,0.000
150.37,30,30,30,30,30,30,0.802,0.000,49.551,0.000,0.000,0.000,0.284,0.000,,0.054,0.298,22.227,0.026,0.120,0.000,0.610,0.000,0.000,0.000
165.68,30,32,30,30,30,30,0.810,0.000,49.674,0.001,0.000,0.000,0.258,0.000,,0.051,0.395,22.096,0.032,0.068,0.000,0.664,0.000,0.000,0.000
180.69,30,32,32,30,32,30,0.808,0.000,49.770,0.002,0.000,0.000,0.275,0.000,,0.067,0.352,21.755,0.034,0.071,0.000,0.671,0.000,0.000,0.000
195.69,32,32,32,30,32,30,0.808,0.000,50.298,0.002,0.000,0.000,0.217,0.000,,0.067,0.379,21.563,0.031,0.151,0.000,0.623,0.000,0.000,0.000
