taxel,zone,zone_name,row,col,mu,sigma,min,max,excursion_max,excluded,noisy,thr
0,0,Meñique — Punta,0,0,0.000,0.000,0,0,0.0,0,0,41.0
1,0,Meñique — Punta,0,1,0.000,0.000,0,0,0.0,0,0,41.0
2,0,Meñique — Punta,0,2,0.000,0.000,0,0,0.0,0,0,41.0
3,0,Meñique — Punta,1,0,369.491,2.200,362,378,8.5,0,1,41.0
4,0,Meñique — Punta,1,1,90.870,8.396,35,102,55.9,0,1,42.0
5,0,Meñique — Punta,1,2,24.927,2.750,17,48,23.1,0,1,41.0
6,0,Meñique — Punta,2,0,333.893,3.180,324,343,9.9,0,1,41.0
7,0,Meñique — Punta,2,1,175.827,7.957,136,188,39.8,0,1,41.0
8,0,Meñique — Punta,2,2,62.887,5.929,50,78,15.1,0,1,41.0
9,1,Meñique — Distal,0,0,0.000,0.000,0,0,0.0,0,0,41.0
10,1,Meñique — Distal,0,1,0.000,0.000,0,0,0.0,0,0,41.0
11,1,Meñique — Distal,0,2,0.000,0.000,0,0,0.0,0,0,41.0
12,1,Meñique — Distal,0,3,0.000,0.000,0,0,0.0,0,0,41.0
13,1,Meñique — Distal,0,4,0.000,0.000,0,0,0.0,0,0,41.0
14,1,Meñique — Distal,0,5,0.000,0.000,0,0,0.0,0,0,41.0
15,1,Meñique — Distal,0,6,0.000,0.000,0,0,0.0,0,0,41.0
16,1,Meñique — Distal,0,7,0.000,0.000,0,0,0.0,0,0,41.0
17,1,Meñique — Distal,1,0,0.000,0.000,0,0,0.0,0,0,41.0
18,1,Meñique — Distal,1,1,0.000,0.000,0,0,0.0,0,0,41.0
19,1,Meñique — Distal,1,2,0.000,0.000,0,0,0.0,0,0,41.0
20,1,Meñique — Distal,1,3,0.000,0.000,0,0,0.0,0,0,41.0
21,1,Meñique — Distal,1,4,0.000,0.000,0,0,0.0,0,0,41.0
22,1,Meñique — Distal,1,5,0.000,0.000,0,0,0.0,0,0,41.0
23,1,Meñique — Distal,1,6,0.000,0.000,0,0,0.0,0,0,41.0
24,1,Meñique — Distal,1,7,0.000,0.000,0,0,0.0,0,0,41.0
25,1,Meñique — Distal,2,0,0.000,0.000,0,0,0.0,0,0,41.0
26,1,Meñique — Distal,2,1,0.000,0.000,0,0,0.0,0,0,41.0
27,1,Meñique — Distal,2,2,0.000,0.000,0,0,0.0,0,0,41.0
28,1,Meñique — Distal,2,3,0.000,0.000,0,0,0.0,0,0,41.0
29,1,Meñique — Distal,2,4,0.000,0.000,0,0,0.0,0,0,41.0
30,1,Meñique — Distal,2,5,0.000,0.000,0,0,0.0,0,0,41.0
31,1,Meñique — Distal,2,6,0.000,0.000,0,0,0.0,0,0,41.0
32,1,Meñique — Distal,2,7,0.000,0.000,0,0,0.0,0,0,41.0
33,1,Meñique — Distal,3,0,0.483,1.271,0,23,22.5,0,1,41.0
34,1,Meñique — Distal,3,1,0.000,0.000,0,0,0.0,0,0,41.0
35,1,Meñique — Distal,3,2,0.000,0.000,0,0,0.0,0,0,41.0
36,1,Meñique — Distal,3,3,0.000,0.000,0,0,0.0,0,0,41.0
37,1,Meñique — Distal,3,4,0.000,0.000,0,0,0.0,0,0,41.0
38,1,Meñique — Distal,3,5,0.000,0.000,0,0,0.0,0,0,41.0
39,1,Meñique — Distal,3,6,0.000,0.000,0,0,0.0,0,0,41.0
40,1,Meñique — Distal,3,7,0.000,0.000,0,0,0.0,0,0,41.0
41,1,Meñique — Distal,4,0,43.957,1.723,24,65,21.0,0,1,41.0
42,1,Meñique — Distal,4,1,0.000,0.000,0,0,0.0,0,0,41.0
43,1,Meñique — Distal,4,2,0.000,0.000,0,0,0.0,0,0,41.0
44,1,Meñique — Distal,4,3,0.000,0.000,0,0,0.0,0,0,41.0
45,1,Meñique — Distal,4,4,0.000,0.000,0,0,0.0,0,0,41.0
46,1,Meñique — Distal,4,5,0.000,0.000,0,0,0.0,0,0,41.0
47,1,Meñique — Distal,4,6,0.000,0.000,0,0,0.0,0,0,41.0
48,1,Meñique — Distal,4,7,0.000,0.000,0,0,0.0,0,0,41.0
49,1,Meñique — Distal,5,0,0.000,0.000,0,0,0.0,0,0,41.0
50,1,Meñique — Distal,5,1,0.000,0.000,0,0,0.0,0,0,41.0
51,1,Meñique — Distal,5,2,0.000,0.000,0,0,0.0,0,0,41.0
52,1,Meñique — Distal,5,3,0.000,0.000,0,0,0.0,0,0,41.0
53,1,Meñique — Distal,5,4,0.000,0.000,0,0,0.0,0,0,41.0
54,1,Meñique — Distal,5,5,0.000,0.000,0,0,0.0,0,0,41.0
55,1,Meñique — Distal,5,6,0.000,0.000,0,0,0.0,0,0,41.0
56,1,Meñique — Distal,5,7,0.000,0.000,0,0,0.0,0,0,41.0
57,1,Meñique — Distal,6,0,0.000,0.000,0,0,0.0,0,0,41.0
58,1,Meñique — Distal,6,1,0.000,0.000,0,0,0.0,0,0,41.0
59,1,Meñique — Distal,6,2,0.000,0.000,0,0,0.0,0,0,41.0
60,1,Meñique — Distal,6,3,0.000,0.000,0,0,0.0,0,0,41.0
61,1,Meñique — Distal,6,4,0.000,0.000,0,0,0.0,0,0,41.0
62,1,Meñique — Distal,6,5,0.000,0.000,0,0,0.0,0,0,41.0
63,1,Meñique — Distal,6,6,0.000,0.000,0,0,0.0,0,0,41.0
64,1,Meñique — Distal,6,7,0.000,0.000,0,0,0.0,0,0,41.0
65,1,Meñique — Distal,7,0,0.047,0.797,0,17,17.0,0,1,41.0
66,1,Meñique — Distal,7,1,0.000,0.000,0,0,0.0,0,0,41.0
67,1,Meñique — Distal,7,2,0.000,0.000,0,0,0.0,0,0,41.0
68,1,Meñique — Distal,7,3,0.000,0.000,0,0,0.0,0,0,41.0
69,1,Meñique — Distal,7,4,0.000,0.000,0,0,0.0,0,0,41.0
70,1,Meñique — Distal,7,5,0.000,0.000,0,0,0.0,0,0,41.0
71,1,Meñique — Distal,7,6,0.000,0.000,0,0,0.0,0,0,41.0
72,1,Meñique — Distal,7,7,0.000,0.000,0,0,0.0,0,0,41.0
73,1,Meñique — Distal,8,0,0.000,0.000,0,0,0.0,0,0,41.0
74,1,Meñique — Distal,8,1,0.000,0.000,0,0,0.0,0,0,41.0
75,1,Meñique — Distal,8,2,0.000,0.000,0,0,0.0,0,0,41.0
76,1,Meñique — Distal,8,3,0.000,0.000,0,0,0.0,0,0,41.0
77,1,Meñique — Distal,8,4,0.000,0.000,0,0,0.0,0,0,41.0
78,1,Meñique — Distal,8,5,0.000,0.000,0,0,0.0,0,0,41.0
79,1,Meñique — Distal,8,6,0.000,0.000,0,0,0.0,0,0,41.0
80,1,Meñique — Distal,8,7,0.000,0.000,0,0,0.0,0,0,41.0
81,1,Meñique — Distal,9,0,0.000,0.000,0,0,0.0,0,0,41.0
