bloque,n,brazo,pico,err_reg,I_med,temp,n_muestras,tarado,nota
a,1,lazo,241,-18,0,38,24377,si,
a,2,firmware,271,-16,0,40,24341,si,
a,3,lazo,258,-3,0,40,24321,si,
a,4,firmware,274,-32,0,40,24378,si,
a,5,firmware,274,-20,0,40,24388,si,
a,6,lazo,259,-4,0,40,24325,si,
a,7,lazo,262,-17,0,40,24191,si,
a,8,firmware,267,-26,0,40,24098,si,
a,9,firmware,265,-31,0,42,24339,si,
a,10,lazo,264,+0,0,42,13812,si,
a,11,firmware,269,-33,0,42,24246,si,
a,12,lazo,251,-10,0,42,24365,si,
a,13,firmware,274,-25,0,42,24451,si,
a,14,lazo,251,-19,0,42,24367,si,
a,15,firmware,268,-24,0,42,24299,si,
a,16,lazo,253,-6,0,42,24475,si,
a,17,lazo,253,-12,0,42,24168,si,
a,18,firmware,277,-25,0,42,24252,si,
a,19,lazo,249,-18,0,42,24357,si,
a,20,firmware,278,-8,0,42,24345,si,
