bloque,n,brazo,pico,err_reg,I_med,temp,n_muestras,tarado,nota,f_base,salto,resid,recup
a,1,lazo,304,-23,0,44,21641,si,,240,+64,-13,0.797
a,2,firmware,302,+41,0,44,21924,si,,219,+83,+72,0.133
a,3,lazo,301,-13,0,44,21526,si,,251,+50,-14,0.720
a,4,firmware,323,+66,0,44,21230,si,,241,+82,+75,0.085
a,5,firmware,324,+65,0,44,21410,si,,232,+92,+83,0.098
a,6,lazo,293,+8,0,44,21608,si,,233,+60,+25,0.583
a,7,lazo,299,-3,0,44,21544,si,,251,+48,-4,0.917
a,8,firmware,318,+60,0,44,21661,si,,227,+91,+83,0.088
a,9,firmware,318,+59,0,44,21616,si,,231,+87,+78,0.103
a,10,lazo,307,-8,0,44,21298,si,,240,+67,+2,0.970
a,11,firmware,324,+60,0,44,21186,si,,240,+84,+70,0.167
a,12,lazo,303,-16,0,44,21753,si,,230,+73,+4,0.945
a,13,firmware,319,+41,0,44,21065,si,,231,+88,+60,0.318
a,14,lazo,306,-14,0,44,21357,si,,244,+62,-8,0.871
a,15,firmware,299,+19,0,44,21253,si,,208,+91,+61,0.330
a,16,lazo,299,-11,0,44,21160,si,,247,+52,-8,0.846
a,17,lazo,303,-12,0,44,21175,si,,240,+63,-2,0.968
a,18,firmware,312,+55,0,44,13115,si,,219,+93,+86,0.075
a,19,lazo,297,-14,0,44,21012,no,,229,+68,+7,0.897
a,20,firmware,320,+63,0,44,21529,si,,235,+85,+78,0.082
