index,dt_ms,ok
0,6.347733,1
1,12.698496,1
2,11.638608,1
3,6.269515,1
4,13.726288,1
5,10.492613,1
6,6.200209,1
7,13.757578,1
8,11.598731,1
9,6.184781,1
10,13.586705,1
11,10.603552,1
12,6.141964,1
13,13.746591,1
14,11.616752,1
15,6.299919,1
16,13.687504,1
17,10.583408,1
18,7.284372,1
19,12.641108,1
20,11.573960,1
21,6.236085,1
22,13.657871,1
23,10.535576,1
24,7.195152,1
25,12.699066,1
26,11.506678,1
27,6.272563,1
28,13.799094,1
29,10.536607,1
30,7.252630,1
31,12.710106,1
32,11.482352,1
33,6.293995,1
34,13.657529,1
35,10.427245,1
36,6.163997,1
37,13.747525,1
38,11.557821,1
39,6.232694,1
40,13.760969,1
41,10.573050,1
42,7.274605,1
43,12.628914,1
44,11.589901,1
45,6.153159,1
46,13.756724,1
47,10.539129,1
48,7.267676,1
49,13.167262,1
50,10.568141,1
51,7.275884,1
52,13.103799,1
53,10.553763,1
54,7.305775,1
55,12.724985,1
56,11.579306,1
57,6.242048,1
58,13.759128,1
59,10.576817,1
60,7.324697,1
61,12.910200,1
62,10.837559,1
63,6.197217,1
64,13.902988,1
65,11.576136,1
66,7.348679,1
67,11.755985,1
68,10.558088,1
69,6.248881,1
70,13.678181,1
71,11.583666,1
72,7.237479,1
73,12.585226,1
74,11.548120,1
75,6.178425,1
76,13.677705,1
77,10.467491,1
78,7.391662,1
79,12.676938,1
80,10.482792,1
81,6.179485,1
82,14.004702,1
83,12.746474,1
84,6.183850,1
85,12.692212,1
86,10.504525,1
87,6.237993,1
88,13.820763,1
89,10.665191,1
90,6.207384,1
91,13.757385,1
92,12.688092,1
93,6.404606,1
94,12.806283,1
95,11.554992,1
96,7.426295,1
97,11.606026,1
98,10.459772,1
99,6.107730,1
100,14.753611,1
101,11.539396,1
102,7.392498,1
103,11.521387,1
104,11.623249,1
105,6.121013,1
106,13.668111,1
107,10.554646,1
108,6.251212,1
109,13.765362,1
110,11.632346,1
111,6.100882,1
112,13.784608,1
113,11.691996,1
114,6.534947,1
115,12.045776,1
116,11.842298,1
117,6.159363,1
118,13.740537,1
119,11.505987,1
120,7.380986,1
121,11.782920,1
122,11.564512,1
123,6.161575,1
124,12.642017,1
125,6.191527,1
126,6.232315,1
127,7.317456,1
128,12.835755,1
129,10.884913,1
130,7.611305,1
131,12.226166,1
132,10.917966,1
