trial_file,dof,speed,force_set,target,t_cmd_s,write_cost_s,rate_hz,latency_ms,baseline_pos,final_pos,delta_pos,force_base_g,force_final_dev_g,max_abs_force_g,settled,aborted
trial_dof3_v250_n03.csv,3,250,3000,300,0.217538,0.007256,86.5,74.9,100.0,1445.0,1345.0,177,118,297,1,0
trial_dof3_v100_n08.csv,3,100,3000,300,0.216980,0.010550,88.4,93.4,97.0,1445.0,1348.0,176,110,294,1,0
trial_dof3_v100_n11.csv,3,100,3000,300,0.216623,0.010448,86.3,38.8,96.0,1445.0,1349.0,178,104,301,1,0
trial_dof3_v100_n07.csv,3,100,3000,300,0.217631,0.011653,88.9,50.4,95.8,1445.0,1349.2,176,109,300,1,0
trial_dof3_v500_n08.csv,3,500,3000,300,0.216884,0.011548,92.7,31.2,96.1,1445.0,1348.9,178,122,301,1,0
trial_dof3_v100_n13.csv,3,100,3000,300,0.216424,0.009350,89.0,38.4,96.2,1443.6,1347.4,176,118,308,1,0
trial_dof3_v100_n01.csv,3,100,3000,300,0.217916,0.010489,88.9,62.7,98.0,1442.4,1344.4,177,108,302,1,0
trial_dof3_v1000_n11.csv,3,1000,3000,300,0.216095,0.009357,85.5,63.8,99.0,1446.0,1347.0,177,122,300,1,0
trial_dof3_v1000_n14.csv,3,1000,3000,300,0.217297,0.011602,90.6,50.2,98.0,1445.0,1347.0,176,128,316,1,0
trial_dof3_v500_n14.csv,3,500,3000,300,0.217150,0.011490,88.8,81.7,97.0,1444.4,1347.4,177,129,309,1,0
trial_dof3_v100_n16.csv,3,100,3000,300,0.216691,0.010494,89.8,32.3,96.6,1443.7,1347.1,177,114,307,1,0
trial_dof3_v750_n03.csv,3,750,3000,300,0.217210,0.009453,85.4,94.3,97.0,1444.2,1347.2,178,127,307,1,0
trial_dof3_v500_n12.csv,3,500,3000,300,0.216589,0.011393,94.2,82.2,98.0,1444.4,1346.4,177,140,322,1,0
trial_dof3_v500_n01.csv,3,500,3000,300,0.216457,0.009340,86.0,52.1,98.0,1445.0,1347.0,178,142,323,1,0
