t_s,pos_act,force_g,current_mA
0.000001,100,185,
0.021050,100,,
0.031942,100,,
0.038405,100,,
0.052419,100,,
0.063212,100,,
0.069906,100,,
0.082988,100,,
0.093903,100,185,
0.114424,100,,
0.125193,100,,
0.131703,100,,
0.144678,100,,
0.155331,100,,
0.161828,100,,
0.176093,100,,
0.187143,100,185,
0.207178,100,,
0.224895,100,,
0.238002,100,,
0.249547,100,,
0.256512,100,,
0.268671,100,,
0.279656,100,,
0.287303,100,232,
0.311309,114,,
0.317925,114,,
0.331124,144,,
0.342079,144,,
0.348620,144,,
0.361725,144,,
0.372598,144,,
0.379066,144,225,
0.403999,250,,
0.410499,301,,
0.423672,301,,
0.434771,301,,
0.441253,371,,
0.454413,371,,
0.466277,371,,
0.473421,443,253,
0.496605,443,,
0.504471,509,,
0.516766,509,,
0.527884,509,,
0.534598,583,,
0.548083,583,,
0.559016,649,,
0.565513,649,267,
0.589292,724,,
0.595894,724,,
0.610020,724,,
0.620830,787,,
0.627771,787,,
0.640965,787,,
0.652391,860,,
0.659101,860,270,
0.682826,927,,
0.689551,927,,
0.702691,927,,
0.713593,995,,
0.721148,995,,
0.734290,995,,
0.745051,1066,,
0.751503,1066,277,
0.775252,1136,,
0.781691,1136,,
0.795698,1193,,
0.806530,1193,,
0.812940,1193,,
0.826870,1268,,
0.837671,1268,,
0.845205,1268,338,
0.869014,1328,,
0.875506,1328,,
0.888426,1386,,
0.899194,1386,,
0.905793,1386,,
0.919855,1423,,
0.930755,1423,,
0.937150,1423,340,
0.961988,1440,,
0.968435,1440,,
0.981366,1440,,
0.993249,1440,,
0.999715,1440,,
1.012679,1445,,
1.023454,1445,,
1.029932,1445,356,
1.055821,1445,,
1.062299,1445,,
1.075168,1445,,
1.086073,1445,,
1.092504,1445,,
1.105757,1445,,
1.116703,1445,,
1.123527,1445,351,
1.148526,1445,,
1.156197,1445,,
1.168089,1445,,
1.178904,1445,,
1.185349,1445,,
1.198220,1445,,
1.210065,1445,,
1.216591,1445,350,
1.241412,1445,,
