t_s,force_g,pos_act,current_mA
0.013054,-14,769,-81
0.045429,-12,,
0.056168,-12,,
0.062684,-12,,
0.075608,-12,,
0.087404,-12,,
0.093855,-12,,
0.106735,-1,,
0.117563,-1,771,40
0.148814,27,,
0.156344,46,,
0.169328,46,,
0.180067,46,,
0.186518,66,,
0.199420,66,,
0.211337,66,,
0.217833,84,787,97
0.247952,91,,
0.262085,91,,
0.272875,91,,
0.279287,96,,
0.293276,96,,
0.303999,102,,
0.310380,102,,
0.324382,102,808,81
0.354528,105,,
0.366321,108,,
0.372777,108,,
0.385648,108,,
0.396551,111,,
0.404097,111,,
0.417141,111,,
0.427855,108,825,88
0.459091,108,,
0.465596,108,,
0.478550,108,,
0.489264,109,,
0.495704,109,,
0.509677,109,,
0.520512,109,,
0.526936,109,840,78
0.558264,105,,
0.571170,105,,
0.583035,105,,
0.589464,105,,
0.602415,105,,
0.613186,105,,
0.619696,105,,
0.633756,106,854,108
0.664855,108,,
0.675528,108,,
0.681876,108,,
0.695785,108,,
0.706545,108,,
0.714083,108,,
0.727147,108,,
0.737958,108,865,75
0.768450,103,,
0.776174,106,,
0.789213,106,,
0.800089,106,,
0.806610,104,,
0.819632,104,,
0.830534,104,,
0.838050,100,884,96
0.868309,97,,
0.881237,97,,
0.893021,97,,
0.899494,97,,
0.912425,97,,
0.923161,97,,
0.929537,98,,
0.943499,98,904,91
0.974724,98,,
0.985429,95,,
0.991862,95,,
1.005872,95,,
1.016650,92,,
1.023061,92,,
1.037001,92,,
1.047754,92,916,100
1.078210,94,,
1.084727,94,,
1.098868,94,,
1.109648,93,,
1.116081,93,,
1.129114,93,,
1.141070,93,,
1.147543,93,934,94
1.177868,88,,
1.192041,89,,
1.202882,89,,
1.209465,89,,
1.222529,90,,
1.233352,90,,
1.239899,90,,
1.253882,90,946,125
1.284218,90,,
1.295057,90,,
1.301540,90,,
1.315567,89,,
1.326298,89,,
1.332762,89,,
1.346800,88,,
1.357461,88,960,98
1.388532,87,,
1.396019,84,,
1.408856,84,,
1.419532,84,,
1.425951,87,,
1.439959,87,,
1.450745,87,,
1.457214,86,981,96
1.488400,85,,
1.501353,85,,
1.512075,85,,
1.518537,85,,
1.532751,85,,
1.543548,86,,
1.549987,86,,
1.562937,86,995,102
1.594256,88,,
1.605250,87,,
1.611824,87,,
1.625833,87,,
1.636647,85,,
1.643106,85,,
1.656002,85,,
1.667791,85,1009,91
1.698038,85,,
1.704660,85,,
1.718791,85,,
1.729562,86,,
1.736006,86,,
1.749920,86,,
1.760584,86,,
1.767016,86,1029,108
1.798267,85,,
1.811164,84,,
1.821948,84,,
1.828430,84,,
1.842444,85,,
1.853222,85,,
1.859682,85,,
1.873739,86,1044,126
1.904962,85,,
1.914942,85,,
1.921412,85,,
1.935497,84,,
1.946302,84,,
1.953952,84,,
1.966929,84,,
1.977759,84,1052,75
2.007908,80,,
2.014407,82,,
2.028458,82,,
2.039269,82,,
2.045723,83,,
2.059698,83,,
2.070457,83,,
2.076865,81,1074,97
2.108055,78,,
2.121188,78,,
2.132040,78,,
2.138504,78,,
2.152488,78,,
2.163469,78,,
2.170962,78,,
2.183904,78,1089,131
2.214277,79,,
2.225021,79,,
2.231473,79,,
2.245466,79,,
2.256248,80,,
2.263908,80,,
2.276828,80,,
2.287906,77,1112,103
2.318356,78,,
2.324932,78,,
2.337954,78,,
2.349849,80,,
2.356289,80,,
2.369284,80,,
2.380001,80,,
2.386447,80,1122,73
2.418751,76,,
2.431747,77,,
2.442521,77,,
2.448949,77,,
2.463072,78,,
2.473900,78,,
2.480391,78,,
2.493261,80,1137,134
2.524640,81,,
2.535441,81,,
2.541873,81,,
2.554817,80,,
2.566689,80,,
2.573173,80,,
2.586067,78,,
2.597868,78,1149,104
2.628942,76,,
2.635376,80,,
2.648378,80,,
2.659178,80,,
2.666833,79,,
2.679817,79,,
2.690536,79,,
2.696969,78,1168,100
2.728227,78,,
2.741156,78,,
2.751962,78,,
2.758385,79,,
2.772379,79,,
2.783275,79,,
2.789823,81,,
2.802806,81,1186,98
2.834078,83,,
2.844816,83,,
2.851262,83,,
2.865352,83,,
2.876078,82,,
2.882723,82,,
2.896858,82,,
2.907725,86,1201,100
2.938032,92,,
2.944465,92,,
2.958468,92,,
2.969240,94,,
2.975752,94,,
2.989802,94,,
3.000498,94,,
3.006853,94,1218,89
3.037260,92,,
3.051294,94,,
3.062001,94,,
3.068432,94,,
3.082385,95,,
3.093133,95,,
3.100793,95,,
3.112667,95,1229,131
3.143819,97,,
3.155701,97,,
3.162134,97,,
3.175006,97,,
3.186799,97,,
3.193223,97,,
3.206188,97,,
3.216915,97,1240,93
3.248351,97,,
3.254907,100,,
3.267858,100,,
3.279949,100,,
3.286354,100,,
3.299083,100,,
3.309610,100,,
3.315840,101,1263,96
3.348021,103,,
3.360916,103,,
3.372839,103,,
3.379268,106,,
3.392137,106,,
3.402889,106,,
3.409332,107,,
3.423341,107,1280,99
3.454755,108,,
3.466601,105,,
3.473015,105,,
3.484949,105,,
3.495709,105,,
3.502343,105,,
3.516482,105,,
3.527227,105,1293,74
3.558595,107,,
3.565030,107,,
3.577929,107,,
3.588747,110,,
3.595202,110,,
3.609145,110,,
3.619901,110,,
3.626320,110,1316,103
3.659605,107,,
3.671404,108,,
3.682158,108,,
3.688596,108,,
3.702659,110,,
3.713510,110,,
3.719967,110,,
3.732897,110,1322,90
3.764388,111,,
3.775205,111,,
3.781688,111,,
3.794644,113,,
3.806479,113,,
3.812923,113,,
3.825868,113,,
3.837679,113,1335,77
3.867824,111,,
3.874217,114,,
3.888169,114,,
3.899083,114,,
3.905609,117,,
3.918564,117,,
3.931542,117,,
3.937957,117,1357,109
3.967179,116,,
3.981188,116,,
3.991943,116,,
3.999482,117,,
4.012400,117,,
4.024248,118,,
4.030686,118,,
4.042503,118,1369,138
4.062873,122,,
4.073627,122,,
4.085654,126,,
4.092184,126,,
4.105098,126,,
4.117008,126,,
4.124529,126,,
4.136353,126,1389,87
4.167502,126,,
4.178305,127,,
4.184767,127,,
4.197716,127,,
4.209605,131,,
4.215995,131,,
4.228921,131,,
4.239700,131,1399,104
4.270882,134,,
4.278409,134,,
4.291591,135,,
4.302469,135,,
4.308960,135,,
4.321908,136,,
4.332752,136,,
4.339270,136,1421,129
4.371529,139,,
4.384436,139,,
4.396279,139,,
4.402805,139,,
4.414773,141,,
4.426659,141,,
4.433101,141,,
4.446004,141,1433,108
4.477486,141,,
4.489335,141,,
4.495800,148,,
4.507687,148,,
4.519581,148,,
4.526008,148,,
4.538939,148,,
4.550787,148,1455,83
4.581944,146,,
4.589453,150,,
4.601273,150,,
4.613095,150,,
4.619571,153,,
4.632623,153,,
4.644449,164,,
4.650865,164,1462,121
4.681008,209,,
4.695086,209,,
4.705906,269,,
4.713492,269,,
4.725311,269,,
4.737177,337,,
4.743700,337,,
4.755516,337,1482,191
4.786909,403,,
4.798813,470,,
4.806338,470,,
4.818178,470,,
4.830007,540,,
4.836409,540,,
4.849332,540,,
4.861196,620,1496,273
4.885930,614,,
4.892485,614,,
4.898937,614,,
4.910873,482,,
4.922862,482,,
4.929305,482,,
4.942186,477,,
4.954096,477,1489,0
4.984414,475,,
4.990857,475,,
5.003738,473,,
5.015560,473,,
5.021994,473,,
5.034870,472,,
5.046721,472,,
5.054188,472,1489,0
5.085366,472,,
5.097274,470,,
5.109144,470,,
5.115607,469,,
5.127385,469,,
5.133850,469,,
5.141345,469,,
5.147800,468,1488,0
5.176892,468,,
5.189899,468,,
5.201833,468,,
5.209401,467,,
5.221303,467,,
5.233074,466,,
5.239576,466,,
5.252454,466,1488,0
5.282701,466,,
5.294748,465,,
5.301309,465,,
5.314366,465,,
5.326228,465,,
5.332710,465,,
5.344557,465,,
5.356428,464,1488,0
