t_s,force_g,pos_act,current_mA
0.012943,51,764,0
0.044423,56,,
0.056293,56,,
0.062740,56,,
0.074912,56,780,79
0.105707,49,,
0.112231,49,,
0.118629,49,,
0.125167,49,828,93
0.156488,55,,
0.169532,54,,
0.180468,54,,
0.187007,54,849,103
0.218401,54,,
0.231464,54,,
0.242295,54,,
0.248801,54,914,106
0.279941,53,,
0.291864,53,,
0.303763,53,,
0.310305,53,954,114
0.341690,56,,
0.355672,56,,
0.366222,56,,
0.373496,56,1002,79
0.403906,55,,
0.416918,55,,
0.427776,55,,
0.434287,55,1050,100
0.465712,56,,
0.479098,56,,
0.490248,56,,
0.496856,56,1091,114
0.528068,58,,
0.541404,58,,
0.552488,58,,
0.559417,58,1117,105
0.589811,61,,
0.602783,61,,
0.613481,69,,
0.619977,69,1207,115
0.651862,72,,
0.664904,76,,
0.675873,76,,
0.683461,76,1254,105
0.714117,80,,
0.727302,86,,
0.738301,86,,
0.744941,86,1296,104
0.775587,88,,
0.788853,96,,
0.799747,96,,
0.805722,96,1321,74
0.837659,96,,
0.850543,105,,
0.862397,105,,
0.868849,112,1384,118
0.899847,199,,
0.913053,199,,
0.924179,199,,
0.930772,424,1431,214
0.962406,728,,
0.974560,728,,
0.985376,728,,
0.991872,1180,1473,-194
1.023085,1018,,
1.037137,1018,,
1.048566,585,,
1.056436,585,1462,2
1.085901,473,,
1.098567,473,,
1.109593,388,,
1.116163,388,1458,-19
1.147620,373,,
1.160590,373,,
1.172551,359,,
1.179075,359,1457,-30
1.209779,346,,
1.223003,346,,
1.233776,346,,
1.241295,346,1457,-43
1.272090,325,,
1.285345,315,,
1.296273,315,,
1.302884,315,1457,-55
1.333433,305,,
1.346543,301,,
1.357350,301,,
1.364050,301,1455,0
1.395701,301,,
1.409066,301,,
1.420194,301,,
1.426852,301,1455,0
1.457791,299,,
1.471090,297,,
1.482336,297,,
1.489050,297,1455,0
