t_s,force_g,pos_act,current_mA
0.013184,-57,1165,0
0.033796,-56,,
0.045877,-56,,
0.055805,-56,,
0.062389,-56,,
0.076486,-56,,
0.087306,-54,,
0.093770,-54,,
0.107783,-54,1164,57
0.138724,-54,,
0.149480,-54,,
0.155935,-54,,
0.169496,-40,,
0.180910,-40,,
0.188705,-40,,
0.199889,-31,,
0.210821,-31,1173,53
0.243883,-19,,
0.250491,-19,,
0.262584,-8,,
0.273467,-8,,
0.280437,-8,,
0.293494,0,,
0.304464,0,,
0.310982,0,1182,85
0.342718,9,,
0.355684,14,,
0.366390,14,,
0.373616,14,,
0.385900,22,,
0.396832,22,,
0.403368,27,,
0.417448,27,1187,68
0.447696,33,,
0.459641,33,,
0.466302,41,,
0.479534,41,,
0.490415,41,,
0.497057,46,,
0.510047,46,,
0.522080,46,1196,102
0.552681,60,,
0.559658,60,,
0.572227,60,,
0.584192,65,,
0.591478,65,,
0.603952,65,,
0.615938,75,,
0.622942,75,1205,118
0.651892,80,,
0.665197,80,,
0.676309,88,,
0.682979,88,,
0.696225,88,,
0.708230,93,,
0.715026,93,,
0.727034,93,1212,70
0.757887,95,,
0.768832,95,,
0.775606,95,,
0.788675,98,,
0.801480,98,,
0.808965,98,,
0.819875,104,,
0.830682,104,1219,96
0.861965,107,,
0.869515,107,,
0.882421,110,,
0.894196,110,,
0.900633,110,,
0.913547,112,,
0.924318,112,,
0.931101,112,1226,86
0.962050,110,,
0.975085,114,,
0.987167,114,,
0.993885,114,,
1.006031,113,,
1.017131,113,,
1.023711,117,,
1.036858,117,1234,110
1.068255,115,,
1.080260,115,,
1.086775,116,,
1.098585,116,,
1.110439,116,,
1.116881,117,,
1.130162,117,,
1.140988,117,1247,84
1.173360,119,,
1.179805,119,,
1.191591,119,,
1.203420,119,,
1.209897,119,,
1.222879,119,,
1.233713,118,,
1.240151,118,1252,92
1.273526,121,,
1.285738,121,,
1.295543,120,,
1.302005,120,,
1.316187,120,,
1.326969,121,,
1.333397,121,,
1.347342,121,1261,103
1.377736,123,,
1.388446,123,,
1.394903,123,,
1.408926,127,,
1.419793,127,,
1.426237,127,,
1.440343,127,,
1.452265,127,1267,101
1.481544,130,,
1.487995,130,,
1.502006,132,,
1.513877,132,,
1.521439,132,,
1.533267,132,,
1.545052,132,,
1.551470,132,1275,97
1.582540,136,,
1.595362,134,,
1.606188,134,,
1.612676,134,,
1.625585,136,,
1.637500,136,,
1.643961,138,,
1.656871,138,1280,98
1.688222,137,,
1.700074,137,,
1.706524,142,,
1.718382,142,,
1.724765,142,,
1.730916,142,,
1.738239,139,,
1.749956,139,1289,97
1.780511,143,,
1.786951,143,,
1.794505,140,,
1.800910,140,,
1.812138,140,,
1.823770,144,,
1.831721,144,,
1.842802,144,1298,130
