t_s,force_g,pos_act,current_mA
0.011793,-48,769,-126
0.031295,-48,,
0.043525,-44,,
0.055949,-44,,
0.063015,-44,,
0.075032,-44,,
0.085914,-44,,
0.092405,-44,,
0.106191,-44,770,41
0.136664,-42,,
0.148517,-42,,
0.156158,-42,,
0.168120,-42,,
0.180033,-42,,
0.186514,-19,,
0.198414,-19,,
0.209198,-19,774,73
0.241476,0,,
0.249156,19,,
0.261099,19,,
0.271659,19,,
0.279380,37,,
0.291459,37,,
0.302395,51,,
0.310006,51,784,96
0.340653,67,,
0.353844,67,,
0.364951,74,,
0.371618,74,,
0.384647,74,,
0.395406,83,,
0.402997,83,,
0.416343,83,794,98
0.446809,84,,
0.458043,91,,
0.464901,91,,
0.477529,91,,
0.489647,91,,
0.496507,91,,
0.508656,96,,
0.520714,96,800,125
0.551256,98,,
0.557807,98,,
0.570832,100,,
0.582700,100,,
0.589197,100,,
0.601145,104,,
0.613080,104,,
0.619518,104,814,101
0.650231,104,,
0.663357,106,,
0.675546,106,,
0.682193,106,,
0.694116,108,,
0.700601,108,,
0.707157,108,,
0.714133,108,821,133
0.743716,108,,
0.757404,108,,
0.767154,108,,
0.773647,111,,
0.787968,111,,
0.800042,111,,
0.806550,110,,
0.818410,110,827,113
0.849821,109,,
0.861677,109,,
0.868343,111,,
0.880312,111,,
0.892324,108,,
0.900136,108,,
0.911114,108,,
0.917492,108,835,114
0.942192,109,,
0.954142,108,,
0.960544,108,,
0.973431,108,,
0.985171,106,,
0.991519,106,,
1.004669,106,,
1.016631,108,840,96
1.047441,104,,
1.055326,104,,
1.066297,104,,
1.078217,105,,
1.084743,105,,
1.097719,105,,
1.109671,102,,
1.116375,102,847,99
1.147120,102,,
1.159057,102,,
1.165545,101,,
1.172345,101,,
1.180057,101,,
1.191316,99,,
1.202281,99,,
1.208773,99,856,111
1.240128,99,,
1.252041,96,,
1.258469,96,,
1.266140,96,,
1.272600,96,,
1.283361,97,,
1.295211,97,,
1.302883,97,864,137
1.333905,95,,
1.345110,93,,
1.357752,93,,
1.364745,95,,
1.377065,95,,
1.388565,95,,
1.395678,92,,
1.408075,92,871,104
1.438238,92,,
1.450281,92,,
1.456687,93,,
1.469547,93,,
1.481397,93,,
1.488878,91,,
1.500676,91,,
1.512471,93,877,96
1.544011,92,,
1.550486,92,,
1.563399,92,,
1.574490,91,,
1.581151,91,,
1.593904,91,,
1.605900,92,,
1.612459,92,886,98
1.643231,89,,
1.655208,89,,
1.667136,90,,
1.673521,90,,
1.687776,90,,
1.698582,88,,
1.705028,88,,
1.717874,88,895,111
1.747947,88,,
1.754254,88,,
1.760654,88,,
1.767133,88,,
1.778940,88,,
1.785609,85,,
1.792258,85,,
1.798713,85,902,113
1.828773,87,,
1.841726,84,,
1.853513,84,,
1.860005,84,,
1.873967,83,,
1.884844,83,,
1.891249,83,,
1.904149,84,909,105
1.935431,84,,
1.946590,84,,
1.953132,84,,
1.966103,81,,
1.976977,81,,
1.983423,82,,
1.997502,82,,
2.008630,82,916,106
2.039156,79,,
2.045625,81,,
2.059558,81,,
2.070327,81,,
2.077836,80,,
2.090020,80,,
2.100937,80,,
2.107283,79,922,93
2.139874,80,,
2.152867,80,,
2.163630,77,,
2.170072,77,,
2.183037,77,,
2.194821,79,,
2.201626,79,,
2.214534,79,932,121
2.244843,76,,
2.256667,76,,
2.263119,76,,
2.276141,76,,
2.286904,77,,
2.293294,77,,
2.307254,77,,
2.318239,74,937,98
2.349158,74,,
2.356971,74,,
2.368989,73,,
2.380743,73,,
2.387134,73,,
2.399914,75,,
2.411664,75,,
2.418126,75,946,125
2.449792,72,,
2.462692,75,,
2.473752,75,,
2.480322,75,,
2.493241,72,,
2.503988,72,,
2.510366,72,,
2.524599,74,953,98
2.555352,71,,
